#	startTime:1561084723027
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561084723027	TYPE_WAYPOINT	105.07999	83.10293
1561084723164	TYPE_ACCELEROMETER	-1.396225	1.475174	9.244675
1561084723164	TYPE_MAGNETIC_FIELD	15.9	25.859999	-28.8
1561084723164	TYPE_GYROSCOPE	0.033920288	-0.001876831	-0.11531067
1561084723164	TYPE_ROTATION_VECTOR	0.059904825	0.08597438	0.16434945
1561084723164	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.42	0.11999893	-91.38
1561084723164	TYPE_GYROSCOPE_UNCALIBRATED	0.03541565	-0.0018157959	-0.11605835
1561084723164	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3926239	1.4536438	9.433701
1561084723183	TYPE_ACCELEROMETER	-1.3818512	1.4081726	9.4253235
1561084723183	TYPE_MAGNETIC_FIELD	16.14	25.92	-28.859999
1561084723183	TYPE_GYROSCOPE	-0.18873596	0.047592163	-0.01637268
1561084723183	TYPE_ROTATION_VECTOR	0.060769442	0.088163905	0.20207651
1561084723183	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.66	0.1800003	-91.439995
1561084723183	TYPE_GYROSCOPE_UNCALIBRATED	-0.0388031	0.014678955	-0.08308411
1561084723183	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4644165	1.4715881	9.440887
1561084723202	TYPE_ACCELEROMETER	-1.3962097	1.347168	10.000809
1561084723202	TYPE_MAGNETIC_FIELD	16.14	25.92	-28.859999
1561084723202	TYPE_GYROSCOPE	-0.30969238	0.059814453	-0.0059814453
1561084723202	TYPE_ROTATION_VECTOR	0.05764416	0.08470696	0.19217531
1561084723202	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.66	0.1800003	-91.439995
1561084723202	TYPE_GYROSCOPE_UNCALIBRATED	-0.27734375	0.064453125	0.0076293945
1561084723202	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3591309	1.4356995	9.217148
1561084723221	TYPE_ACCELEROMETER	-1.1916351	1.375885	10.238892
1561084723221	TYPE_MAGNETIC_FIELD	16.14	26.039999	-28.859999
1561084723221	TYPE_GYROSCOPE	-0.3441925	0.027740479	-0.012084961
1561084723221	TYPE_ROTATION_VECTOR	0.051473346	0.079872	0.19204523
1561084723221	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.66	0.29999924	-91.439995
1561084723221	TYPE_GYROSCOPE_UNCALIBRATED	-0.33354187	0.045211792	-0.014053345
1561084723221	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4165497	1.380661	9.729218
1561084723241	TYPE_ACCELEROMETER	-1.2634125	1.5852509	9.741196
1561084723241	TYPE_MAGNETIC_FIELD	16.38	26.039999	-28.859999
1561084723241	TYPE_GYROSCOPE	-0.2965393	0.025604248	-0.0068969727
1561084723241	TYPE_ROTATION_VECTOR	0.050504293	0.070787296	0.22568354
1561084723241	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.9	0.29999924	-91.439995
1561084723241	TYPE_GYROSCOPE_UNCALIBRATED	-0.3274231	0.020477295	-0.008560181
1561084723241	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2717896	1.3339996	10.19223
