#	startTime:1561084881146
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561084881146	TYPE_WAYPOINT	125.65945	110.62627
1561084881274	TYPE_ACCELEROMETER	-0.5491638	0.2763672	13.422546
1561084881274	TYPE_MAGNETIC_FIELD	-27.72	0.9	-44.28
1561084881274	TYPE_GYROSCOPE	0.32774353	-0.06251526	-0.0078125
1561084881274	TYPE_ROTATION_VECTOR	0.023735687	0.012927492	-0.6859883
1561084881274	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.359999	-23.94	-101.22
1561084881274	TYPE_GYROSCOPE_UNCALIBRATED	0.10749817	0.061706543	0.033584595
1561084881274	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6221466	0.24168396	13.344772
1561084881293	TYPE_ACCELEROMETER	-0.4091797	0.41156006	12.847061
1561084881293	TYPE_MAGNETIC_FIELD	-27.66	0.96	-44.28
1561084881293	TYPE_GYROSCOPE	0.57974243	-0.1787262	-0.049957275
1561084881293	TYPE_ROTATION_VECTOR	0.02100025	0.006720534	-0.6789409
1561084881293	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.419998	-23.880001	-101.22
1561084881293	TYPE_GYROSCOPE_UNCALIBRATED	0.18141174	0.020324707	0.019546509
1561084881293	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48216248	0.3409729	13.272995
1561084881312	TYPE_ACCELEROMETER	-0.39361572	0.5132599	11.430511
1561084881312	TYPE_MAGNETIC_FIELD	-27.66	0.96	-44.399998
1561084881312	TYPE_GYROSCOPE	0.77796936	-0.22271729	-0.08937073
1561084881312	TYPE_ROTATION_VECTOR	0.022094756	6.720825E-6	-0.6788199
1561084881312	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.419998	-23.880001	-101.34
1561084881312	TYPE_GYROSCOPE_UNCALIBRATED	0.4624176	-0.12950134	-0.030853271
1561084881312	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37327576	0.46420288	12.177078
1561084881331	TYPE_ACCELEROMETER	-0.50727844	0.5970154	10.004395
1561084881331	TYPE_MAGNETIC_FIELD	-27.599998	0.9	-44.34
1561084881331	TYPE_GYROSCOPE	0.8903656	-0.25141907	-0.07531738
1561084881331	TYPE_ROTATION_VECTOR	0.027339933	6.721045E-9	-0.67958874
1561084881331	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.48	-23.94	-101.28
1561084881331	TYPE_GYROSCOPE_UNCALIBRATED	0.69088745	-0.21165466	-0.07331848
1561084881331	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44985962	0.55752563	10.719849
1561084881351	TYPE_ACCELEROMETER	-0.18664551	0.624527	8.130814
1561084881351	TYPE_MAGNETIC_FIELD	-27.599998	0.84	-44.28
1561084881351	TYPE_GYROSCOPE	0.9312897	-0.28959656	-0.013000488
1561084881351	TYPE_ROTATION_VECTOR	0.038443543	6.7212676E-12	-0.6738113
1561084881351	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.48	-24.0	-101.22
1561084881351	TYPE_GYROSCOPE_UNCALIBRATED	0.8445282	-0.2321167	-0.092559814
1561084881351	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41635132	0.6113739	9.107086
1561084881370	TYPE_ACCELEROMETER	-0.044281006	0.7501526	6.4115753
1561084881370	TYPE_MAGNETIC_FIELD	-27.72	0.35999998	-44.399998
1561084881370	TYPE_GYROSCOPE	0.8601227	-0.21720886	0.01876831
1561084881370	TYPE_ROTATION_VECTOR	0.03733652	-0.019414237	-0.66338533
1561084881370	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.359999	-24.48	-101.34
1561084881370	TYPE_GYROSCOPE_UNCALIBRATED	0.9242401	-0.27702332	-0.045211792
1561084881370	TYPE_ACCELEROMETER_UNCALIBRATED	-0.058624268	0.6759796	7.257431
1561084881389	TYPE_ACCELEROMETER	-0.010772705	0.7776642	5.2869415
1561084881389	TYPE_MAGNETIC_FIELD	-27.72	0.35999998	-44.399998
1561084881389	TYPE_GYROSCOPE	0.6490631	-0.18423462	0.024261475
1561084881389	TYPE_ROTATION_VECTOR	0.03733652	-0.019414237	-0.66338533
1561084881389	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.359999	-24.48	-101.34
1561084881389	TYPE_GYROSCOPE_UNCALIBRATED	0.912323	-0.26327515	0.007019043
1561084881389	TYPE_ACCELEROMETER_UNCALIBRATED	-0.034698486	0.7920227	5.6973114
1561084881408	TYPE_ACCELEROMETER	-0.15792847	0.77168274	5.0034027
1561084881408	TYPE_MAGNETIC_FIELD	-27.72	0.35999998	-44.399998
1561084881408	TYPE_GYROSCOPE	0.39128113	-0.16499329	0.016616821
1561084881408	TYPE_ROTATION_VECTOR	0.03733652	-0.019414237	-0.66338533
1561084881408	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.359999	-24.48	-101.34
1561084881408	TYPE_GYROSCOPE_UNCALIBRATED	0.7724304	-0.18966675	0.02381897
1561084881408	TYPE_ACCELEROMETER_UNCALIBRATED	-0.044265747	0.7513428	5.087143
1561084881428	TYPE_ACCELEROMETER	-0.23449707	0.8518524	4.614563
1561084881428	TYPE_MAGNETIC_FIELD	-27.599998	-0.24	-44.28
1561084881428	TYPE_GYROSCOPE	0.19580078	-0.09321594	0.041366577
1561084881428	TYPE_ROTATION_VECTOR	0.044576015	-0.031087467	-0.66324353
