#	startTime:1561084928584
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561084928584	TYPE_WAYPOINT	136.73796	119.798744
1561084929278	TYPE_ACCELEROMETER	0.42832947	-0.28953552	4.959137
1561084929278	TYPE_MAGNETIC_FIELD	5.22	-26.099998	-25.619999
1561084929278	TYPE_GYROSCOPE	-1.1780396	0.020721436	-0.10922241
1561084929278	TYPE_ROTATION_VECTOR	-0.029394628	0.06697216	0.9961555
1561084929278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	59.88	-53.699997	-85.08
1561084929278	TYPE_GYROSCOPE_UNCALIBRATED	-1.1765442	0.02078247	-0.10997009
1561084929278	TYPE_ACCELEROMETER_UNCALIBRATED	0.39720154	0.61616516	5.0572357
1561084929297	TYPE_ACCELEROMETER	-0.3134613	-1.4871368	9.337997
1561084929297	TYPE_MAGNETIC_FIELD	5.46	-25.98	-25.98
1561084929297	TYPE_GYROSCOPE	-1.813034	0.029876709	-0.18006897
1561084929297	TYPE_ROTATION_VECTOR	-0.030254522	0.057558432	0.99669635
1561084929297	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.12	-53.579998	-85.44
1561084929297	TYPE_GYROSCOPE_UNCALIBRATED	-1.1765442	0.02078247	-0.10997009
1561084929297	TYPE_ACCELEROMETER_UNCALIBRATED	0.14356995	-0.9786682	6.3601227
1561084929316	TYPE_ACCELEROMETER	-0.9870453	-2.342575	17.449661
1561084929316	TYPE_MAGNETIC_FIELD	5.7	-25.5	-26.279999
1561084929316	TYPE_GYROSCOPE	-2.4474335	0.1563263	-0.19717407
1561084929316	TYPE_ROTATION_VECTOR	-0.031150522	0.04371876	0.99732506
1561084929316	TYPE_MAGNETIC_FIELD_UNCALIBRATED	60.36	-53.1	-85.74
