#	startTime:1561085007945
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085007946	TYPE_WAYPOINT	139.95401	112.12444
1561085008070	TYPE_ACCELEROMETER	0.0765686	0.090927124	5.8361053
1561085008070	TYPE_MAGNETIC_FIELD	3.54	-31.08	-38.219997
1561085008070	TYPE_GYROSCOPE	-2.746582E-4	-6.5612793E-4	-0.011474609
1561085008070	TYPE_ROTATION_VECTOR	0.034216885	-0.044201676	-0.9228049
1561085008070	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.2	-58.68	-97.67999
1561085008070	TYPE_GYROSCOPE_UNCALIBRATED	0.0012207031	-5.950928E-4	-0.01222229
1561085008070	TYPE_ACCELEROMETER_UNCALIBRATED	0.22732544	0.06700134	5.715271
1561085008089	TYPE_ACCELEROMETER	-0.24885559	0.07418823	5.8444824
1561085008089	TYPE_MAGNETIC_FIELD	-9.3	-24.48	-46.079998
1561085008089	TYPE_GYROSCOPE	0.009796143	0.097076416	-0.21092224
1561085008089	TYPE_ROTATION_VECTOR	-0.017574757	-0.013316477	-0.9827378
1561085008089	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.36	-52.079998	-105.53999
1561085008089	TYPE_GYROSCOPE_UNCALIBRATED	0.0012207031	-5.950928E-4	-0.01222229
1561085008089	TYPE_ACCELEROMETER_UNCALIBRATED	0.22732544	0.06700134	5.715271
1561085008108	TYPE_ACCELEROMETER	-0.53240967	0.095718384	5.625534
1561085008108	TYPE_MAGNETIC_FIELD	-9.36	-24.6	-46.26
1561085008108	TYPE_GYROSCOPE	-0.0619812	0.07142639	-0.19352722
1561085008108	TYPE_ROTATION_VECTOR	0.007812616	-1.3328563E-9	-0.980385
1561085008108	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.3	-52.199997	-105.72
1561085008108	TYPE_GYROSCOPE_UNCALIBRATED	-0.06048584	0.07148743	-0.1942749
1561085008108	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4235382	0.09811401	5.7870483
1561085008127	TYPE_ACCELEROMETER	-0.3900299	0.12921143	5.740387
1561085008127	TYPE_MAGNETIC_FIELD	-9.48	-24.779999	-46.14
1561085008127	TYPE_GYROSCOPE	-0.19117737	0.055526733	-0.1257019
1561085008127	TYPE_ROTATION_VECTOR	0.03718472	0.008798047	-0.9707605
1561085008127	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.18	-52.379997	-105.6
1561085008127	TYPE_GYROSCOPE_UNCALIBRATED	-0.06048584	0.07148743	-0.1942749
1561085008127	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4235382	0.09811401	5.7870483
1561085008147	TYPE_ACCELEROMETER	0.06460571	-0.18664551	6.2440643
1561085008147	TYPE_MAGNETIC_FIELD	-9.48	-24.84	-46.14
1561085008147	TYPE_GYROSCOPE	-0.31915283	0.030792236	-0.08355713
1561085008147	TYPE_ROTATION_VECTOR	0.046196736	0.007813849	-0.9681147
1561085008147	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.18	-52.44	-105.6
1561085008147	TYPE_GYROSCOPE_UNCALIBRATED	-0.189682	0.05558777	-0.12644958
1561085008147	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50608826	0.11126709	5.5896454
1561085008166	TYPE_ACCELEROMETER	0.11366272	0.61735535	6.5599213
1561085008166	TYPE_MAGNETIC_FIELD	-9.54	-24.84	-46.079998
1561085008166	TYPE_GYROSCOPE	-0.50271606	-0.02142334	-0.04324341
1561085008166	TYPE_ROTATION_VECTOR	0.0123633025	-0.009504374	-0.98096865
1561085008166	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.12	-52.44	-105.53999
1561085008166	TYPE_GYROSCOPE_UNCALIBRATED	-0.31765747	0.030853271	-0.08430481
1561085008166	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0012054443	-0.18066406	6.374481
1561085008185	TYPE_ACCELEROMETER	0.5108795	1.4823608	7.8664093
1561085008185	TYPE_MAGNETIC_FIELD	-9.54	-24.779999	-46.26
1561085008185	TYPE_GYROSCOPE	-0.64230347	-0.1356659	-0.04019165
1561085008185	TYPE_ROTATION_VECTOR	0.012035936	-0.0064591737	-0.9811547
1561085008185	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.12	-52.379997	-105.72
1561085008185	TYPE_GYROSCOPE_UNCALIBRATED	-0.6408081	-0.13560486	-0.04093933
1561085008185	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0012054443	-0.18066406	6.374481
1561085008204	TYPE_ACCELEROMETER	0.5108795	1.0695953	8.8941345
1561085008204	TYPE_MAGNETIC_FIELD	-9.36	-24.779999	-46.26
1561085008204	TYPE_GYROSCOPE	-0.60198975	-0.20835876	-0.038360596
1561085008204	TYPE_ROTATION_VECTOR	0.01091639	-0.0017865703	-0.9812568
1561085008204	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.3	-52.379997	-105.72
1561085008204	TYPE_GYROSCOPE_UNCALIBRATED	-0.6004944	-0.20829773	-0.039108276
1561085008204	TYPE_ACCELEROMETER_UNCALIBRATED	0.57788086	1.2263336	8.471802
1561085008224	TYPE_ACCELEROMETER	0.27996826	0.85783386	10.084549
