#	startTime:1561085052746
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085052746	TYPE_WAYPOINT	131.55986	97.558525
1561085052872	TYPE_ACCELEROMETER	-0.67477417	0.7537384	12.541977
1561085052872	TYPE_MAGNETIC_FIELD	-1.26	-29.22	-20.64
1561085052872	TYPE_GYROSCOPE	0.1023407	0.024383545	0.1882782
1561085052872	TYPE_ROTATION_VECTOR	0.030505514	-0.027842313	-0.9985827
1561085052872	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.4	-56.82	-80.1
1561085052872	TYPE_GYROSCOPE_UNCALIBRATED	0.10383606	0.02444458	0.18753052
1561085052872	TYPE_ACCELEROMETER_UNCALIBRATED	-0.73579407	0.7417755	12.360123
1561085052891	TYPE_ACCELEROMETER	-0.81954956	0.9499512	11.876785
1561085052891	TYPE_MAGNETIC_FIELD	-1.26	-29.279999	-20.58
1561085052891	TYPE_GYROSCOPE	0.24848938	-0.009063721	0.010070801
1561085052891	TYPE_ROTATION_VECTOR	0.030408904	-0.031966336	-0.9981111
1561085052891	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.4	-56.879997	-80.04
1561085052891	TYPE_GYROSCOPE_UNCALIBRATED	0.24998474	-0.009002686	0.00932312
1561085052891	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7262268	0.82073975	12.330215
1561085052910	TYPE_ACCELEROMETER	-0.6424713	1.0205383	11.014175
1561085052910	TYPE_MAGNETIC_FIELD	-1.38	-29.279999	-20.46
1561085052910	TYPE_GYROSCOPE	0.40930176	-0.114593506	-0.04537964
1561085052910	TYPE_ROTATION_VECTOR	0.036755916	-0.04262864	-0.9966552
1561085052910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.28	-56.879997	-79.92
1561085052910	TYPE_GYROSCOPE_UNCALIBRATED	0.41079712	-0.11453247	-0.04612732
1561085052910	TYPE_ACCELEROMETER_UNCALIBRATED	-0.79441833	1.031311	11.46283
1561085052929	TYPE_ACCELEROMETER	-0.47737122	1.002594	9.577286
1561085052929	TYPE_MAGNETIC_FIELD	-1.4399999	-29.4	-20.16
1561085052929	TYPE_GYROSCOPE	0.50827026	-0.26516724	-0.07133484
1561085052929	TYPE_ROTATION_VECTOR	0.026524516	-0.047158957	-0.99726564
