#	startTime:1561085288807
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085288807	TYPE_WAYPOINT	186.55028	103.96966
1561085288927	TYPE_ACCELEROMETER	-0.041870117	0.7680969	7.296921
1561085288927	TYPE_MAGNETIC_FIELD	-36.059998	-18.96	-31.56
1561085288927	TYPE_GYROSCOPE	-0.015548706	-0.03425598	0.016616821
1561085288927	TYPE_ROTATION_VECTOR	0.027346727	-0.041135248	-0.8438015
1561085288927	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.0	-44.879997	-96.119995
1561085288927	TYPE_GYROSCOPE_UNCALIBRATED	-0.014053345	-0.034194946	0.01586914
1561085288927	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08734131	0.78604126	7.0695953
1561085288946	TYPE_ACCELEROMETER	-0.14955139	0.84706116	6.886551
1561085288946	TYPE_MAGNETIC_FIELD	-36.3	-19.199999	-31.38
1561085288946	TYPE_GYROSCOPE	0.023849487	-0.060836792	0.021652222
1561085288946	TYPE_ROTATION_VECTOR	0.034211252	-0.04188946	-0.8370961
1561085288946	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.759998	-45.12	-95.939995
1561085288946	TYPE_GYROSCOPE_UNCALIBRATED	-0.002456665	-0.05253601	0.029006958
1561085288946	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18185425	0.89611816	6.631714
1561085288965	TYPE_ACCELEROMETER	-0.18544006	0.94277954	6.2237396
1561085288965	TYPE_MAGNETIC_FIELD	-36.48	-19.38	-31.26
1561085288965	TYPE_GYROSCOPE	-0.0039520264	-0.052597046	0.029754639
1561085288965	TYPE_ROTATION_VECTOR	0.04779751	-0.048439678	-0.8317568
1561085288965	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.579998	-45.3	-95.82
1561085288965	TYPE_GYROSCOPE_UNCALIBRATED	-0.002456665	-0.05253601	0.029006958
1561085288965	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18664551	1.0193481	5.7750854
1561085288984	TYPE_ACCELEROMETER	-0.18544006	1.0827637	5.4460754
1561085288984	TYPE_MAGNETIC_FIELD	-36.36	-19.56	-30.96
1561085288984	TYPE_GYROSCOPE	-0.06625366	-0.036392212	0.036468506
1561085288984	TYPE_ROTATION_VECTOR	0.060744368	-0.062160127	-0.82435036
1561085288984	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.699997	-45.48	-95.52
1561085288984	TYPE_GYROSCOPE_UNCALIBRATED	-0.0647583	-0.036331177	0.035720825
