#	startTime:1561085312819
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085312820	TYPE_WAYPOINT	197.39647	96.19002
1561085312934	TYPE_ACCELEROMETER	-1.552948	-1.1329956	16.522446
1561085312934	TYPE_MAGNETIC_FIELD	-17.039999	-13.679999	-30.179998
1561085312934	TYPE_GYROSCOPE	-0.0057678223	-0.04647827	-0.07194519
1561085312934	TYPE_ROTATION_VECTOR	0.033950675	0.039086986	-0.89369506
1561085312934	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.019997	-39.6	-94.74
1561085312934	TYPE_GYROSCOPE_UNCALIBRATED	-0.004272461	-0.046417236	-0.07269287
1561085312934	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4931335	-0.99542236	15.649063
1561085312953	TYPE_ACCELEROMETER	-1.4847565	-0.9523468	16.112076
1561085312953	TYPE_MAGNETIC_FIELD	-17.16	-13.62	-30.539999
1561085312953	TYPE_GYROSCOPE	0.06906128	-0.038238525	0.055114746
1561085312953	TYPE_ROTATION_VECTOR	0.026607674	0.05199989	-0.89039844
1561085312953	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.899998	-39.54	-95.1
1561085312953	TYPE_GYROSCOPE_UNCALIBRATED	-0.004272461	-0.046417236	-0.07269287
1561085312953	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5337982	-1.1030884	16.666016
1561085312972	TYPE_ACCELEROMETER	-1.1652985	-0.8494568	13.927429
1561085312972	TYPE_MAGNETIC_FIELD	-17.58	-13.62	-30.72
