#	startTime:1561085379045
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085379046	TYPE_WAYPOINT	201.87337	96.40608
1561085379179	TYPE_ACCELEROMETER	-0.84347534	1.0660095	9.072388
1561085379179	TYPE_MAGNETIC_FIELD	-8.639999	21.779999	-24.539999
1561085379179	TYPE_GYROSCOPE	-0.021652222	0.05796814	-0.28086853
1561085379179	TYPE_ROTATION_VECTOR	0.06442634	0.03484377	-0.19562155
1561085379179	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.66	-2.9400005	-88.38
1561085379179	TYPE_GYROSCOPE_UNCALIBRATED	-0.02015686	0.058029175	-0.2816162
1561085379179	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9296112	1.0660095	10.045074
1561085379198	TYPE_ACCELEROMETER	-0.57188416	0.9894409	8.316254
1561085379198	TYPE_MAGNETIC_FIELD	-8.94	21.779999	-24.66
1561085379198	TYPE_GYROSCOPE	0.050125122	-0.053207397	-0.1486206
1561085379198	TYPE_ROTATION_VECTOR	0.06679457	0.030090725	-0.23973718
1561085379198	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.36	-2.9400005	-88.5
1561085379198	TYPE_GYROSCOPE_UNCALIBRATED	0.12155151	-0.14263916	-0.017410278
1561085379198	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7154541	1.0157623	8.782852
1561085379217	TYPE_ACCELEROMETER	-0.5778656	0.97268677	7.6295166
1561085379217	TYPE_MAGNETIC_FIELD	-9.179999	22.02	-24.66
1561085379217	TYPE_GYROSCOPE	0.09715271	-0.10481262	-0.014526367
1561085379217	TYPE_ROTATION_VECTOR	0.06516089	0.01978816	-0.2151435
1561085379217	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.12	-2.6999989	-88.5
1561085379217	TYPE_GYROSCOPE_UNCALIBRATED	0.12155151	-0.14263916	-0.017410278
1561085379217	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7154541	1.0157623	8.782852
1561085379236	TYPE_ACCELEROMETER	-0.55992126	0.8757782	7.580475
1561085379236	TYPE_MAGNETIC_FIELD	-9.599999	21.9	-24.779999
1561085379236	TYPE_GYROSCOPE	-0.035110474	-0.055633545	0.004714966
1561085379236	TYPE_ROTATION_VECTOR	0.068866655	0.019470029	-0.25574186
1561085379236	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.7	-2.8199997	-88.619995
1561085379236	TYPE_GYROSCOPE_UNCALIBRATED	-0.10720825	-0.026565552	0.01586914
1561085379236	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55513	0.9942169	7.8795624
1561085379256	TYPE_ACCELEROMETER	-0.49412537	0.7010956	7.7024994
1561085379256	TYPE_MAGNETIC_FIELD	-9.84	22.02	-24.779999
1561085379256	TYPE_GYROSCOPE	-0.1639862	-0.003112793	0.02822876
1561085379256	TYPE_ROTATION_VECTOR	0.06424557	0.022517942	-0.22824605
1561085379256	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.46	-2.6999989	-88.619995
1561085379256	TYPE_GYROSCOPE_UNCALIBRATED	-0.10720825	-0.026565552	0.01586914
1561085379256	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5312042	0.7908325	7.721649
1561085379275	TYPE_ACCELEROMETER	-0.47018433	0.62931824	7.4560394
1561085379275	TYPE_MAGNETIC_FIELD	-9.78	22.02	-24.779999
1561085379275	TYPE_GYROSCOPE	-0.20614624	0.01399231	0.02822876
1561085379275	TYPE_ROTATION_VECTOR	0.049336195	0.022263458	-0.19307864
1561085379275	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.52	-2.6999989	-88.619995
1561085379275	TYPE_GYROSCOPE_UNCALIBRATED	-0.216568	0.029937744	0.020462036
1561085379275	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45344543	0.64009094	7.539795
1561085379294	TYPE_ACCELEROMETER	-0.7118683	0.8123627	7.0791626
1561085379294	TYPE_MAGNETIC_FIELD	-10.0199995	22.02	-24.6
1561085379294	TYPE_GYROSCOPE	-0.22294617	0.05003357	0.015396118
1561085379294	TYPE_ROTATION_VECTOR	0.045736358	0.022684604	-0.18999206
1561085379294	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.28	-2.6999989	-88.44
1561085379294	TYPE_GYROSCOPE_UNCALIBRATED	-0.21380615	0.078811646	0.014343262
1561085379294	TYPE_ACCELEROMETER_UNCALIBRATED	-0.61854553	0.7884369	7.412964
1561085379313	TYPE_ACCELEROMETER	-0.5635071	0.7453613	6.516861
1561085379313	TYPE_MAGNETIC_FIELD	-10.0199995	21.9	-24.539999
1561085379313	TYPE_GYROSCOPE	-0.21377563	0.108688354	0.020904541
1561085379313	TYPE_ROTATION_VECTOR	0.043738775	0.023549683	-0.18977386
1561085379313	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.28	-2.8199997	-88.38
1561085379313	TYPE_GYROSCOPE_UNCALIBRATED	-0.2303009	0.13226318	0.024429321
1561085379313	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6412811	0.7010956	6.702301
1561085379333	TYPE_ACCELEROMETER	-0.48454285	0.67237854	5.883957
1561085379333	TYPE_MAGNETIC_FIELD	-10.2	21.9	-24.3
1561085379333	TYPE_GYROSCOPE	-0.26905823	0.1453247	0.01876831
1561085379333	TYPE_ROTATION_VECTOR	0.04192937	0.024949847	-0.18948348
1561085379333	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.1	-2.8199997	-88.14
1561085379333	TYPE_GYROSCOPE_UNCALIBRATED	-0.2303009	0.13226318	0.024429321
1561085379333	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6412811	0.7010956	6.702301
1561085379352	TYPE_ACCELEROMETER	-0.6125641	0.6257324	6.467804
1561085379352	TYPE_MAGNETIC_FIELD	-10.08	21.9	-24.06
1561085379352	TYPE_GYROSCOPE	-0.44651794	0.08670044	-0.018493652
1561085379352	TYPE_ROTATION_VECTOR	0.039670486	0.0267961	-0.18918261
1561085379352	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.22	-2.8199997	-87.9
1561085379352	TYPE_GYROSCOPE_UNCALIBRATED	-0.5485687	0.032989502	-0.03666687
1561085379352	TYPE_ACCELEROMETER_UNCALIBRATED	-0.51086426	0.7238312	6.201004
1561085379371	TYPE_ACCELEROMETER	-0.55633545	0.6616211	7.569702
1561085379371	TYPE_MAGNETIC_FIELD	-10.08	21.9	-24.06
1561085379371	TYPE_GYROSCOPE	-0.6029053	-0.008926392	-0.040802002
1561085379371	TYPE_ROTATION_VECTOR	0.039670486	0.0267961	-0.18918261
1561085379371	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.22	-2.8199997	-87.9
1561085379371	TYPE_GYROSCOPE_UNCALIBRATED	-0.58735657	-0.008865356	-0.039413452
1561085379371	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62094116	0.62931824	7.060028
1561085379390	TYPE_ACCELEROMETER	-0.5383911	0.79322815	7.5469666
1561085379390	TYPE_MAGNETIC_FIELD	-10.08	21.9	-24.06
1561085379390	TYPE_GYROSCOPE	-0.52256775	0.02835083	-0.0337677
1561085379390	TYPE_ROTATION_VECTOR	0.039670486	0.0267961	-0.18918261
1561085379390	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.22	-2.8199997	-87.9
1561085379390	TYPE_GYROSCOPE_UNCALIBRATED	-0.58735657	-0.008865356	-0.039413452
1561085379390	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62094116	0.62931824	7.060028
1561085379410	TYPE_ACCELEROMETER	-0.33499146	0.8027954	7.4548492
1561085379410	TYPE_MAGNETIC_FIELD	-10.08	21.9	-24.06
1561085379410	TYPE_GYROSCOPE	-0.39886475	0.09036255	-0.022781372
1561085379410	TYPE_ROTATION_VECTOR	0.039670486	0.0267961	-0.18918261
1561085379410	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.22	-2.8199997	-87.9
1561085379410	TYPE_GYROSCOPE_UNCALIBRATED	-0.58735657	-0.008865356	-0.039413452
1561085379410	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62094116	0.62931824	7.060028
1561085379429	TYPE_ACCELEROMETER	-0.27876282	0.95951843	8.147568
1561085379429	TYPE_MAGNETIC_FIELD	-10.08	21.9	-24.06
1561085379429	TYPE_GYROSCOPE	-0.37138367	0.13708496	-0.047210693
1561085379429	TYPE_ROTATION_VECTOR	0.039670486	0.0267961	-0.18918261
1561085379429	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.22	-2.8199997	-87.9
1561085379429	TYPE_GYROSCOPE_UNCALIBRATED	-0.58735657	-0.008865356	-0.039413452
1561085379429	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62094116	0.62931824	7.060028
1561085379448	TYPE_ACCELEROMETER	-0.13998413	0.80519104	8.193024
1561085379448	TYPE_MAGNETIC_FIELD	-10.08	21.9	-24.06
1561085379448	TYPE_GYROSCOPE	-0.3866577	0.08760071	-0.10920715
1561085379448	TYPE_ROTATION_VECTOR	0.039670486	0.0267961	-0.18918261
1561085379448	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.22	-2.8199997	-87.9
1561085379448	TYPE_GYROSCOPE_UNCALIBRATED	-0.58735657	-0.008865356	-0.039413452
1561085379448	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62094116	0.62931824	7.060028
1561085379467	TYPE_ACCELEROMETER	-0.33859253	0.58265686	10.48056
1561085379467	TYPE_MAGNETIC_FIELD	-10.0199995	23.039999	-23.46
1561085379467	TYPE_GYROSCOPE	-0.656662	-0.098098755	-0.12234497
1561085379467	TYPE_ROTATION_VECTOR	0.016774172	0.03516765	-0.1903913
1561085379467	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.28	-1.6800003	-87.3
