#	startTime:1561085645124
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085645124	TYPE_WAYPOINT	222.32147	90.63732
1561085645250	TYPE_ACCELEROMETER	-1.1677094	-0.032302856	8.833115
1561085645250	TYPE_MAGNETIC_FIELD	25.199999	7.44	-40.559998
1561085645250	TYPE_GYROSCOPE	0.21536255	-0.36979675	-0.8385925
1561085645250	TYPE_ROTATION_VECTOR	-0.040524025	0.04210041	0.58870876
1561085645250	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.68	-16.919998	-97.92
1561085645250	TYPE_GYROSCOPE_UNCALIBRATED	0.1496582	-0.4929657	-1.1472168
1561085645250	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1988068	-0.08135986	9.588043
1561085645269	TYPE_ACCELEROMETER	-1.1114655	-0.36132812	8.429916
1561085645269	TYPE_MAGNETIC_FIELD	25.32	7.44	-40.559998
1561085645269	TYPE_GYROSCOPE	0.35279846	0.011245728	0.09817505
1561085645269	TYPE_ROTATION_VECTOR	-0.037723273	0.052195434	0.57298833
1561085645269	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.8	-16.919998	-97.92
1561085645269	TYPE_GYROSCOPE_UNCALIBRATED	0.21685791	-0.36973572	-0.8393402
1561085645269	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1425781	-0.11845398	8.470596
1561085645288	TYPE_ACCELEROMETER	-1.1509552	-0.702301	8.574692
1561085645288	TYPE_MAGNETIC_FIELD	25.32	7.3799996	-40.62
1561085645288	TYPE_GYROSCOPE	0.117004395	0.023162842	0.1329956
1561085645288	TYPE_ROTATION_VECTOR	-0.056072045	0.038565733	0.60839534
1561085645288	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.8	-16.98	-97.979996
1561085645288	TYPE_GYROSCOPE_UNCALIBRATED	0.118499756	0.023223877	0.13224792
1561085645288	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1318054	-0.59342957	8.472992
1561085645307	TYPE_ACCELEROMETER	-1.0408783	-0.6472626	9.048462
1561085645307	TYPE_MAGNETIC_FIELD	25.32	7.14	-40.62
1561085645307	TYPE_GYROSCOPE	-0.00730896	-0.033340454	0.11955261
1561085645307	TYPE_ROTATION_VECTOR	-0.07337766	0.021677246	0.65966094
1561085645307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.8	-17.22	-97.979996
1561085645307	TYPE_GYROSCOPE_UNCALIBRATED	-0.0058135986	-0.03327942	0.11880493
1561085645307	TYPE_ACCELEROMETER_UNCALIBRATED	-1.129425	-0.7106781	8.903702
1561085645327	TYPE_ACCELEROMETER	-0.93200684	-0.26202393	7.873596
1561085645327	TYPE_MAGNETIC_FIELD	25.199999	7.2599998	-40.62
1561085645327	TYPE_GYROSCOPE	0.08555603	-0.08343506	0.0740509
1561085645327	TYPE_ROTATION_VECTOR	-0.062339388	0.022406805	0.6150759
1561085645327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.68	-17.099998	-97.979996
1561085645327	TYPE_GYROSCOPE_UNCALIBRATED	-0.0058135986	-0.03327942	0.11880493
1561085645327	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9571228	-0.49172974	8.609375
1561085645346	TYPE_ACCELEROMETER	-0.64009094	0.037094116	6.467804
1561085645346	TYPE_MAGNETIC_FIELD	25.32	7.08	-40.379997
1561085645346	TYPE_GYROSCOPE	0.2089386	-0.06480408	0.04624939
1561085645346	TYPE_ROTATION_VECTOR	-0.04872265	0.035817523	0.6151904
1561085645346	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.8	-17.279999	-97.74
1561085645346	TYPE_GYROSCOPE_UNCALIBRATED	0.21043396	-0.06474304	0.04550171
1561085645346	TYPE_ACCELEROMETER_UNCALIBRATED	-0.87098694	-0.07777405	7.1569366
1561085645365	TYPE_ACCELEROMETER	-0.17826843	0.22612	5.645874
1561085645365	TYPE_MAGNETIC_FIELD	25.32	6.8399997	-40.379997
1561085645365	TYPE_GYROSCOPE	0.15823364	-0.08129883	0.041671753
1561085645365	TYPE_ROTATION_VECTOR	-0.026948946	0.041050293	0.59785324
1561085645365	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.8	-17.519999	-97.74
1561085645365	TYPE_GYROSCOPE_UNCALIBRATED	0.21043396	-0.06474304	0.04550171
1561085645365	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3589325	0.13400269	5.9198456
1561085645384	TYPE_ACCELEROMETER	-0.034698486	0.46061707	5.708084
1561085645384	TYPE_MAGNETIC_FIELD	25.199999	6.8399997	-40.44
1561085645384	TYPE_GYROSCOPE	-0.03755188	-0.15185547	0.024871826
1561085645384	TYPE_ROTATION_VECTOR	-0.024963887	0.041813664	0.59811586
1561085645384	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.68	-17.519999	-97.8
