#	startTime:1561085681492
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085681492	TYPE_WAYPOINT	203.55861	90.85759
1561085681602	TYPE_ACCELEROMETER	-0.0945282	0.7453766	10.693527
1561085681602	TYPE_MAGNETIC_FIELD	-30.9	-3.6599998	-36.059998
1561085681602	TYPE_GYROSCOPE	-0.063201904	0.0060577393	-0.021850586
1561085681602	TYPE_ROTATION_VECTOR	0.03309983	-0.011164539	-0.72193205
1561085681602	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.58	-28.019999	-93.42
1561085681602	TYPE_GYROSCOPE_UNCALIBRATED	-0.061706543	0.0061187744	-0.022598267
1561085681602	TYPE_ACCELEROMETER_UNCALIBRATED	-0.52163696	0.64486694	10.9088745
1561085681621	TYPE_ACCELEROMETER	-0.10050964	0.9403839	10.5798645
1561085681621	TYPE_MAGNETIC_FIELD	-30.779999	-3.72	-35.76
1561085681621	TYPE_GYROSCOPE	-0.018005371	-0.025100708	-0.057296753
1561085681621	TYPE_ROTATION_VECTOR	0.026740983	-0.022389688	-0.7226148
1561085681621	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.7	-28.079998	-93.119995
1561085681621	TYPE_GYROSCOPE_UNCALIBRATED	-0.061706543	0.0061187744	-0.022598267
1561085681621	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20100403	0.6987152	10.864609
1561085681640	TYPE_ACCELEROMETER	-0.093322754	1.0205383	10.731812
1561085681640	TYPE_MAGNETIC_FIELD	-30.779999	-3.72	-35.76
1561085681640	TYPE_GYROSCOPE	0.04248047	-0.09779358	-0.09791565
1561085681640	TYPE_ROTATION_VECTOR	0.026740983	-0.022389688	-0.7226148
1561085681640	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.7	-28.079998	-93.119995
1561085681640	TYPE_GYROSCOPE_UNCALIBRATED	-0.01651001	-0.025039673	-0.058044434
1561085681640	TYPE_ACCELEROMETER_UNCALIBRATED	-0.12683105	1.0061798	10.68515
1561085681659	TYPE_ACCELEROMETER	-0.1651001	1.0779724	10.691132
1561085681659	TYPE_MAGNETIC_FIELD	-30.779999	-3.72	-35.76
1561085681659	TYPE_GYROSCOPE	0.10508728	-0.0974884	-0.093322754
1561085681659	TYPE_ROTATION_VECTOR	0.026740983	-0.022389688	-0.7226148
1561085681659	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.7	-28.079998	-93.119995
1561085681659	TYPE_GYROSCOPE_UNCALIBRATED	0.04397583	-0.097732544	-0.09866333
1561085681659	TYPE_ACCELEROMETER_UNCALIBRATED	-0.110076904	1.0396881	10.735397
1561085681679	TYPE_ACCELEROMETER	-0.013168335	1.0588226	10.126434
1561085681679	TYPE_MAGNETIC_FIELD	-30.779999	-3.78	-35.34
1561085681679	TYPE_GYROSCOPE	0.1783905	-0.0974884	-0.073791504
1561085681679	TYPE_ROTATION_VECTOR	0.04132069	-0.03125013	-0.7112487
1561085681679	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.7	-28.14	-92.7
1561085681679	TYPE_GYROSCOPE_UNCALIBRATED	0.17988586	-0.09742737	-0.074539185
1561085681679	TYPE_ACCELEROMETER_UNCALIBRATED	-0.122039795	1.0815582	10.482956
1561085681698	TYPE_ACCELEROMETER	-0.01675415	0.96910095	9.442078
1561085681698	TYPE_MAGNETIC_FIELD	-30.9	-4.14	-34.92
1561085681698	TYPE_GYROSCOPE	0.21351624	-0.11734009	-0.049346924
1561085681698	TYPE_ROTATION_VECTOR	0.036413543	-0.037894737	-0.71517766
1561085681698	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.58	-28.499998	-92.28
1561085681698	TYPE_GYROSCOPE_UNCALIBRATED	0.17988586	-0.09742737	-0.074539185
1561085681698	TYPE_ACCELEROMETER_UNCALIBRATED	0.027526855	1.0301056	9.735199
1561085681717	TYPE_ACCELEROMETER	-0.16390991	0.8027954	9.034103
1561085681717	TYPE_MAGNETIC_FIELD	-30.779999	-4.2599998	-34.68
1561085681717	TYPE_GYROSCOPE	0.17167664	-0.13475037	-0.02003479
1561085681717	TYPE_ROTATION_VECTOR	0.037089143	-0.039994396	-0.71554357
1561085681717	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.7	-28.619999	-92.04
1561085681717	TYPE_GYROSCOPE_UNCALIBRATED	0.173172	-0.13468933	-0.02078247
1561085681717	TYPE_ACCELEROMETER_UNCALIBRATED	-0.088531494	0.879364	9.230316
1561085681736	TYPE_ACCELEROMETER	-0.26200867	0.7800598	8.873795
1561085681736	TYPE_MAGNETIC_FIELD	-30.779999	-4.38	-34.68
1561085681736	TYPE_GYROSCOPE	0.10723877	-0.14758301	0.033416748
1561085681736	TYPE_ROTATION_VECTOR	0.037576173	-0.042184394	-0.715762
1561085681736	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.7	-28.739998	-92.04
1561085681736	TYPE_GYROSCOPE_UNCALIBRATED	0.10873413	-0.14752197	0.032669067
1561085681736	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22612	0.77049255	8.896515
1561085681756	TYPE_ACCELEROMETER	-0.27278137	0.81954956	8.719452
1561085681756	TYPE_MAGNETIC_FIELD	-30.72	-4.3199997	-34.62
1561085681756	TYPE_GYROSCOPE	0.07484436	-0.11091614	0.08198547
1561085681756	TYPE_ROTATION_VECTOR	0.03750478	-0.044108983	-0.71572334
1561085681756	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.76	-28.679998	-91.979996
1561085681756	TYPE_GYROSCOPE_UNCALIBRATED	0.10873413	-0.14752197	0.032669067
1561085681756	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2979126	0.8003998	8.866608
1561085681775	TYPE_ACCELEROMETER	-0.18066406	0.80758667	8.334213
1561085681775	TYPE_MAGNETIC_FIELD	-30.779999	-4.56	-34.68
1561085681775	TYPE_GYROSCOPE	0.11791992	-0.060531616	0.12107849
1561085681775	TYPE_ROTATION_VECTOR	0.0371098	-0.04559181	-0.7153465
1561085681775	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.7	-28.919998	-92.04
1561085681775	TYPE_GYROSCOPE_UNCALIBRATED	0.11941528	-0.06047058	0.12033081
1561085681775	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18544006	0.8183441	8.584259
1561085681794	TYPE_ACCELEROMETER	-0.22013855	0.8757782	7.0205383
1561085681794	TYPE_MAGNETIC_FIELD	-30.9	-4.74	-34.86
1561085681794	TYPE_GYROSCOPE	0.20161438	-0.009521484	0.14826965
1561085681794	TYPE_ROTATION_VECTOR	0.03706387	-0.04682308	-0.7146424
1561085681794	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.58	-29.099998	-92.22
1561085681794	TYPE_GYROSCOPE_UNCALIBRATED	0.20310974	-0.009460449	0.14752197
1561085681794	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23210144	0.8374939	7.7192535
1561085681813	TYPE_ACCELEROMETER	-0.08494568	0.89611816	6.295517
1561085681813	TYPE_MAGNETIC_FIELD	-30.9	-4.74	-34.86
1561085681813	TYPE_GYROSCOPE	0.14846802	-0.027542114	0.18614197
1561085681813	TYPE_ROTATION_VECTOR	0.037848335	-0.048166905	-0.7136914
1561085681813	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.58	-29.099998	-92.22
1561085681813	TYPE_GYROSCOPE_UNCALIBRATED	0.20310974	-0.009460449	0.14752197
1561085681813	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15075684	0.89611816	6.5108795
1561085681833	TYPE_ACCELEROMETER	-0.015563965	0.8386841	6.894928
1561085681833	TYPE_MAGNETIC_FIELD	-30.779999	-4.8599997	-34.86
1561085681833	TYPE_GYROSCOPE	-0.05557251	-0.08831787	0.21148682
1561085681833	TYPE_ROTATION_VECTOR	0.039085377	-0.049665205	-0.71247935
1561085681833	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.7	-29.219997	-92.22
1561085681833	TYPE_GYROSCOPE_UNCALIBRATED	0.14996338	-0.02748108	0.18539429
1561085681833	TYPE_ACCELEROMETER_UNCALIBRATED	-0.041885376	0.87338257	6.467804
1561085681852	TYPE_ACCELEROMETER	0.061019897	0.7262268	7.1976166
1561085681852	TYPE_MAGNETIC_FIELD	-30.9	-4.74	-34.68
1561085681852	TYPE_GYROSCOPE	-0.16278076	-0.028762817	0.24203491
1561085681852	TYPE_ROTATION_VECTOR	0.03890979	-0.050515	-0.7111462
1561085681852	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.58	-29.099998	-92.04
1561085681852	TYPE_GYROSCOPE_UNCALIBRATED	-0.1612854	-0.028701782	0.24128723
1561085681852	TYPE_ACCELEROMETER_UNCALIBRATED	0.0143585205	0.7908325	7.1844635
1561085681871	TYPE_ACCELEROMETER	0.13879395	0.6077728	7.002594
1561085681871	TYPE_MAGNETIC_FIELD	-31.08	-4.74	-34.559998
1561085681871	TYPE_GYROSCOPE	-0.1615448	0.09555054	0.26280212
1561085681871	TYPE_ROTATION_VECTOR	0.037378356	-0.05021993	-0.70971423
1561085681871	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.4	-29.099998	-91.92
1561085681871	TYPE_GYROSCOPE_UNCALIBRATED	-0.1612854	-0.028701782	0.24128723
1561085681871	TYPE_ACCELEROMETER_UNCALIBRATED	0.110076904	0.66041565	7.088745
1561085681890	TYPE_ACCELEROMETER	0.13639832	0.53001404	6.830307
1561085681890	TYPE_MAGNETIC_FIELD	-31.38	-4.62	-34.44
1561085681890	TYPE_GYROSCOPE	-0.20309448	0.16397095	0.2631073
1561085681890	TYPE_ROTATION_VECTOR	0.036415063	-0.04896939	-0.70806295
1561085681890	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.1	-28.98	-91.8
1561085681890	TYPE_GYROSCOPE_UNCALIBRATED	-0.16004944	0.09561157	0.26205444
1561085681890	TYPE_ACCELEROMETER_UNCALIBRATED	0.15673828	0.56710815	6.9643097
1561085681910	TYPE_ACCELEROMETER	0.06939697	0.5694885	6.4079895
1561085681910	TYPE_MAGNETIC_FIELD	-31.619999	-4.56	-34.44
1561085681910	TYPE_GYROSCOPE	-0.3011322	0.144104	0.24935913
1561085681910	TYPE_ROTATION_VECTOR	0.03604353	-0.046933822	-0.7063133
1561085681910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.86	-28.919998	-91.8
1561085681910	TYPE_GYROSCOPE_UNCALIBRATED	-0.20159912	0.16403198	0.26235962
1561085681910	TYPE_ACCELEROMETER_UNCALIBRATED	0.095718384	0.5240326	6.5982056
1561085681929	TYPE_ACCELEROMETER	-0.047851562	0.63171387	6.5144653
1561085681929	TYPE_MAGNETIC_FIELD	-31.859999	-4.38	-34.62
1561085681929	TYPE_GYROSCOPE	-0.4764557	0.1068573	0.2371521
1561085681929	TYPE_ROTATION_VECTOR	0.035389595	-0.044294037	-0.704623
1561085681929	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.62	-28.739998	-91.979996
1561085681929	TYPE_GYROSCOPE_UNCALIBRATED	-0.29963684	0.14416504	0.24861145
1561085681929	TYPE_ACCELEROMETER_UNCALIBRATED	0.022735596	0.59342957	6.361328
1561085681948	TYPE_ACCELEROMETER	-0.08255005	0.69511414	7.380661
1561085681948	TYPE_MAGNETIC_FIELD	-31.8	-4.08	-34.38
1561085681948	TYPE_GYROSCOPE	-0.7042999	0.041488647	0.24020386
1561085681948	TYPE_ROTATION_VECTOR	0.033557326	-0.040958334	-0.7030862
1561085681948	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.68	-28.439999	-91.740005
1561085681948	TYPE_GYROSCOPE_UNCALIBRATED	-0.70280457	0.041549683	0.23945618
1561085681948	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0993042	0.6891327	6.8650055
1561085681967	TYPE_ACCELEROMETER	-0.04307556	0.7250366	8.2456665
1561085681967	TYPE_MAGNETIC_FIELD	-31.859999	-4.02	-34.62
1561085681967	TYPE_GYROSCOPE	-0.8576355	-0.06175232	0.25852966
1561085681967	TYPE_ROTATION_VECTOR	0.030034913	-0.036510114	-0.7016763
1561085681967	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.62	-28.38	-91.979996
1561085681967	TYPE_GYROSCOPE_UNCALIBRATED	-0.70280457	0.041549683	0.23945618
1561085681967	TYPE_ACCELEROMETER_UNCALIBRATED	-0.025131226	0.69750977	7.8963165
1561085681987	TYPE_ACCELEROMETER	0.06222534	0.7046814	8.768509
1561085681987	TYPE_MAGNETIC_FIELD	-31.679998	-3.4199998	-34.62
1561085681987	TYPE_GYROSCOPE	-0.9016266	-0.116119385	0.2848053
1561085681987	TYPE_ROTATION_VECTOR	0.024433972	-0.03131277	-0.70024306
1561085681987	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.800001	-27.779999	-91.979996
1561085681987	TYPE_GYROSCOPE_UNCALIBRATED	-0.9001312	-0.11605835	0.28405762
1561085681987	TYPE_ACCELEROMETER_UNCALIBRATED	-0.055038452	0.7405853	8.494522
1561085682006	TYPE_ACCELEROMETER	0.24407959	0.55633545	10.06781
1561085682006	TYPE_MAGNETIC_FIELD	-31.8	-2.82	-34.98
1561085682006	TYPE_GYROSCOPE	-1.0286713	-0.15887451	0.31411743
1561085682006	TYPE_ROTATION_VECTOR	0.01768133	-0.026064765	-0.6986603
1561085682006	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.68	-27.179998	-92.34
1561085682006	TYPE_GYROSCOPE_UNCALIBRATED	-1.0271759	-0.15881348	0.31336975
