#	startTime:1561085707308
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085707308	TYPE_WAYPOINT	212.68396	88.51051
1561085707446	TYPE_ACCELEROMETER	0.48095703	-0.57907104	8.427521
1561085707446	TYPE_MAGNETIC_FIELD	28.32	5.16	-27.24
1561085707446	TYPE_GYROSCOPE	-0.1615448	0.07507324	-0.081726074
1561085707446	TYPE_ROTATION_VECTOR	-0.003575907	-0.028327888	0.60298735
1561085707446	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.8	-19.199999	-84.6
1561085707446	TYPE_GYROSCOPE_UNCALIBRATED	-0.16004944	0.07513428	-0.082473755
1561085707446	TYPE_ACCELEROMETER_UNCALIBRATED	0.25483704	-0.43788147	8.526825
1561085707465	TYPE_ACCELEROMETER	0.84347534	-0.75852966	8.398819
1561085707465	TYPE_MAGNETIC_FIELD	27.779999	5.16	-27.119999
1561085707465	TYPE_GYROSCOPE	0.0046081543	-0.06939697	-0.117767334
1561085707465	TYPE_ROTATION_VECTOR	-0.006714081	-0.043642335	0.66351026
1561085707465	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.259995	-19.199999	-84.479996
1561085707465	TYPE_GYROSCOPE_UNCALIBRATED	0.0061035156	-0.06933594	-0.118515015
1561085707465	TYPE_ACCELEROMETER_UNCALIBRATED	0.7525482	-0.673584	8.435898
1561085707484	TYPE_ACCELEROMETER	0.619751	-0.7298126	7.9358063
1561085707484	TYPE_MAGNETIC_FIELD	27.72	5.2799997	-27.06
1561085707484	TYPE_GYROSCOPE	0.15885925	-0.12557983	-0.12142944
1561085707484	TYPE_ROTATION_VECTOR	-0.003522552	-0.06615606	0.6579341
1561085707484	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.2	-19.079998	-84.42
