#	startTime:1561085728144
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085728144	TYPE_WAYPOINT	203.55861	90.85759
1561085728278	TYPE_ACCELEROMETER	-0.124435425	-0.029922485	8.149963
1561085728278	TYPE_MAGNETIC_FIELD	-13.62	-13.08	-38.64
1561085728278	TYPE_GYROSCOPE	-0.054031372	-0.03425598	-0.02003479
1561085728278	TYPE_ROTATION_VECTOR	0.018393077	-0.019838788	-0.91099226
1561085728278	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.86	-37.44	-96.0
1561085728278	TYPE_GYROSCOPE_UNCALIBRATED	-0.05253601	-0.034194946	-0.02078247
1561085728278	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15553284	0.16271973	7.4201508
1561085728297	TYPE_ACCELEROMETER	-0.46540833	-0.4091797	10.116867
1561085728297	TYPE_MAGNETIC_FIELD	-13.559999	-13.38	-38.579998
1561085728297	TYPE_GYROSCOPE	-0.43063354	0.028045654	-0.03591919
1561085728297	TYPE_ROTATION_VECTOR	0.0067143436	-1.9855873E-9	-0.92993003
1561085728297	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.92	-37.739998	-95.94
1561085728297	TYPE_GYROSCOPE_UNCALIBRATED	-0.42913818	0.02810669	-0.03666687
1561085728297	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19262695	-0.24047852	9.04248
1561085728316	TYPE_ACCELEROMETER	-0.7872467	-0.9990082	13.192841
1561085728316	TYPE_MAGNETIC_FIELD	-13.62	-13.38	-38.579998
