#	startTime:1561085915515
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561085915516	TYPE_WAYPOINT	148.24092	101.74479
1561085915633	TYPE_ACCELEROMETER	-1.252655	-0.8889313	16.071396
1561085915633	TYPE_MAGNETIC_FIELD	14.04	27.72	-25.92
1561085915633	TYPE_GYROSCOPE	-0.035095215	-0.08679199	-0.11286926
1561085915633	TYPE_ROTATION_VECTOR	-0.024329934	0.04299099	0.20751025
1561085915633	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.22	-0.7199993	-87.54
1561085915633	TYPE_GYROSCOPE_UNCALIBRATED	-0.033599854	-0.08673096	-0.11361694
1561085915633	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5254364	-0.5970154	15.731613
1561085915652	TYPE_ACCELEROMETER	-0.8422699	-0.9738922	14.103302
1561085915652	TYPE_MAGNETIC_FIELD	14.28	27.96	-25.92
1561085915652	TYPE_GYROSCOPE	0.27140808	-0.054275513	-0.073028564
1561085915652	TYPE_ROTATION_VECTOR	-0.037811022	0.022817079	0.2303088
1561085915652	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.46	-0.47999954	-87.54
1561085915652	TYPE_GYROSCOPE_UNCALIBRATED	0.27290344	-0.054214478	-0.073776245
1561085915652	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9750824	-1.018158	15.385849
1561085915671	TYPE_ACCELEROMETER	-0.80519104	-0.7896271	12.011978
1561085915671	TYPE_MAGNETIC_FIELD	14.639999	28.019999	-26.099998
1561085915671	TYPE_GYROSCOPE	0.5656891	-0.100234985	-0.078063965
1561085915671	TYPE_ROTATION_VECTOR	-0.04126591	0.022193752	0.2536312
1561085915671	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.82	-0.42000008	-87.72
1561085915671	TYPE_GYROSCOPE_UNCALIBRATED	0.6230774	-0.11605835	-0.078201294
1561085915671	TYPE_ACCELEROMETER_UNCALIBRATED	-0.82432556	-0.850647	12.894928
1561085915690	TYPE_ACCELEROMETER	-1.0588226	-0.8183441	10.587051
1561085915690	TYPE_MAGNETIC_FIELD	14.639999	28.019999	-26.099998
1561085915690	TYPE_GYROSCOPE	0.62158203	-0.116119385	-0.07745361
1561085915690	TYPE_ROTATION_VECTOR	-0.04126591	0.022193752	0.2536312
1561085915690	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.82	-0.42000008	-87.72
1561085915690	TYPE_GYROSCOPE_UNCALIBRATED	0.6230774	-0.11605835	-0.078201294
1561085915690	TYPE_ACCELEROMETER_UNCALIBRATED	-0.87457275	-0.80519104	11.309677
1561085915710	TYPE_ACCELEROMETER	-1.5110626	-0.8374939	9.302109
1561085915710	TYPE_MAGNETIC_FIELD	14.639999	28.019999	-26.099998
1561085915710	TYPE_GYROSCOPE	0.58218384	-0.018997192	-0.052093506
1561085915710	TYPE_ROTATION_VECTOR	-0.04126591	0.022193752	0.2536312
1561085915710	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.82	-0.42000008	-87.72
1561085915710	TYPE_GYROSCOPE_UNCALIBRATED	0.5836792	-0.018936157	-0.052841187
1561085915710	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2729797	-0.81715393	9.840485
1561085915729	TYPE_ACCELEROMETER	-1.8209381	-0.9332123	9.079559
1561085915729	TYPE_MAGNETIC_FIELD	14.7	28.199999	-26.22
1561085915729	TYPE_GYROSCOPE	0.3851776	0.017349243	-0.009643555
1561085915729	TYPE_ROTATION_VECTOR	-0.061847612	0.081622496	0.16835308
1561085915729	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.88	-0.23999977	-87.84
1561085915729	TYPE_GYROSCOPE_UNCALIBRATED	0.38667297	0.017410278	-0.010391235
1561085915729	TYPE_ACCELEROMETER_UNCALIBRATED	-1.696518	-0.8865509	9.135803
1561085915748	TYPE_ACCELEROMETER	-1.7910309	-0.9248352	8.696716
1561085915748	TYPE_MAGNETIC_FIELD	14.82	28.26	-26.46
1561085915748	TYPE_GYROSCOPE	0.23094177	0.047286987	0.018463135
1561085915748	TYPE_ROTATION_VECTOR	-0.063739724	0.09417102	0.15174106
1561085915748	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.0	-0.1799984	-88.08
1561085915748	TYPE_GYROSCOPE_UNCALIBRATED	0.23243713	0.047348022	0.017715454
1561085915748	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8675995	-0.9475708	8.885742
1561085915767	TYPE_ACCELEROMETER	-1.4237366	-0.7393799	8.591431
1561085915767	TYPE_MAGNETIC_FIELD	14.88	28.019999	-26.88
1561085915767	TYPE_GYROSCOPE	0.14419556	0.094940186	0.012039185
1561085915767	TYPE_ROTATION_VECTOR	-0.05800518	0.0956909	0.1512049
1561085915767	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.06	-0.42000008	-88.5
1561085915767	TYPE_GYROSCOPE_UNCALIBRATED	0.14569092	0.09500122	0.011291504
1561085915767	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6235352	-0.85543823	8.648865
1561085915787	TYPE_ACCELEROMETER	-0.9499512	-0.5120697	8.163116
1561085915787	TYPE_MAGNETIC_FIELD	14.94	27.84	-26.88
1561085915787	TYPE_GYROSCOPE	0.12463379	0.07539368	-0.026443481
1561085915787	TYPE_ROTATION_VECTOR	-0.05677282	0.09679605	0.15113376
1561085915787	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.12	-0.5999985	-88.5
1561085915787	TYPE_GYROSCOPE_UNCALIBRATED	0.12612915	0.07545471	-0.027191162
1561085915787	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2024078	-0.619751	8.416748
1561085915806	TYPE_ACCELEROMETER	-0.59103394	-0.2715912	7.5517426
1561085915806	TYPE_MAGNETIC_FIELD	14.94	27.72	-27.18
1561085915806	TYPE_GYROSCOPE	0.122802734	0.055541992	-0.0725708
1561085915806	TYPE_ROTATION_VECTOR	-0.05572853	0.097676806	0.15072836
1561085915806	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.12	-0.7199993	-88.8
1561085915806	TYPE_GYROSCOPE_UNCALIBRATED	0.124298096	0.055603027	-0.07331848
1561085915806	TYPE_ACCELEROMETER_UNCALIBRATED	-0.73579407	-0.39242554	7.8843536
1561085915825	TYPE_ACCELEROMETER	-0.57188416	0.050247192	6.9415894
1561085915825	TYPE_MAGNETIC_FIELD	14.88	27.66	-27.48
1561085915825	TYPE_GYROSCOPE	0.07424927	0.013381958	-0.11502075
1561085915825	TYPE_ROTATION_VECTOR	-0.054722413	0.09833773	0.14990471
1561085915825	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.06	-0.7799988	-89.1
1561085915825	TYPE_GYROSCOPE_UNCALIBRATED	0.07574463	0.013442993	-0.11576843
1561085915825	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5383911	-0.13639832	7.2023926
1561085915844	TYPE_ACCELEROMETER	-0.6388855	0.29312134	6.242874
1561085915844	TYPE_MAGNETIC_FIELD	14.7	27.599998	-27.72
1561085915844	TYPE_GYROSCOPE	0.020187378	8.69751E-4	-0.12600708
1561085915844	TYPE_ROTATION_VECTOR	-0.05414958	0.0985129	0.14874901
1561085915844	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.88	-0.84000015	-89.34
1561085915844	TYPE_GYROSCOPE_UNCALIBRATED	0.009155273	0.0806427	-0.09988403
1561085915844	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6125641	0.2093811	6.6341095
1561085915864	TYPE_ACCELEROMETER	-0.7908325	0.44506836	5.708084
1561085915864	TYPE_MAGNETIC_FIELD	15.0	27.42	-27.599998
1561085915864	TYPE_GYROSCOPE	0.007659912	0.080581665	-0.09913635
