#	startTime:1561086386116
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561086386116	TYPE_WAYPOINT	77.96366	25.353867
1561086386255	TYPE_ACCELEROMETER	-0.70588684	1.2155609	10.862228
1561086386255	TYPE_MAGNETIC_FIELD	27.06	-19.02	-29.699999
1561086386255	TYPE_GYROSCOPE	-0.027160645	-0.053359985	0.03465271
1561086386255	TYPE_ROTATION_VECTOR	-0.0053423773	0.066062085	0.8751504
1561086386255	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.86	-42.84	-87.24
1561086386255	TYPE_GYROSCOPE_UNCALIBRATED	0.0073242188	-0.020767212	-0.10812378
1561086386255	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5647125	1.1318054	10.543976
1561086386274	TYPE_ACCELEROMETER	-0.42951965	1.0504608	10.058228
1561086386274	TYPE_MAGNETIC_FIELD	27.18	-19.199999	-29.939999
1561086386274	TYPE_GYROSCOPE	-0.00730896	-0.07243347	0.066711426
1561086386274	TYPE_ROTATION_VECTOR	0.0054825316	0.060249757	0.8728715
1561086386274	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.979996	-43.019997	-87.479996
1561086386274	TYPE_GYROSCOPE_UNCALIBRATED	-0.024749756	-0.068099976	0.076049805
1561086386274	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5647125	1.1318054	10.543976
1561086386293	TYPE_ACCELEROMETER	-0.52163696	1.0791626	9.131012
1561086386293	TYPE_MAGNETIC_FIELD	27.3	-19.5	-30.0
1561086386293	TYPE_GYROSCOPE	0.027816772	-0.05381775	0.0670166
1561086386293	TYPE_ROTATION_VECTOR	5.4830257E-6	0.058415227	0.8809938
1561086386293	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.1	-43.32	-87.53999
1561086386293	TYPE_GYROSCOPE_UNCALIBRATED	-0.024749756	-0.068099976	0.076049805
1561086386293	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45225525	1.0504608	9.564117
1561086386312	TYPE_ACCELEROMETER	-0.5120697	1.080368	8.163116
1561086386312	TYPE_MAGNETIC_FIELD	27.3	-19.5	-30.0
1561086386312	TYPE_GYROSCOPE	0.04522705	-0.026321411	0.076187134
1561086386312	TYPE_ROTATION_VECTOR	5.4830257E-6	0.058415227	0.8809938
1561086386312	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.1	-43.32	-87.53999
1561086386312	TYPE_GYROSCOPE_UNCALIBRATED	0.044281006	-0.039093018	0.07115173
1561086386312	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5156555	1.0899353	7.6295166
1561086386332	TYPE_ACCELEROMETER	-0.51924133	1.1186523	7.104294
1561086386332	TYPE_MAGNETIC_FIELD	27.3	-19.5	-30.0
1561086386332	TYPE_GYROSCOPE	-0.021362305	-0.04525757	0.086868286
1561086386332	TYPE_ROTATION_VECTOR	5.4830257E-6	0.058415227	0.8809938
1561086386332	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.1	-43.32	-87.53999
1561086386332	TYPE_GYROSCOPE_UNCALIBRATED	0.025039673	-0.027786255	0.080322266
1561086386332	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5156555	1.0899353	7.6295166
1561086386351	TYPE_ACCELEROMETER	-0.46061707	1.1425781	6.4618225
1561086386351	TYPE_MAGNETIC_FIELD	27.359999	-19.8	-30.24
1561086386351	TYPE_GYROSCOPE	-0.11756897	-0.072128296	0.09327698
1561086386351	TYPE_ROTATION_VECTOR	0.008806837	0.09197484	0.8693535
1561086386351	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.159996	-43.62	-87.78
1561086386351	TYPE_GYROSCOPE_UNCALIBRATED	0.025039673	-0.027786255	0.080322266
1561086386351	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4139557	1.121048	6.320648
1561086386370	TYPE_ACCELEROMETER	-0.4008026	1.0887451	6.2811584
1561086386370	TYPE_MAGNETIC_FIELD	27.66	-20.16	-30.359999
1561086386370	TYPE_GYROSCOPE	-0.15298462	-0.032730103	0.092056274
1561086386370	TYPE_ROTATION_VECTOR	0.014936278	0.09085011	0.8668171
1561086386370	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.46	-43.98	-87.899994
1561086386370	TYPE_GYROSCOPE_UNCALIBRATED	-0.0717926	-0.063827515	0.09161377
1561086386370	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4139557	1.121048	6.320648
1561086386389	TYPE_ACCELEROMETER	-0.29432678	1.0085754	6.1830597
1561086386389	TYPE_MAGNETIC_FIELD	27.72	-20.4	-30.359999
1561086386389	TYPE_GYROSCOPE	-0.1456604	0.018585205	0.08900452
1561086386389	TYPE_ROTATION_VECTOR	0.015065761	0.089528695	0.8673445
1561086386389	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.52	-44.22	-87.899994
1561086386389	TYPE_GYROSCOPE_UNCALIBRATED	-0.14324951	-0.05986023	0.09100342
1561086386389	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3517456	1.0325012	6.2321014
1561086386409	TYPE_ACCELEROMETER	-0.23210144	1.1294098	5.799011
1561086386409	TYPE_MAGNETIC_FIELD	27.779999	-20.4	-30.359999
1561086386409	TYPE_GYROSCOPE	-0.1331482	0.051254272	0.086257935
1561086386409	TYPE_ROTATION_VECTOR	0.014700575	0.08808347	0.86790353
1561086386409	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.58	-44.22	-87.899994
1561086386409	TYPE_GYROSCOPE_UNCALIBRATED	-0.1508789	-0.0045776367	0.09069824
1561086386409	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26560974	1.0408783	6.069397
1561086386428	TYPE_ACCELEROMETER	-0.13639832	1.3627167	5.0895386
1561086386428	TYPE_MAGNETIC_FIELD	27.9	-20.52	-30.24
1561086386428	TYPE_GYROSCOPE	-0.20553589	0.06347656	0.09817505
1561086386428	TYPE_ROTATION_VECTOR	0.013942537	0.08694691	0.8684437
1561086386428	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.7	-44.34	-87.78
1561086386428	TYPE_GYROSCOPE_UNCALIBRATED	-0.13317871	0.03727722	0.085510254
1561086386428	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19381714	1.2502594	5.470001
1561086386447	TYPE_ACCELEROMETER	-0.037094116	1.3998108	4.64328
1561086386447	TYPE_MAGNETIC_FIELD	27.72	-20.46	-30.179998
1561086386447	TYPE_GYROSCOPE	-0.40376282	0.08607483	0.11404419
1561086386447	TYPE_ROTATION_VECTOR	0.012968612	0.08606777	0.8689626
1561086386447	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.52	-44.28	-87.71999
1561086386447	TYPE_GYROSCOPE_UNCALIBRATED	-0.15119934	0.058654785	0.09010315
1561086386447	TYPE_ACCELEROMETER_UNCALIBRATED	-0.010772705	1.3663025	4.962723
1561086386466	TYPE_ACCELEROMETER	0.0382843	1.311264	5.4951324
1561086386466	TYPE_MAGNETIC_FIELD	27.66	-20.16	-30.24
1561086386466	TYPE_GYROSCOPE	-0.5610657	0.14349365	0.12870789
1561086386466	TYPE_ROTATION_VECTOR	0.011567546	0.08464749	0.86959404
1561086386466	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.46	-43.98	-87.78
1561086386466	TYPE_GYROSCOPE_UNCALIBRATED	-0.29444885	0.07331848	0.10536194
1561086386466	TYPE_ACCELEROMETER_UNCALIBRATED	-0.010772705	1.3663025	4.962723
1561086386486	TYPE_ACCELEROMETER	0.1710968	1.0863495	6.2105713
1561086386486	TYPE_MAGNETIC_FIELD	27.48	-19.859999	-29.88
1561086386486	TYPE_GYROSCOPE	-0.69514465	0.21313477	0.13146973
1561086386486	TYPE_ROTATION_VECTOR	0.009056794	0.08166663	0.8704576
1561086386486	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.28	-43.68	-87.42
1561086386486	TYPE_GYROSCOPE_UNCALIBRATED	-0.49450684	0.10598755	0.12124634
1561086386486	TYPE_ACCELEROMETER_UNCALIBRATED	0.20219421	0.8781738	6.5862427
1561086386505	TYPE_ACCELEROMETER	0.20698547	0.5862427	7.3339996
1561086386505	TYPE_MAGNETIC_FIELD	27.42	-19.56	-30.0
1561086386505	TYPE_GYROSCOPE	-0.9410248	0.19818115	0.12687683
1561086386505	TYPE_ROTATION_VECTOR	0.0053654574	0.077654146	0.87149036
1561086386505	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.22	-43.379997	-87.53999
1561086386505	TYPE_GYROSCOPE_UNCALIBRATED	-0.61698914	0.18663025	0.13102722
1561086386505	TYPE_ACCELEROMETER_UNCALIBRATED	0.221344	0.24168396	8.567505
1561086386524	TYPE_ACCELEROMETER	0.15553284	-0.08494568	10.06781
1561086386524	TYPE_MAGNETIC_FIELD	27.3	-19.619999	-30.0
