#	startTime:1561086431435
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561086431436	TYPE_WAYPOINT	83.75039	18.611897
1561086431563	TYPE_ACCELEROMETER	-0.08973694	0.3026886	5.5010986
1561086431563	TYPE_MAGNETIC_FIELD	9.9	30.119999	-29.039999
1561086431563	TYPE_GYROSCOPE	0.4138794	-0.103897095	-0.71824646
1561086431563	TYPE_ROTATION_VECTOR	0.017424839	0.020632619	0.12940392
1561086431563	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.7	6.299999	-86.579994
1561086431563	TYPE_GYROSCOPE_UNCALIBRATED	0.41537476	-0.10383606	-0.71899414
1561086431563	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20817566	0.20578003	5.6075745
1561086431582	TYPE_ACCELEROMETER	-0.33380127	0.60658264	5.799011
1561086431582	TYPE_MAGNETIC_FIELD	9.78	29.88	-29.099998
1561086431582	TYPE_GYROSCOPE	0.083099365	-0.085128784	-0.25735474
1561086431582	TYPE_ROTATION_VECTOR	0.036811326	0.018643642	0.13761225
1561086431582	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.58	6.0599995	-86.64
1561086431582	TYPE_GYROSCOPE_UNCALIBRATED	0.30511475	-0.097579956	-0.56536865
1561086431582	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15075684	0.4618225	5.5501556
1561086431601	TYPE_ACCELEROMETER	-0.37329102	0.60658264	6.01915
1561086431601	TYPE_MAGNETIC_FIELD	9.42	29.699999	-29.34
1561086431601	TYPE_GYROSCOPE	-0.05557251	-0.03488159	-0.079589844
1561086431601	TYPE_ROTATION_VECTOR	0.050132494	0.03723243	0.08413862
1561086431601	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.22	5.879999	-86.88
