#	startTime:1561086507137
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561086507137	TYPE_WAYPOINT	72.10191	48.187954
1561086507551	TYPE_ACCELEROMETER	-0.26800537	0.35533142	10.069
1561086507551	TYPE_MAGNETIC_FIELD	-8.04	24.0	-34.98
1561086507551	TYPE_GYROSCOPE	-0.12214661	0.0927887	-0.0056762695
1561086507551	TYPE_ROTATION_VECTOR	0.014879747	0.0125882225	-0.16807267
1561086507551	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.76	0.1800003	-92.52
1561086507551	TYPE_GYROSCOPE_UNCALIBRATED	-0.16738892	0.072402954	-0.013137817
1561086507551	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30030823	0.36610413	10.046265
1561086507571	TYPE_ACCELEROMETER	-0.2871399	0.35772705	9.990036
1561086507571	TYPE_MAGNETIC_FIELD	-8.04	24.119999	-34.8
1561086507571	TYPE_GYROSCOPE	-0.09465027	0.07110596	-0.0038452148
1561086507571	TYPE_ROTATION_VECTOR	0.013614011	0.013626795	-0.16813082
1561086507571	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.76	0.29999924	-92.34
1561086507571	TYPE_GYROSCOPE_UNCALIBRATED	-0.120651245	0.09284973	-0.00642395
1561086507571	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25006104	0.31706238	9.94458
1561086507590	TYPE_ACCELEROMETER	-0.24645996	0.27398682	9.952942
1561086507590	TYPE_MAGNETIC_FIELD	-8.22	24.0	-34.98
1561086507590	TYPE_GYROSCOPE	-0.09680176	0.028045654	-0.0078125
1561086507590	TYPE_ROTATION_VECTOR	0.012785955	0.014641643	-0.16813642
1561086507590	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.76	0.29999924	-92.34
1561086507590	TYPE_GYROSCOPE_UNCALIBRATED	-0.09315491	0.07116699	-0.0045928955
1561086507590	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28355408	0.24287415	10.043869
1561086507609	TYPE_ACCELEROMETER	-0.31704712	0.22851562	10.128815
1561086507609	TYPE_MAGNETIC_FIELD	-8.22	24.24	-34.86
1561086507609	TYPE_GYROSCOPE	-0.06930542	0.014602661	0.0053253174
1561086507609	TYPE_ROTATION_VECTOR	0.011960665	0.01524415	-0.16818176
1561086507609	TYPE_MAGNETIC_FIELD_UNCALIBRATED	47.579998	0.42000008	-92.399994
