#	startTime:1561086872633
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561086872633	TYPE_WAYPOINT	82.51723	101.8025
1561086872763	TYPE_ACCELEROMETER	0.11126709	0.14955139	5.8995056
1561086872763	TYPE_MAGNETIC_FIELD	15.42	21.9	-37.86
1561086872763	TYPE_GYROSCOPE	-0.09327698	-0.028625488	-0.65548706
1561086872763	TYPE_ROTATION_VECTOR	0.02842659	-0.025520582	0.31374604
1561086872763	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.22	-1.9200001	-95.399994
1561086872763	TYPE_GYROSCOPE_UNCALIBRATED	-0.070251465	-0.07635498	-0.8295593
1561086872763	TYPE_ACCELEROMETER_UNCALIBRATED	0.11126709	0.14955139	5.8995056
1561086872782	TYPE_ACCELEROMETER	-0.0382843	0.095718384	6.3517456
1561086872782	TYPE_MAGNETIC_FIELD	15.42	21.9	-37.8
1561086872782	TYPE_GYROSCOPE	-0.1798706	0.12913513	-0.13059998
1561086872782	TYPE_ROTATION_VECTOR	0.014547616	-0.005634337	0.30327088
1561086872782	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.22	-1.9200001	-95.34
1561086872782	TYPE_GYROSCOPE_UNCALIBRATED	-0.13485718	0.06704712	-0.3095703
1561086872782	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0382843	0.095718384	6.3517456
1561086872801	TYPE_ACCELEROMETER	0.02154541	-0.029922485	6.8518524
1561086872801	TYPE_MAGNETIC_FIELD	15.48	21.9	-37.559998
1561086872801	TYPE_GYROSCOPE	-0.26875305	0.1917572	-0.10585022
1561086872801	TYPE_ROTATION_VECTOR	1.4548827E-5	0.0040539736	0.30309045
1561086872801	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.28	-1.9200001	-95.09999
1561086872801	TYPE_GYROSCOPE_UNCALIBRATED	-0.3078766	0.22389221	-0.10140991
1561086872801	TYPE_ACCELEROMETER_UNCALIBRATED	0.02154541	-0.029922485	6.8518524
1561086872820	TYPE_ACCELEROMETER	-0.30747986	-0.14477539	7.5708923
1561086872820	TYPE_MAGNETIC_FIELD	15.78	21.84	-37.559998
1561086872820	TYPE_GYROSCOPE	-0.35305786	0.24215698	-0.09088135
1561086872820	TYPE_ROTATION_VECTOR	1.4551746E-8	4.054787E-6	0.34168178
1561086872820	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.58	-1.9799995	-95.09999
1561086872820	TYPE_GYROSCOPE_UNCALIBRATED	-0.3078766	0.22389221	-0.10140991
1561086872820	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30747986	-0.14477539	7.5708923
1561086872840	TYPE_ACCELEROMETER	-0.2859497	-0.26202393	8.285156
1561086872840	TYPE_MAGNETIC_FIELD	15.96	22.02	-37.739998
1561086872840	TYPE_GYROSCOPE	-0.43492126	0.24337769	-0.038345337
1561086872840	TYPE_ROTATION_VECTOR	-0.015116762	0.01599576	0.29648927
1561086872840	TYPE_MAGNETIC_FIELD_UNCALIBRATED	71.76	-1.7999992	-95.28
1561086872840	TYPE_GYROSCOPE_UNCALIBRATED	-0.3955536	0.24679565	-0.06994629
1561086872840	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30747986	-0.14477539	7.5708923
1561086872859	TYPE_ACCELEROMETER	-0.052642822	-0.20578003	8.498108
1561086872859	TYPE_MAGNETIC_FIELD	16.02	22.08	-37.739998
1561086872859	TYPE_GYROSCOPE	-0.4764557	0.2259674	0.016921997
1561086872859	TYPE_ROTATION_VECTOR	-0.019527977	0.010321225	0.2998656
