#	startTime:1561086925599
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561086925600	TYPE_WAYPOINT	73.09254	95.15654
1561086925722	TYPE_ACCELEROMETER	-0.13519287	0.6006012	15.274582
1561086925722	TYPE_MAGNETIC_FIELD	1.26	-30.779999	-37.2
1561086925722	TYPE_GYROSCOPE	0.039413452	-0.14665222	-0.09820557
1561086925722	TYPE_ROTATION_VECTOR	0.022443576	-0.041139744	-0.99890107
1561086925722	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.059998	-54.6	-94.74
1561086925722	TYPE_GYROSCOPE_UNCALIBRATED	0.040908813	-0.14659119	-0.09895325
1561086925722	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4008026	0.6891327	14.768509
1561086925741	TYPE_ACCELEROMETER	-0.22851562	0.8267212	15.068802
1561086925741	TYPE_MAGNETIC_FIELD	1.5	-30.599998	-37.14
1561086925741	TYPE_GYROSCOPE	0.01071167	-0.11672974	-0.23718262
1561086925741	TYPE_ROTATION_VECTOR	0.012400542	-0.02403647	-0.999095
1561086925741	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.3	-54.42	-94.67999
1561086925741	TYPE_GYROSCOPE_UNCALIBRATED	0.040908813	-0.14659119	-0.09895325
1561086925741	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06341553	0.6879425	15.333206
1561086925760	TYPE_ACCELEROMETER	-0.3254242	0.92362976	14.908478
1561086925760	TYPE_MAGNETIC_FIELD	1.5	-30.72	-37.44
1561086925760	TYPE_GYROSCOPE	0.0705719	-0.14482117	-0.27720642
1561086925760	TYPE_ROTATION_VECTOR	0.003915103	-0.021732807	-0.9995975
1561086925760	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.3	-54.54	-94.979996
1561086925760	TYPE_GYROSCOPE_UNCALIBRATED	0.07206726	-0.14476013	-0.2779541
1561086925760	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30270386	0.899704	14.891739
1561086925779	TYPE_ACCELEROMETER	-0.16511536	0.35653687	15.131012
1561086925779	TYPE_MAGNETIC_FIELD	1.62	-30.9	-37.38
1561086925779	TYPE_GYROSCOPE	0.08218384	-0.2728119	-0.27445984
1561086925779	TYPE_ROTATION_VECTOR	0.009516725	-0.029718775	-0.99921626
1561086925779	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.42	-54.72	-94.92
1561086925779	TYPE_GYROSCOPE_UNCALIBRATED	0.07206726	-0.14476013	-0.2779541
1561086925779	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34457397	0.77407837	15.005386
