#	startTime:1561087029057
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561087029058	TYPE_WAYPOINT	91.769455	59.24169
1561087029184	TYPE_ACCELEROMETER	-0.26202393	1.3986053	10.168304
1561087029184	TYPE_MAGNETIC_FIELD	-32.399998	7.62	-41.04
1561087029184	TYPE_GYROSCOPE	-0.028533936	-0.012588501	-0.0073547363
1561087029184	TYPE_ROTATION_VECTOR	0.06402001	-0.0278851	-0.56528294
1561087029184	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.400002	-16.2	-98.58
1561087029184	TYPE_GYROSCOPE_UNCALIBRATED	0.06352234	-0.024429321	0.023208618
1561087029184	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2967224	1.2263336	9.070007
1561087029203	TYPE_ACCELEROMETER	-0.40559387	1.1629181	10.823944
1561087029203	TYPE_MAGNETIC_FIELD	-32.34	7.68	-40.739998
1561087029203	TYPE_GYROSCOPE	-0.30664062	0.03262329	-0.098526
1561087029203	TYPE_ROTATION_VECTOR	0.06254105	-0.02679615	-0.5574141
1561087029203	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.46	-16.14	-98.28
1561087029203	TYPE_GYROSCOPE_UNCALIBRATED	-0.2081604	0.011306763	-0.07070923
1561087029203	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24885559	1.3890381	9.867996
1561087029222	TYPE_ACCELEROMETER	-0.6161499	0.63171387	12.42952
1561087029222	TYPE_MAGNETIC_FIELD	-32.399998	7.74	-40.559998
1561087029222	TYPE_GYROSCOPE	-0.36741638	0.10317993	-0.08081055
1561087029222	TYPE_ROTATION_VECTOR	0.054089114	-0.015637182	-0.57375455
1561087029222	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.400002	-16.08	-98.09999
1561087029222	TYPE_GYROSCOPE_UNCALIBRATED	-0.3292694	0.06262207	-0.091934204
1561087029222	TYPE_ACCELEROMETER_UNCALIBRATED	-0.51924133	0.93440247	11.516663
1561087029241	TYPE_ACCELEROMETER	-0.38165283	0.15434265	14.490936
1561087029241	TYPE_MAGNETIC_FIELD	-32.28	7.74	-40.26
1561087029241	TYPE_GYROSCOPE	-0.39398193	0.14411926	-0.069503784
1561087029241	TYPE_ROTATION_VECTOR	0.034689605	0.0038869502	-0.60066557
1561087029241	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.52	-16.08	-97.799995
1561087029241	TYPE_GYROSCOPE_UNCALIBRATED	-0.39401245	0.13287354	-0.071777344
1561087029241	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57069397	0.3397827	13.509872
1561087029261	TYPE_ACCELEROMETER	-0.12802124	0.18066406	14.871399
1561087029261	TYPE_MAGNETIC_FIELD	-32.1	7.9199996	-39.78
1561087029261	TYPE_GYROSCOPE	-0.24615479	0.096466064	-0.12937927
1561087029261	TYPE_ROTATION_VECTOR	0.0039372435	3.8879857E-6	-0.6034342
1561087029261	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.7	-15.9	-97.31999
1561087029261	TYPE_GYROSCOPE_UNCALIBRATED	-0.13684082	0.025665283	-0.19946289
1561087029261	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1986084	0.09213257	14.967117
1561087029280	TYPE_ACCELEROMETER	-0.38285828	0.6376953	14.439484
1561087029280	TYPE_MAGNETIC_FIELD	-32.04	8.22	-39.48
1561087029280	TYPE_GYROSCOPE	-0.07510376	-0.05870056	-0.27415466
1561087029280	TYPE_ROTATION_VECTOR	0.0053348206	3.888152E-9	-0.5883995
1561087029280	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.759998	-15.599999	-97.02
1561087029280	TYPE_GYROSCOPE_UNCALIBRATED	-0.13684082	0.025665283	-0.19946289
1561087029280	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1986084	0.09213257	14.967117
1561087029299	TYPE_ACCELEROMETER	-0.44985962	0.97387695	14.869003
1561087029299	TYPE_MAGNETIC_FIELD	-31.92	8.34	-39.0
1561087029299	TYPE_GYROSCOPE	-0.09680176	-0.16467285	-0.3474579
1561087029299	TYPE_ROTATION_VECTOR	0.02266009	2.0738321E-4	-0.57699835
1561087029299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.88	-15.48	-96.53999
1561087029299	TYPE_GYROSCOPE_UNCALIBRATED	-0.07269287	-0.12490845	-0.32865906
1561087029299	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22732544	0.4008026	14.556732
1561087029318	TYPE_ACCELEROMETER	-0.27398682	0.53359985	14.95993
1561087029318	TYPE_MAGNETIC_FIELD	-31.92	8.34	-39.0
1561087029318	TYPE_GYROSCOPE	-0.057403564	-0.19613647	-0.29492188
1561087029318	TYPE_ROTATION_VECTOR	0.02266009	2.0738321E-4	-0.57699835
1561087029318	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.88	-15.48	-96.53999
1561087029318	TYPE_GYROSCOPE_UNCALIBRATED	-0.092559814	-0.1914978	-0.33537292
1561087029318	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46061707	0.8363037	14.629715
1561087029338	TYPE_ACCELEROMETER	-0.034698486	-0.4283142	15.682571
1561087029338	TYPE_MAGNETIC_FIELD	-31.92	8.34	-39.0
1561087029338	TYPE_GYROSCOPE	0.060195923	-0.07977295	-0.18191528
1561087029338	TYPE_ROTATION_VECTOR	0.02266009	2.0738321E-4	-0.57699835
1561087029338	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.88	-15.48	-96.53999
1561087029338	TYPE_GYROSCOPE_UNCALIBRATED	0.16401672	-0.0024414062	-0.14294434
1561087029338	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38404846	0.8925171	14.920456
1561087029357	TYPE_ACCELEROMETER	0.30508423	-1.3339996	15.334412
1561087029357	TYPE_MAGNETIC_FIELD	-31.619999	8.5199995	-38.7
1561087029357	TYPE_GYROSCOPE	0.31370544	0.022857666	-0.120513916
1561087029357	TYPE_ROTATION_VECTOR	0.020502368	-6.5420725E-4	-0.5809392
1561087029357	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.18	-15.3	-96.24
1561087029357	TYPE_GYROSCOPE_UNCALIBRATED	0.16401672	-0.0024414062	-0.14294434
1561087029357	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14237976	0.053848267	15.260223
1561087029376	TYPE_ACCELEROMETER	0.599411	-1.8424683	12.788452
1561087029376	TYPE_MAGNETIC_FIELD	-31.619999	8.82	-38.579998
1561087029376	TYPE_GYROSCOPE	0.68878174	-0.18331909	-0.15533447
1561087029376	TYPE_ROTATION_VECTOR	0.019946117	-0.0032339094	-0.585199
1561087029376	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.18	-15.0	-96.119995
1561087029376	TYPE_GYROSCOPE_UNCALIBRATED	0.50090027	-0.047332764	-0.122802734
1561087029376	TYPE_ACCELEROMETER_UNCALIBRATED	0.105285645	-0.88653564	15.811783
1561087029395	TYPE_ACCELEROMETER	0.2632141	-1.861618	10.4231415
1561087029395	TYPE_MAGNETIC_FIELD	-31.5	8.639999	-38.34
1561087029395	TYPE_GYROSCOPE	0.9367981	-0.32258606	-0.2552185
1561087029395	TYPE_ROTATION_VECTOR	0.02354347	-0.0063562463	-0.5861326
1561087029395	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.3	-15.18	-95.88
1561087029395	TYPE_GYROSCOPE_UNCALIBRATED	0.8433075	-0.291687	-0.20831299
1561087029395	TYPE_ACCELEROMETER_UNCALIBRATED	0.5084839	-1.6797638	14.216965
1561087029415	TYPE_ACCELEROMETER	-0.06581116	-1.7335968	8.811569
1561087029415	TYPE_MAGNETIC_FIELD	-31.74	8.639999	-38.16
1561087029415	TYPE_GYROSCOPE	1.0134583	-0.26486206	-0.29766846
1561087029415	TYPE_ROTATION_VECTOR	0.0284328	-0.013267339	-0.5877281
1561087029415	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.06	-15.18	-95.7
1561087029415	TYPE_GYROSCOPE_UNCALIBRATED	1.0238037	-0.22387695	-0.287735
1561087029415	TYPE_ACCELEROMETER_UNCALIBRATED	0.053833008	-1.7898254	9.57489
1561087029434	TYPE_ACCELEROMETER	-0.11366272	-1.7778778	7.408188
1561087029434	TYPE_MAGNETIC_FIELD	-31.8	8.28	-38.34
1561087029434	TYPE_GYROSCOPE	1.0168152	-0.1723175	-0.26193237
1561087029434	TYPE_ROTATION_VECTOR	0.03440525	-0.021062778	-0.58986646
1561087029434	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.0	-15.54	-95.88
1561087029434	TYPE_GYROSCOPE_UNCALIBRATED	0.9966278	-0.10964966	-0.23243713
1561087029434	TYPE_ACCELEROMETER_UNCALIBRATED	0.053833008	-1.7898254	9.57489
1561087029453	TYPE_ACCELEROMETER	0.022735596	-1.5350037	6.1663055
1561087029453	TYPE_MAGNETIC_FIELD	-31.8	7.9199996	-38.16
1561087029453	TYPE_GYROSCOPE	0.9477997	-0.04862976	-0.20787048
1561087029453	TYPE_ROTATION_VECTOR	0.04112195	-0.028511891	-0.59192884
1561087029453	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.0	-15.9	-95.7
1561087029453	TYPE_GYROSCOPE_UNCALIBRATED	0.9966278	-0.10964966	-0.23243713
1561087029453	TYPE_ACCELEROMETER_UNCALIBRATED	-0.037094116	-1.7192535	6.746567
1561087029472	TYPE_ACCELEROMETER	-0.47138977	-1.1437683	5.967697
1561087029472	TYPE_MAGNETIC_FIELD	-32.04	7.62	-38.16
1561087029472	TYPE_GYROSCOPE	0.70588684	-0.016235352	-0.20573425
1561087029472	TYPE_ROTATION_VECTOR	0.048215088	-0.034903232	-0.59345585
1561087029472	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.759998	-16.2	-95.7
1561087029472	TYPE_GYROSCOPE_UNCALIBRATED	0.53297424	-0.06718445	-0.2043457
1561087029472	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13400269	-1.3088684	5.8875427
1561087029492	TYPE_ACCELEROMETER	-0.6915283	-1.1353912	6.011978
1561087029492	TYPE_MAGNETIC_FIELD	-32.34	6.8399997	-38.1
1561087029492	TYPE_GYROSCOPE	0.3973999	-0.11947632	-0.17732239
1561087029492	TYPE_ROTATION_VECTOR	0.05479662	-0.03974843	-0.59469557
1561087029492	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.46	-16.98	-95.64
1561087029492	TYPE_GYROSCOPE_UNCALIBRATED	0.33566284	-0.12399292	-0.1307373
1561087029492	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13400269	-1.3088684	5.8875427
1561087029511	TYPE_ACCELEROMETER	-0.28474426	-1.0600281	5.1086884
1561087029511	TYPE_MAGNETIC_FIELD	-32.399998	6.0	-37.98
1561087029511	TYPE_GYROSCOPE	0.3155365	-0.0791626	-0.083862305
1561087029511	TYPE_ROTATION_VECTOR	0.058579758	-0.04318468	-0.5960793
1561087029511	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.400002	-17.82	-95.52
1561087029511	TYPE_GYROSCOPE_UNCALIBRATED	0.29595947	-0.01802063	-0.05621338
1561087029511	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48693848	-1.146164	5.6027985
1561087029530	TYPE_ACCELEROMETER	0.017959595	-0.8219452	4.593033
1561087029530	TYPE_MAGNETIC_FIELD	-32.399998	5.3399997	-37.739998
1561087029530	TYPE_GYROSCOPE	0.24375916	0.033233643	-0.03805542
1561087029530	TYPE_ROTATION_VECTOR	0.06049984	-0.04598654	-0.5970101
1561087029530	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.400002	-18.48	-95.28
1561087029530	TYPE_GYROSCOPE_UNCALIBRATED	0.29595947	-0.01802063	-0.05621338
1561087029530	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1375885	-0.9296112	4.7605286
1561087029549	TYPE_ACCELEROMETER	0.42234802	-0.7130585	3.9888458
1561087029549	TYPE_MAGNETIC_FIELD	-32.34	4.7999997	-37.739998
1561087029549	TYPE_GYROSCOPE	0.10632324	0.07417297	-0.011779785
1561087029549	TYPE_ROTATION_VECTOR	0.06266773	-0.04777968	-0.59731466
1561087029549	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.46	-19.02	-95.28
1561087029549	TYPE_GYROSCOPE_UNCALIBRATED	0.043060303	0.059570312	-0.017730713
1561087029549	TYPE_ACCELEROMETER_UNCALIBRATED	0.21296692	-0.7657013	4.368103
1561087029569	TYPE_ACCELEROMETER	0.5754852	-0.46540833	3.5102692
1561087029569	TYPE_MAGNETIC_FIELD	-32.399998	4.08	-37.8
1561087029569	TYPE_GYROSCOPE	-0.03968811	0.049728394	-0.036834717
1561087029569	TYPE_ROTATION_VECTOR	0.06437957	-0.04826006	-0.5973607
1561087029569	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.400002	-19.74	-95.34
1561087029569	TYPE_GYROSCOPE_UNCALIBRATED	0.043060303	0.059570312	-0.017730713
1561087029569	TYPE_ACCELEROMETER_UNCALIBRATED	0.21296692	-0.7657013	4.368103
1561087029588	TYPE_ACCELEROMETER	0.22732544	-0.21655273	3.672989
1561087029588	TYPE_MAGNETIC_FIELD	-32.52	3.84	-37.739998
1561087029588	TYPE_GYROSCOPE	-0.2409668	0.09921265	-0.08874512
1561087029588	TYPE_ROTATION_VECTOR	0.06505065	-0.04803604	-0.59743345
1561087029588	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.279999	-19.98	-95.28
1561087029588	TYPE_GYROSCOPE_UNCALIBRATED	-0.13562012	0.06781006	-0.065979004
1561087029588	TYPE_ACCELEROMETER_UNCALIBRATED	0.4283142	-0.33380127	3.4935303
1561087029607	TYPE_ACCELEROMETER	0.0993042	-0.1758728	4.4650116
1561087029607	TYPE_MAGNETIC_FIELD	-32.579998	3.24	-38.1
1561087029607	TYPE_GYROSCOPE	-0.4505005	0.16305542	-0.08508301
1561087029607	TYPE_ROTATION_VECTOR	0.06442439	-0.046693973	-0.5979518
1561087029607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.220001	-20.58	-95.64
1561087029607	TYPE_GYROSCOPE_UNCALIBRATED	-0.52841187	0.19273376	-0.061401367
1561087029607	TYPE_ACCELEROMETER_UNCALIBRATED	0.08256531	-0.15315247	4.0462646
1561087029626	TYPE_ACCELEROMETER	0.34576416	-0.270401	5.1637115
1561087029626	TYPE_MAGNETIC_FIELD	-32.34	2.8799999	-38.16
1561087029626	TYPE_GYROSCOPE	-0.5858002	0.20947266	-0.036834717
1561087029626	TYPE_ROTATION_VECTOR	0.06255209	-0.04366011	-0.5987578
1561087029626	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.46	-20.94	-95.7
1561087029626	TYPE_GYROSCOPE_UNCALIBRATED	-0.6224823	0.2266388	-0.022918701
1561087029626	TYPE_ACCELEROMETER_UNCALIBRATED	0.25004578	-0.22612	4.8358917
1561087029646	TYPE_ACCELEROMETER	0.17468262	-0.2763672	5.531006
1561087029646	TYPE_MAGNETIC_FIELD	-32.1	2.82	-38.04
1561087029646	TYPE_GYROSCOPE	-0.64842224	0.24887085	-0.01574707
1561087029646	TYPE_ROTATION_VECTOR	0.059645116	-0.03912751	-0.5993191
