#	startTime:1561087113146
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561087113146	TYPE_WAYPOINT	156.0024	54.573063
1561087113294	TYPE_ACCELEROMETER	-0.13998413	0.9643097	8.269592
1561087113294	TYPE_MAGNETIC_FIELD	-1.14	-28.68	-31.14
1561087113294	TYPE_GYROSCOPE	-0.10505676	0.108673096	-0.016677856
1561087113294	TYPE_ROTATION_VECTOR	0.016923612	-0.048891522	-0.9978154
1561087113294	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.66	-52.5	-88.67999
1561087113294	TYPE_GYROSCOPE_UNCALIBRATED	0.09527588	0.07574463	0.017700195
1561087113294	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06700134	0.9056854	8.201401
1561087113313	TYPE_ACCELEROMETER	-0.0023956299	0.84706116	8.311478
1561087113313	TYPE_MAGNETIC_FIELD	-1.1999999	-28.98	-31.14
1561087113313	TYPE_GYROSCOPE	-0.3423767	0.16244507	-0.045074463
1561087113313	TYPE_ROTATION_VECTOR	0.0053475886	-0.053841144	-0.9979124
1561087113313	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.6	-52.8	-88.67999
1561087113313	TYPE_GYROSCOPE_UNCALIBRATED	-0.31552124	0.15058899	-0.05039978
1561087113313	TYPE_ACCELEROMETER_UNCALIBRATED	-0.026321411	0.84347534	8.604599
1561087113332	TYPE_ACCELEROMETER	-0.052642822	0.8363037	8.886948
1561087113332	TYPE_MAGNETIC_FIELD	-1.1999999	-28.98	-31.14
1561087113332	TYPE_GYROSCOPE	-0.3576355	0.15266418	-0.025527954
1561087113332	TYPE_ROTATION_VECTOR	0.0053475886	-0.053841144	-0.9979124
1561087113332	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.6	-52.8	-88.67999
1561087113332	TYPE_GYROSCOPE_UNCALIBRATED	-0.3579712	0.16189575	-0.039108276
1561087113332	TYPE_ACCELEROMETER_UNCALIBRATED	-0.026321411	0.84347534	8.604599
1561087113351	TYPE_ACCELEROMETER	0.13400269	0.7501526	9.135803
1561087113351	TYPE_MAGNETIC_FIELD	-1.3199999	-28.98	-31.38
1561087113351	TYPE_GYROSCOPE	-0.31549072	0.15205383	0.016021729
1561087113351	TYPE_ROTATION_VECTOR	-0.0035152857	-0.04115952	-0.99865717
1561087113351	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.48	-52.8	-88.92
1561087113351	TYPE_GYROSCOPE_UNCALIBRATED	-0.3378296	0.14692688	-0.00642395
1561087113351	TYPE_ACCELEROMETER_UNCALIBRATED	0.20100403	0.75613403	9.241089
1561087113371	TYPE_ACCELEROMETER	0.16271973	0.74894714	9.293732
1561087113371	TYPE_MAGNETIC_FIELD	-0.84	-29.16	-31.8
1561087113371	TYPE_GYROSCOPE	-0.28433228	0.20581055	0.0499115
1561087113371	TYPE_ROTATION_VECTOR	-0.01104773	-0.039796833	-0.99888736
1561087113371	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.96	-52.98	-89.34
1561087113371	TYPE_GYROSCOPE_UNCALIBRATED	-0.29322815	0.17349243	0.034210205
1561087113371	TYPE_ACCELEROMETER_UNCALIBRATED	0.056228638	0.7262268	9.292526
1561087113390	TYPE_ACCELEROMETER	-0.028717041	0.66999817	9.47319
1561087113390	TYPE_MAGNETIC_FIELD	-0.9	-29.16	-32.1
1561087113390	TYPE_GYROSCOPE	-0.3527527	0.21710205	0.08015442
1561087113390	TYPE_ROTATION_VECTOR	-0.009350278	-0.037030533	-0.9990193
1561087113390	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.899998	-52.98	-89.64
1561087113390	TYPE_GYROSCOPE_UNCALIBRATED	-0.29719543	0.22755432	0.063827515
1561087113390	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13400269	0.6006012	9.993622
1561087113409	TYPE_ACCELEROMETER	-0.23808289	0.53001404	10.710281
1561087113409	TYPE_MAGNETIC_FIELD	-0.9	-29.16	-32.399998
1561087113409	TYPE_GYROSCOPE	-0.49813843	0.1068573	0.10336304
1561087113409	TYPE_ROTATION_VECTOR	-0.0071236994	-0.034202933	-0.9991533
1561087113409	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.899998	-52.98	-89.939995
1561087113409	TYPE_GYROSCOPE_UNCALIBRATED	-0.43128967	0.16769409	0.09132385
1561087113409	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34934998	0.51446533	11.449661
1561087113428	TYPE_ACCELEROMETER	-0.48335266	0.5383911	12.090927
1561087113428	TYPE_MAGNETIC_FIELD	-0.9	-28.859999	-32.46
1561087113428	TYPE_GYROSCOPE	-0.4813385	0.088516235	0.14123535
1561087113428	TYPE_ROTATION_VECTOR	-0.005457618	-0.030104568	-0.9993149
1561087113428	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.899998	-52.68	-90.0
1561087113428	TYPE_GYROSCOPE_UNCALIBRATED	-0.5158844	0.07484436	0.11819458
1561087113428	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34934998	0.51446533	11.449661
1561087113448	TYPE_ACCELEROMETER	-0.5766754	0.56710815	12.809982
1561087113448	TYPE_MAGNETIC_FIELD	-0.84	-28.68	-32.579998
1561087113448	TYPE_GYROSCOPE	-0.3099823	0.17648315	0.19895935
1561087113448	TYPE_ROTATION_VECTOR	-0.0046703448	-0.025171448	-0.99947834
1561087113448	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.96	-52.5	-90.119995
1561087113448	TYPE_GYROSCOPE_UNCALIBRATED	-0.40196228	0.13226318	0.16920471
1561087113448	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5862427	0.6412811	13.0372925
1561087113467	TYPE_ACCELEROMETER	-0.61854553	0.79681396	13.149765
1561087113467	TYPE_MAGNETIC_FIELD	-0.78	-28.26	-33.0
1561087113467	TYPE_GYROSCOPE	-0.13406372	0.16885376	0.22950745
1561087113467	TYPE_ROTATION_VECTOR	-0.003375191	-0.0213246	-0.99960387
1561087113467	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.02	-52.08	-90.53999
