#	startTime:1561087209151
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561087209151	TYPE_WAYPOINT	156.0024	54.573063
1561087209284	TYPE_ACCELEROMETER	-0.45703125	-0.619751	12.608978
1561087209284	TYPE_MAGNETIC_FIELD	31.199999	-22.92	-29.939999
1561087209284	TYPE_GYROSCOPE	0.19519043	-0.13076782	-0.21855164
1561087209284	TYPE_ROTATION_VECTOR	-0.027329743	-0.015115617	0.89961356
1561087209284	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.0	-46.739998	-87.479996
1561087209284	TYPE_GYROSCOPE_UNCALIBRATED	0.19668579	-0.13070679	-0.21929932
1561087209284	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5467682	-0.47138977	11.717651
1561087209303	TYPE_ACCELEROMETER	-0.6101837	-0.29312134	10.6827545
1561087209303	TYPE_MAGNETIC_FIELD	31.199999	-22.92	-30.0
1561087209303	TYPE_GYROSCOPE	0.67900085	-0.2566223	-0.062179565
1561087209303	TYPE_ROTATION_VECTOR	-0.02700957	-0.015667323	0.90214914
1561087209303	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.0	-46.739998	-87.53999
1561087209303	TYPE_GYROSCOPE_UNCALIBRATED	0.6804962	-0.25656128	-0.062927246
1561087209303	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5467682	-0.47138977	11.717651
1561087209322	TYPE_ACCELEROMETER	-0.5228424	0.058624268	8.995819
1561087209322	TYPE_MAGNETIC_FIELD	31.26	-22.98	-30.0
1561087209322	TYPE_GYROSCOPE	0.71138	-0.3879547	-0.06889343
1561087209322	TYPE_ROTATION_VECTOR	-0.031246644	-1.5668027E-5	0.90238774
1561087209322	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.06	-46.8	-87.53999
1561087209322	TYPE_GYROSCOPE_UNCALIBRATED	0.6548462	-0.43432617	-0.05895996
1561087209322	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41516113	0.16630554	8.330612
1561087209341	TYPE_ACCELEROMETER	-0.3146515	0.25723267	7.618744
1561087209341	TYPE_MAGNETIC_FIELD	31.32	-22.98	-30.0
1561087209341	TYPE_GYROSCOPE	0.65335083	-0.4343872	-0.05821228
1561087209341	TYPE_ROTATION_VECTOR	-0.024086656	0.012257043	0.8957346
1561087209341	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.119995	-46.8	-87.53999
1561087209341	TYPE_GYROSCOPE_UNCALIBRATED	0.6548462	-0.43432617	-0.05895996
1561087209341	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26560974	0.324234	6.887741
1561087209361	TYPE_ACCELEROMETER	-0.23330688	0.34936523	6.2895355
1561087209361	TYPE_MAGNETIC_FIELD	31.26	-23.279999	-29.88
1561087209361	TYPE_GYROSCOPE	0.60783386	-0.35160828	-0.03591919
1561087209361	TYPE_ROTATION_VECTOR	-0.0122813955	0.024068167	0.90351325
1561087209361	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.06	-47.1	-87.42
1561087209361	TYPE_GYROSCOPE_UNCALIBRATED	0.4941864	-0.26693726	-0.0042877197
1561087209361	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17347717	0.3589325	5.8384857
1561087209380	TYPE_ACCELEROMETER	-0.16390991	0.37927246	5.334793
1561087209380	TYPE_MAGNETIC_FIELD	31.38	-23.699999	-29.46
1561087209380	TYPE_GYROSCOPE	0.49269104	-0.2669983	-0.003540039
1561087209380	TYPE_ROTATION_VECTOR	0.002274711	0.032911986	0.90142107
1561087209380	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.18	-47.519997	-87.0
1561087209380	TYPE_GYROSCOPE_UNCALIBRATED	0.4941864	-0.26693726	-0.0042877197
1561087209380	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17347717	0.3589325	5.8384857
1561087209399	TYPE_ACCELEROMETER	0.14596558	0.26800537	4.7353973
1561087209399	TYPE_MAGNETIC_FIELD	31.38	-23.699999	-29.46
1561087209399	TYPE_GYROSCOPE	0.32348633	-0.22027588	0.03250122
1561087209399	TYPE_ROTATION_VECTOR	0.002274711	0.032911986	0.90142107
1561087209399	TYPE_MAGNETIC_FIELD_UNCALIBRATED	87.18	-47.519997	-87.0
1561087209399	TYPE_GYROSCOPE_UNCALIBRATED	0.3249817	-0.22021484	0.03175354
1561087209399	TYPE_ACCELEROMETER_UNCALIBRATED	0.28833008	0.19981384	4.651642
1561087209418	TYPE_ACCELEROMETER	0.23568726	0.16751099	4.3740845
1561087209418	TYPE_MAGNETIC_FIELD	31.38	-23.699999	-29.46
1561087209418	TYPE_GYROSCOPE	0.15182495	-0.113983154	0.039520264
1561087209418	TYPE_ROTATION_VECTOR	0.002274711	0.032911986	0.90142107
