#	startTime:1561087249784
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561087249785	TYPE_WAYPOINT	116.770805	39.09238
1561087249912	TYPE_ACCELEROMETER	-0.8949127	-0.5288086	11.641083
1561087249912	TYPE_MAGNETIC_FIELD	-10.0199995	-21.06	-38.28
1561087249912	TYPE_GYROSCOPE	0.27156067	-0.13215637	-0.15472412
1561087249912	TYPE_ROTATION_VECTOR	0.034185417	0.031988595	-0.96952504
1561087249912	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.78	-44.879997	-95.81999
1561087249912	TYPE_GYROSCOPE_UNCALIBRATED	0.27305603	-0.13209534	-0.1554718
1561087249912	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8566284	-0.63648987	12.780075
1561087249931	TYPE_ACCELEROMETER	-0.93200684	-0.20100403	9.649063
1561087249931	TYPE_MAGNETIC_FIELD	-9.78	-21.119999	-38.04
1561087249931	TYPE_GYROSCOPE	0.82011414	-0.40078735	-0.15106201
1561087249931	TYPE_ROTATION_VECTOR	0.026962884	0.03131925	-0.97592086
1561087249931	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.02	-44.94	-95.58
1561087249931	TYPE_GYROSCOPE_UNCALIBRATED	0.27305603	-0.13209534	-0.1554718
1561087249931	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9750824	-0.38046265	10.68396
1561087249950	TYPE_ACCELEROMETER	-0.69511414	0.11366272	7.5218506
1561087249950	TYPE_MAGNETIC_FIELD	-9.719999	-21.42	-37.8
1561087249950	TYPE_GYROSCOPE	0.82684326	-0.4261322	-0.1327362
1561087249950	TYPE_ROTATION_VECTOR	0.03980112	0.029153442	-0.9705343
1561087249950	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.08	-45.239998	-95.34
1561087249950	TYPE_GYROSCOPE_UNCALIBRATED	0.8216095	-0.40072632	-0.15180969
1561087249950	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8063812	-0.011962891	8.5208435
1561087249969	TYPE_ACCELEROMETER	-0.5264282	0.2596283	5.9365997
1561087249969	TYPE_MAGNETIC_FIELD	-9.48	-21.72	-37.5
1561087249969	TYPE_GYROSCOPE	0.66799927	-0.46646118	-0.11746216
1561087249969	TYPE_ROTATION_VECTOR	0.045676775	0.01047359	-0.97187567
1561087249969	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.32	-45.54	-95.03999
1561087249969	TYPE_GYROSCOPE_UNCALIBRATED	0.8283386	-0.42607117	-0.13348389
1561087249969	TYPE_ACCELEROMETER_UNCALIBRATED	-0.58026123	0.17826843	6.697525
1561087249989	TYPE_ACCELEROMETER	-0.4402771	0.31944275	5.205597
1561087249989	TYPE_MAGNETIC_FIELD	-9.42	-22.02	-37.2
1561087249989	TYPE_GYROSCOPE	0.44351196	-0.436203	-0.1055603
1561087249989	TYPE_ROTATION_VECTOR	0.044333883	1.04745195E-5	-0.967299
1561087249989	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.379997	-45.84	-94.74
