#	startTime:1561087408795
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561087408795	TYPE_WAYPOINT	91.769455	59.24169
1561087408923	TYPE_ACCELEROMETER	-0.3637085	-0.17706299	9.39064
1561087408923	TYPE_MAGNETIC_FIELD	-27.9	-15.48	-29.279999
1561087408923	TYPE_GYROSCOPE	0.0395813	-0.032592773	-0.022018433
1561087408923	TYPE_ROTATION_VECTOR	0.005614269	0.014533589	-0.8753467
1561087408923	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.519999	-41.04	-95.52
1561087408923	TYPE_GYROSCOPE_UNCALIBRATED	0.0519104	-0.045196533	-0.026885986
1561087408923	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20698547	-0.16749573	9.483963
1561087408942	TYPE_ACCELEROMETER	-0.47737122	-0.15075684	9.524643
1561087408942	TYPE_MAGNETIC_FIELD	-27.9	-15.719999	-29.34
1561087408942	TYPE_GYROSCOPE	0.0018615723	5.645752E-4	-0.0078125
1561087408942	TYPE_ROTATION_VECTOR	0.012872495	0.017923353	-0.87094027
1561087408942	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.519999	-41.28	-95.58
1561087408942	TYPE_GYROSCOPE_UNCALIBRATED	0.04107666	-0.03253174	-0.022766113
1561087408942	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29193115	-0.19142151	9.375076
1561087408961	TYPE_ACCELEROMETER	-0.43070984	-0.122039795	9.650253
1561087408961	TYPE_MAGNETIC_FIELD	-27.599998	-16.02	-29.46
1561087408961	TYPE_GYROSCOPE	-0.0131073	-0.012268066	0.00440979
1561087408961	TYPE_ROTATION_VECTOR	0.01863614	0.019567417	-0.8803194
1561087408961	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.82	-41.58	-95.7
1561087408961	TYPE_GYROSCOPE_UNCALIBRATED	0.0033569336	6.2561035E-4	-0.008560181
1561087408961	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4630127	-0.13639832	9.632309
1561087408980	TYPE_ACCELEROMETER	-0.4139557	-0.09690857	9.611969
1561087408980	TYPE_MAGNETIC_FIELD	-27.42	-16.08	-29.4
1561087408980	TYPE_GYROSCOPE	-0.00881958	0.0027008057	0.008377075
1561087408980	TYPE_ROTATION_VECTOR	0.016104821	0.015033367	-0.8672323
1561087408980	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.999998	-41.64	-95.64
1561087408980	TYPE_GYROSCOPE_UNCALIBRATED	-0.0116119385	-0.012207031	0.0036621094
1561087408980	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4247284	-0.10409546	9.640686
1561087409000	TYPE_ACCELEROMETER	-0.35295105	-0.13519287	9.592834
1561087409000	TYPE_MAGNETIC_FIELD	-27.539999	-16.44	-29.34
1561087409000	TYPE_GYROSCOPE	-0.004257202	0.014602661	0.009902954
1561087409000	TYPE_ROTATION_VECTOR	0.01649256	0.014636908	-0.872884
1561087409000	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.88	-42.0	-95.58
1561087409000	TYPE_GYROSCOPE_UNCALIBRATED	-0.0073242188	0.0027618408	0.0076293945
1561087409000	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3900299	-0.119644165	9.600006
1561087409019	TYPE_ACCELEROMETER	-0.324234	-0.12921143	9.614365
1561087409019	TYPE_MAGNETIC_FIELD	-27.359999	-16.56	-29.4
1561087409019	TYPE_GYROSCOPE	-0.0079193115	-0.004333496	0.007156372
1561087409019	TYPE_ROTATION_VECTOR	0.011053329	0.011051473	-0.8676171
1561087409019	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.06	-42.12	-95.64
1561087409019	TYPE_GYROSCOPE_UNCALIBRATED	-0.0027618408	0.014663696	0.009155273
1561087409019	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33140564	-0.13400269	9.57489
1561087409038	TYPE_ACCELEROMETER	-0.32304382	-0.14717102	9.728027
1561087409038	TYPE_MAGNETIC_FIELD	-27.24	-16.68	-29.16
1561087409038	TYPE_GYROSCOPE	-0.011581421	-0.00982666	0.004714966
1561087409038	TYPE_ROTATION_VECTOR	0.010300778	0.011750943	-0.8670834
1561087409038	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.179998	-42.239998	-95.399994
1561087409038	TYPE_GYROSCOPE_UNCALIBRATED	-0.00642395	-0.004272461	0.0064086914
1561087409038	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33140564	-0.13400269	9.57489
1561087409057	TYPE_ACCELEROMETER	-0.30389404	-0.14477539	9.694519
1561087409057	TYPE_MAGNETIC_FIELD	-27.119999	-16.68	-29.16
1561087409057	TYPE_GYROSCOPE	3.0517578E-5	0.0033111572	0.008377075
1561087409057	TYPE_ROTATION_VECTOR	0.010163014	0.011785849	-0.867056
1561087409057	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.3	-42.239998	-95.399994
1561087409057	TYPE_GYROSCOPE_UNCALIBRATED	-0.01008606	-0.009765625	0.003967285
1561087409057	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33021545	-0.14596558	9.717255
1561087409077	TYPE_ACCELEROMETER	-0.36610413	-0.13998413	9.659836
1561087409077	TYPE_MAGNETIC_FIELD	-27.119999	-16.44	-29.039999
1561087409077	TYPE_GYROSCOPE	0.00491333	0.012466431	0.011123657
1561087409077	TYPE_ROTATION_VECTOR	0.010106286	0.011829954	-0.86702734
1561087409077	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.3	-42.0	-95.28
1561087409077	TYPE_GYROSCOPE_UNCALIBRATED	0.0015258789	0.0033721924	0.0076293945
1561087409077	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31825256	-0.14955139	9.667007
1561087409096	TYPE_ACCELEROMETER	-0.36849976	-0.15194702	9.6801605
1561087409096	TYPE_MAGNETIC_FIELD	-27.06	-16.38	-28.98
1561087409096	TYPE_GYROSCOPE	0.0030822754	0.0084991455	0.012039185
1561087409096	TYPE_ROTATION_VECTOR	0.0101935845	0.0118246265	-0.86697835
1561087409096	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.359999	-41.94	-95.22
1561087409096	TYPE_GYROSCOPE_UNCALIBRATED	0.0064086914	0.012527466	0.010375977
1561087409096	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3756714	-0.14356995	9.676575
1561087409115	TYPE_ACCELEROMETER	-0.32183838	-0.13639832	9.692139
1561087409115	TYPE_MAGNETIC_FIELD	-27.24	-16.26	-28.859999
1561087409115	TYPE_GYROSCOPE	0.0073547363	-6.713867E-4	0.011428833
1561087409115	TYPE_ROTATION_VECTOR	0.010314018	0.011861163	-0.8669241
1561087409115	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.179998	-41.82	-95.1
1561087409115	TYPE_GYROSCOPE_UNCALIBRATED	0.0045776367	0.008560181	0.011291504
1561087409115	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3625183	-0.1483612	9.692139
1561087409134	TYPE_ACCELEROMETER	-0.25604248	-0.13998413	9.582062
1561087409134	TYPE_MAGNETIC_FIELD	-27.0	-16.26	-28.74
1561087409134	TYPE_GYROSCOPE	0.018356323	-0.010131836	0.011428833
1561087409134	TYPE_ROTATION_VECTOR	0.01037531	0.011837571	-0.86687505
1561087409134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.419998	-41.82	-94.979996
1561087409134	TYPE_GYROSCOPE_UNCALIBRATED	0.008850098	-6.1035156E-4	0.010681152
1561087409134	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3625183	-0.1483612	9.692139
1561087409154	TYPE_ACCELEROMETER	-0.23449707	-0.10169983	9.510284
1561087409154	TYPE_MAGNETIC_FIELD	-26.76	-16.08	-28.8
1561087409154	TYPE_GYROSCOPE	0.015899658	0.0026855469	0.00440979
1561087409154	TYPE_ROTATION_VECTOR	0.010373991	0.011700597	-0.8668235
1561087409154	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.419998	-41.82	-94.979996
1561087409154	TYPE_GYROSCOPE_UNCALIBRATED	0.019851685	-0.010070801	0.010681152
1561087409154	TYPE_ACCELEROMETER_UNCALIBRATED	-0.275177	-0.14117432	9.629913
1561087409173	TYPE_ACCELEROMETER	-0.21177673	-0.11845398	9.4002075
1561087409173	TYPE_MAGNETIC_FIELD	-26.76	-16.08	-28.8
1561087409173	TYPE_GYROSCOPE	0.011016846	0.0069732666	-1.8310547E-4
1561087409173	TYPE_ROTATION_VECTOR	0.010373991	0.011700597	-0.8668235
1561087409173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.659998	-41.64	-95.03999
1561087409173	TYPE_GYROSCOPE_UNCALIBRATED	0.01739502	0.002746582	0.0036621094
1561087409173	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24885559	-0.12083435	9.558136
1561087409192	TYPE_ACCELEROMETER	-0.26081848	-0.0993042	9.450455
1561087409192	TYPE_MAGNETIC_FIELD	-26.76	-16.08	-28.8
1561087409192	TYPE_GYROSCOPE	-0.0051727295	0.002090454	-0.004135132
1561087409192	TYPE_ROTATION_VECTOR	0.010373991	0.011700597	-0.8668235
1561087409192	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.659998	-41.64	-95.03999
1561087409192	TYPE_GYROSCOPE_UNCALIBRATED	0.012512207	0.0070343018	-9.3078613E-4
1561087409192	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2093811	-0.102890015	9.458832
1561087409211	TYPE_ACCELEROMETER	-0.3098755	-0.0945282	9.633514
1561087409211	TYPE_MAGNETIC_FIELD	-26.82	-16.26	-28.74
1561087409211	TYPE_GYROSCOPE	-0.018600464	-0.009216309	-0.0071868896
1561087409211	TYPE_ROTATION_VECTOR	0.01048316	0.011472375	-0.86678934
1561087409211	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.599998	-41.82	-94.979996
1561087409211	TYPE_GYROSCOPE_UNCALIBRATED	-0.0036773682	0.0021514893	-0.0048828125
1561087409211	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23928833	-0.107681274	9.401413
1561087409231	TYPE_ACCELEROMETER	-0.33859253	-0.08615112	9.710083
1561087409231	TYPE_MAGNETIC_FIELD	-26.76	-16.02	-29.039999
1561087409231	TYPE_GYROSCOPE	-0.008834839	0.012176514	-0.0038452148
1561087409231	TYPE_ROTATION_VECTOR	0.010507881	0.011520997	-0.86683893
1561087409231	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.659998	-41.58	-95.28
1561087409231	TYPE_GYROSCOPE_UNCALIBRATED	-0.017105103	-0.009155273	-0.00793457
1561087409231	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28115845	-0.10409546	9.51506
1561087409250	TYPE_ACCELEROMETER	-0.3481598	-0.08854675	9.550949
1561087409250	TYPE_MAGNETIC_FIELD	-26.64	-16.08	-29.099998
1561087409250	TYPE_GYROSCOPE	0.021713257	0.04637146	-1.8310547E-4
1561087409250	TYPE_ROTATION_VECTOR	0.010397313	0.011651694	-0.8668741
1561087409250	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.779999	-41.64	-95.34
1561087409250	TYPE_GYROSCOPE_UNCALIBRATED	-0.0073394775	0.012237549	-0.0045928955
1561087409250	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3361969	-0.08256531	9.71846
1561087409269	TYPE_ACCELEROMETER	-0.31944275	-0.11845398	9.455246
1561087409269	TYPE_MAGNETIC_FIELD	-26.699999	-15.839999	-28.98
1561087409269	TYPE_GYROSCOPE	0.018661499	0.033859253	-0.0016937256
1561087409269	TYPE_ROTATION_VECTOR	0.010689979	0.011741027	-0.8668824
1561087409269	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.779999	-41.58	-95.34
1561087409269	TYPE_GYROSCOPE_UNCALIBRATED	0.023208618	0.046432495	-9.3078613E-4
1561087409269	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3361969	-0.10050964	9.455246
1561087409288	TYPE_ACCELEROMETER	-0.34336853	-0.119644165	9.628723
1561087409288	TYPE_MAGNETIC_FIELD	-26.699999	-15.839999	-28.98
1561087409288	TYPE_GYROSCOPE	-0.014022827	0.018585205	-0.0044555664
1561087409288	TYPE_ROTATION_VECTOR	0.01119012	0.011742859	-0.866888
1561087409288	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.72	-41.399998	-95.22
1561087409288	TYPE_GYROSCOPE_UNCALIBRATED	0.02015686	0.033920288	-0.0024414062
1561087409288	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3361969	-0.10050964	9.455246
1561087409308	TYPE_ACCELEROMETER	-0.3361969	-0.112457275	9.743576
1561087409308	TYPE_MAGNETIC_FIELD	-27.06	-15.78	-29.099998
1561087409308	TYPE_GYROSCOPE	-0.021957397	0.012161255	-0.0035247803
1561087409308	TYPE_ROTATION_VECTOR	0.011401222	0.011842441	-0.86690766
1561087409308	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.359999	-41.34	-95.34
1561087409308	TYPE_GYROSCOPE_UNCALIBRATED	-0.012527466	0.01864624	-0.005203247
1561087409308	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32661438	-0.1268158	9.542572
1561087409327	TYPE_ACCELEROMETER	-0.37927246	-0.07537842	9.827332
1561087409327	TYPE_MAGNETIC_FIELD	-27.06	-15.96	-29.099998
1561087409327	TYPE_GYROSCOPE	-0.016159058	0.014297485	-0.005065918
1561087409327	TYPE_ROTATION_VECTOR	0.011418338	0.0120876115	-0.86692715
1561087409327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.359999	-41.52	-95.34
1561087409327	TYPE_GYROSCOPE_UNCALIBRATED	-0.020462036	0.01222229	-0.004272461
1561087409327	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35534668	-0.100494385	9.82254
1561087409346	TYPE_ACCELEROMETER	-0.3481598	-0.027526855	9.71846
1561087409346	TYPE_MAGNETIC_FIELD	-26.82	-15.839999	-29.099998
1561087409346	TYPE_GYROSCOPE	0.0073547363	0.007888794	-0.0026245117
1561087409346	TYPE_ROTATION_VECTOR	0.011425976	0.0123249525	-0.86694807
1561087409346	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.599998	-41.399998	-95.34
1561087409346	TYPE_GYROSCOPE_UNCALIBRATED	-0.014663696	0.0143585205	-0.0058135986
1561087409346	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38046265	-0.052642822	9.793823
1561087409365	TYPE_ACCELEROMETER	-0.29670715	-0.026321411	9.543777
1561087409365	TYPE_MAGNETIC_FIELD	-26.64	-15.78	-28.859999
1561087409365	TYPE_GYROSCOPE	0.020187378	0.0045318604	0.001663208
1561087409365	TYPE_ROTATION_VECTOR	0.011502709	0.012424792	-0.866974
1561087409365	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.779999	-41.34	-95.1
1561087409365	TYPE_GYROSCOPE_UNCALIBRATED	0.008850098	0.007949829	-0.0033721924
1561087409365	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38046265	-0.052642822	9.793823
1561087409385	TYPE_ACCELEROMETER	-0.3062744	-0.039489746	9.604797
1561087409385	TYPE_MAGNETIC_FIELD	-26.699999	-15.839999	-28.74
1561087409385	TYPE_GYROSCOPE	0.0027770996	0.0057525635	0.0022735596
1561087409385	TYPE_ROTATION_VECTOR	0.01162486	0.012306015	-0.8669803
1561087409385	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.72	-41.399998	-94.979996
1561087409385	TYPE_GYROSCOPE_UNCALIBRATED	0.02168274	0.0045928955	9.1552734E-4
1561087409385	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3014984	-0.04067993	9.548569
1561087409404	TYPE_ACCELEROMETER	-0.34217834	-0.058624268	9.7495575
1561087409404	TYPE_MAGNETIC_FIELD	-26.699999	-15.839999	-28.5
1561087409404	TYPE_GYROSCOPE	-0.012191772	-0.0028076172	0.0056152344
1561087409404	TYPE_ROTATION_VECTOR	0.011740865	0.012219734	-0.8669786
1561087409404	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.72	-41.399998	-94.74
1561087409404	TYPE_GYROSCOPE_UNCALIBRATED	0.004272461	0.0058135986	0.0015258789
1561087409404	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32183838	-0.04547119	9.688553
