#	startTime:1561087613685
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561087613685	TYPE_WAYPOINT	134.32686	35.250294
1561087613913	TYPE_ACCELEROMETER	0.28115845	-0.14237976	10.0247345
1561087613913	TYPE_MAGNETIC_FIELD	8.76	26.82	-45.36
1561087613913	TYPE_GYROSCOPE	0.25506592	-0.22729492	0.034942627
1561087613913	TYPE_ROTATION_VECTOR	0.031100957	0.038342018	0.115255125
1561087613913	TYPE_MAGNETIC_FIELD_UNCALIBRATED	63.0	1.8600006	-100.68
1561087613913	TYPE_GYROSCOPE_UNCALIBRATED	0.21562195	-0.1743927	0.04458618
1561087613913	TYPE_ACCELEROMETER_UNCALIBRATED	-0.51805115	0.39123535	10.357346
1561087613932	TYPE_ACCELEROMETER	-0.63290405	1.3998108	10.660034
1561087613932	TYPE_MAGNETIC_FIELD	8.5199995	26.82	-45.48
1561087613932	TYPE_GYROSCOPE	0.21504211	-0.33480835	-0.092422485
1561087613932	TYPE_ROTATION_VECTOR	-0.005578184	-0.014482084	0.16624898
1561087613932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.76	1.8600006	-100.8
1561087613932	TYPE_GYROSCOPE_UNCALIBRATED	0.25656128	-0.22723389	0.034194946
1561087613932	TYPE_ACCELEROMETER_UNCALIBRATED	0.4127655	0.4091797	10.333405
1561087613952	TYPE_ACCELEROMETER	-0.29910278	0.6089783	9.261429
1561087613952	TYPE_MAGNETIC_FIELD	8.639999	26.76	-45.36
1561087613952	TYPE_GYROSCOPE	0.3130951	-0.3720703	-0.18191528
1561087613952	TYPE_ROTATION_VECTOR	0.061440073	0.036480475	0.11893859
1561087613952	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.879997	1.8000011	-100.68
1561087613952	TYPE_GYROSCOPE_UNCALIBRATED	0.21653748	-0.3347473	-0.093170166
1561087613952	TYPE_ACCELEROMETER_UNCALIBRATED	-0.85783386	1.2801666	10.144379
1561087613971	TYPE_ACCELEROMETER	-0.501297	0.5862427	8.609375
1561087613971	TYPE_MAGNETIC_FIELD	8.46	26.76	-45.36
1561087613971	TYPE_GYROSCOPE	0.43281555	-0.30700684	-0.11654663
1561087613971	TYPE_ROTATION_VECTOR	0.029438062	0.018818455	0.107028015
1561087613971	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.699997	1.8000011	-100.68
1561087613971	TYPE_GYROSCOPE_UNCALIBRATED	0.31459045	-0.37200928	-0.18266296
1561087613971	TYPE_ACCELEROMETER_UNCALIBRATED	-0.85783386	1.2801666	10.144379
1561087613990	TYPE_ACCELEROMETER	-0.33738708	0.702301	8.159531
1561087613990	TYPE_MAGNETIC_FIELD	8.58	26.64	-45.42
1561087613990	TYPE_GYROSCOPE	0.40441895	-0.14146423	-0.04537964
1561087613990	TYPE_ROTATION_VECTOR	0.03366472	0.01571969	0.10041578
1561087613990	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.82	1.6800003	-100.74
1561087613990	TYPE_GYROSCOPE_UNCALIBRATED	0.4059143	-0.1414032	-0.04612732
1561087613990	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5168457	0.7609253	8.50769
1561087614009	TYPE_ACCELEROMETER	-0.11126709	0.72862244	7.500305
1561087614009	TYPE_MAGNETIC_FIELD	8.46	26.88	-45.6
1561087614009	TYPE_GYROSCOPE	0.35401917	-0.034561157	0.031280518
1561087614009	TYPE_ROTATION_VECTOR	0.037839733	0.013994228	0.09942222
1561087614009	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.699997	1.9200001	-100.92
1561087614009	TYPE_GYROSCOPE_UNCALIBRATED	0.35551453	-0.034500122	0.030532837
1561087614009	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19262695	0.63409424	7.7515564
1561087614028	TYPE_ACCELEROMETER	-0.31585693	0.85424805	7.112671
1561087614028	TYPE_MAGNETIC_FIELD	8.46	26.82	-45.6
1561087614028	TYPE_GYROSCOPE	0.19703674	-0.018692017	0.05845642
1561087614028	TYPE_ROTATION_VECTOR	0.041634414	0.013656644	0.09931879
1561087614028	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.699997	1.8600006	-100.92
1561087614028	TYPE_GYROSCOPE_UNCALIBRATED	0.1985321	-0.018630981	0.05770874
1561087614028	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18185425	0.8243408	7.3124695
1561087614048	TYPE_ACCELEROMETER	-0.21774292	0.9128723	6.978668
1561087614048	TYPE_MAGNETIC_FIELD	8.34	26.46	-45.719997
1561087614048	TYPE_GYROSCOPE	0.0018615723	-0.05319214	0.07801819
1561087614048	TYPE_ROTATION_VECTOR	0.04436441	0.013717952	0.09976584
1561087614048	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.579998	1.5	-101.03999
1561087614048	TYPE_GYROSCOPE_UNCALIBRATED	0.1985321	-0.018630981	0.05770874
1561087614048	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18185425	0.8243408	7.3124695
1561087614067	TYPE_ACCELEROMETER	-0.049057007	0.879364	6.855438
1561087614067	TYPE_MAGNETIC_FIELD	7.9199996	26.16	-45.719997
1561087614067	TYPE_GYROSCOPE	-0.15238953	-0.025100708	0.09480286
1561087614067	TYPE_ROTATION_VECTOR	0.04538899	0.013489117	0.10035276
1561087614067	TYPE_MAGNETIC_FIELD_UNCALIBRATED	62.159996	1.2000008	-101.03999
1561087614067	TYPE_GYROSCOPE_UNCALIBRATED	0.0033569336	-0.053131104	0.07727051
1561087614067	TYPE_ACCELEROMETER_UNCALIBRATED	-0.100494385	0.91885376	6.945175
