#	startTime:1561087946428
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561087946428	TYPE_WAYPOINT	70.414856	91.22716
1561087946636	TYPE_ACCELEROMETER	-0.2476654	0.061019897	9.946976
1561087946636	TYPE_MAGNETIC_FIELD	-18.06	18.9	-32.579998
1561087946636	TYPE_GYROSCOPE	-0.019210815	-0.022354126	-0.03529358
1561087946636	TYPE_ROTATION_VECTOR	0.0094339475	0.012384616	-0.38939217
1561087946636	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.199997	-2.2800007	-91.92
1561087946636	TYPE_GYROSCOPE_UNCALIBRATED	-0.017715454	-0.02229309	-0.03604126
1561087946636	TYPE_ACCELEROMETER_UNCALIBRATED	-0.324234	0.032302856	10.137192
1561087946655	TYPE_ACCELEROMETER	-0.324234	0.032302856	10.137192
1561087946655	TYPE_MAGNETIC_FIELD	-18.06	18.9	-32.579998
1561087946655	TYPE_GYROSCOPE	0.042175293	0.018569946	-0.036514282
1561087946655	TYPE_ROTATION_VECTOR	0.0094339475	0.012384616	-0.38939217
1561087946655	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.199997	-2.2800007	-91.92
1561087946655	TYPE_GYROSCOPE_UNCALIBRATED	-0.017715454	-0.02229309	-0.03604126
1561087946655	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3816681	0.09213257	9.768707
1561087946674	TYPE_ACCELEROMETER	-0.3816681	0.09213257	9.768707
1561087946674	TYPE_MAGNETIC_FIELD	-18.06	18.9	-32.579998
1561087946674	TYPE_GYROSCOPE	0.02659607	-0.0028076172	-0.03804016
1561087946674	TYPE_ROTATION_VECTOR	0.0094339475	0.012384616	-0.38939217
1561087946674	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.199997	-2.2800007	-91.92
1561087946674	TYPE_GYROSCOPE_UNCALIBRATED	0.02809143	-0.002746582	-0.03878784
1561087946674	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38404846	0.16989136	9.511475
1561087946693	TYPE_ACCELEROMETER	-0.38404846	0.16989136	9.511475
1561087946693	TYPE_MAGNETIC_FIELD	-18.0	19.14	-32.46
1561087946693	TYPE_GYROSCOPE	-0.00944519	-0.033950806	-0.034683228
1561087946693	TYPE_ROTATION_VECTOR	0.015717382	0.015522521	-0.36427528
1561087946693	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.26	-2.040001	-91.8
1561087946693	TYPE_GYROSCOPE_UNCALIBRATED	0.02809143	-0.002746582	-0.03878784
1561087946693	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41993713	0.20817566	9.604797
1561087946713	TYPE_ACCELEROMETER	-0.41993713	0.20817566	9.604797
1561087946713	TYPE_MAGNETIC_FIELD	-18.0	19.14	-32.34
1561087946713	TYPE_GYROSCOPE	9.460449E-4	-0.003112793	-0.019104004
1561087946713	TYPE_ROTATION_VECTOR	0.015523317	0.01571652	-0.38739118
1561087946713	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.26	-2.040001	-91.68
1561087946713	TYPE_GYROSCOPE_UNCALIBRATED	-0.007949829	-0.03388977	-0.03543091
1561087946713	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45463562	0.20219421	9.650253
1561087946732	TYPE_ACCELEROMETER	-0.45463562	0.20219421	9.650253
1561087946732	TYPE_MAGNETIC_FIELD	-18.06	19.5	-32.34
1561087946732	TYPE_GYROSCOPE	0.011932373	0.010940552	-0.005065918
1561087946732	TYPE_ROTATION_VECTOR	0.015395719	0.0152270375	-0.390733
1561087946732	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.199997	-1.6800003	-91.68
1561087946732	TYPE_GYROSCOPE_UNCALIBRATED	0.013427734	0.011001587	-0.0058135986
1561087946732	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45344543	0.14356995	9.565308
1561087946751	TYPE_ACCELEROMETER	-0.45344543	0.14356995	9.565308
1561087946751	TYPE_MAGNETIC_FIELD	-18.3	19.68	-32.34
1561087946751	TYPE_GYROSCOPE	0.0043029785	0.002090454	0.001663208
1561087946751	TYPE_ROTATION_VECTOR	0.015513694	0.015271554	-0.39082736
1561087946751	TYPE_MAGNETIC_FIELD_UNCALIBRATED	36.96	-1.5	-91.68
1561087946751	TYPE_GYROSCOPE_UNCALIBRATED	0.013427734	0.011001587	-0.0058135986
1561087946751	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42712402	0.08135986	9.61795
1561087946770	TYPE_ACCELEROMETER	-0.42712402	0.08135986	9.61795
1561087946770	TYPE_MAGNETIC_FIELD	-18.06	19.5	-32.34
1561087946770	TYPE_GYROSCOPE	0.003692627	0.0057525635	0.008071899
1561087946770	TYPE_ROTATION_VECTOR	0.015600217	0.015295174	-0.39083755
1561087946770	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.199997	-1.6800003	-91.68
1561087946770	TYPE_GYROSCOPE_UNCALIBRATED	0.00579834	0.0021514893	9.1552734E-4
1561087946770	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3397827	0.04786682	9.628723
1561087946790	TYPE_ACCELEROMETER	-0.3397827	0.04786682	9.628723
1561087946790	TYPE_MAGNETIC_FIELD	-18.0	19.26	-32.28
1561087946790	TYPE_GYROSCOPE	9.460449E-4	0.0014801025	0.0068511963
1561087946790	TYPE_ROTATION_VECTOR	0.015648317	0.01530853	-0.39079925
1561087946790	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.26	-1.9200001	-91.619995
1561087946790	TYPE_GYROSCOPE_UNCALIBRATED	0.0051879883	0.0058135986	0.0073242188
1561087946790	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26081848	0.011962891	9.57608
1561087946809	TYPE_ACCELEROMETER	-0.26081848	0.011962891	9.57608
1561087946809	TYPE_MAGNETIC_FIELD	-17.94	19.5	-31.98
1561087946809	TYPE_GYROSCOPE	-0.012802124	-0.0052490234	0.0010528564
1561087946809	TYPE_ROTATION_VECTOR	0.015706092	0.015342728	-0.39071468
1561087946809	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.32	-1.6800003	-91.32
1561087946809	TYPE_GYROSCOPE_UNCALIBRATED	-0.011306763	-0.0051879883	3.0517578E-4
1561087946809	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29312134	0.015548706	9.542587
1561087946828	TYPE_ACCELEROMETER	-0.29312134	0.015548706	9.542587
1561087946828	TYPE_MAGNETIC_FIELD	-17.94	19.439999	-31.8
1561087946828	TYPE_GYROSCOPE	-0.015853882	2.4414062E-4	0.0025787354
1561087946828	TYPE_ROTATION_VECTOR	0.015641361	0.015322152	-0.39068878
1561087946828	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.32	-1.7400017	-91.14
1561087946828	TYPE_GYROSCOPE_UNCALIBRATED	-0.011306763	-0.0051879883	3.0517578E-4
1561087946828	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3098755	0.01914978	9.640686
1561087946847	TYPE_ACCELEROMETER	-0.3098755	0.01914978	9.640686
1561087946847	TYPE_MAGNETIC_FIELD	-17.76	19.38	-31.8
1561087946847	TYPE_GYROSCOPE	-0.011886597	-3.5095215E-4	-4.8828125E-4
1561087946847	TYPE_ROTATION_VECTOR	0.015478701	0.015377339	-0.39067438
1561087946847	TYPE_MAGNETIC_FIELD_UNCALIBRATED	37.5	-1.8000011	-91.14
1561087946847	TYPE_GYROSCOPE_UNCALIBRATED	-0.0143585205	3.0517578E-4	0.0018310547
1561087946847	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26081848	0.032302856	9.564117
1561087946867	TYPE_ACCELEROMETER	-0.26081848	0.032302856	9.564117
