#	startTime:1561088046556
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561088046556	TYPE_WAYPOINT	97.282715	96.64124
1561088046701	TYPE_ACCELEROMETER	-0.017959595	-0.08375549	14.505295
1561088046701	TYPE_MAGNETIC_FIELD	-7.2	-19.859999	-38.28
1561088046701	TYPE_GYROSCOPE	0.31126404	-0.23278809	-0.3169098
1561088046701	TYPE_ROTATION_VECTOR	0.00550307	-2.2460423E-5	-0.9831139
1561088046701	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.48	-44.28	-96.119995
1561088046701	TYPE_GYROSCOPE_UNCALIBRATED	0.03375244	0.011001587	-0.14402771
1561088046701	TYPE_ACCELEROMETER_UNCALIBRATED	0.09211731	-0.17228699	14.9192505
1561088046720	TYPE_ACCELEROMETER	0.039489746	-0.25364685	15.08316
1561088046720	TYPE_MAGNETIC_FIELD	-7.2599998	-19.98	-38.04
1561088046720	TYPE_GYROSCOPE	0.03225708	0.010940552	-0.14328003
1561088046720	TYPE_ROTATION_VECTOR	5.5035407E-6	-2.2462343E-8	-0.98623765
1561088046720	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.420002	-44.4	-95.880005
1561088046720	TYPE_GYROSCOPE_UNCALIBRATED	-0.04978943	0.056518555	-0.10812378
1561088046720	TYPE_ACCELEROMETER_UNCALIBRATED	-0.051452637	-0.45465088	15.303299
1561088046739	TYPE_ACCELEROMETER	-0.08016968	-0.7070923	15.6371
1561088046739	TYPE_MAGNETIC_FIELD	-7.2599998	-19.98	-38.04
1561088046739	TYPE_GYROSCOPE	-0.05128479	0.05645752	-0.1073761
1561088046739	TYPE_ROTATION_VECTOR	5.5035407E-6	-2.2462343E-8	-0.98623765
1561088046739	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.420002	-44.4	-95.880005
1561088046739	TYPE_GYROSCOPE_UNCALIBRATED	-0.04978943	0.056518555	-0.10812378
1561088046739	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11366272	-0.95713806	15.913467
1561088046758	TYPE_ACCELEROMETER	-0.20339966	-1.2346954	16.042679
1561088046758	TYPE_MAGNETIC_FIELD	-7.2599998	-19.98	-38.04
1561088046758	TYPE_GYROSCOPE	-0.019226074	0.013381958	-0.14189148
1561088046758	TYPE_ROTATION_VECTOR	5.5035407E-6	-2.2462343E-8	-0.98623765
1561088046758	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.420002	-44.4	-95.880005
1561088046758	TYPE_GYROSCOPE_UNCALIBRATED	-0.017730713	0.013442993	-0.14263916
1561088046758	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11366272	-0.95713806	15.913467
1561088046778	TYPE_ACCELEROMETER	-0.46780396	-1.5625153	15.84169
1561088046778	TYPE_MAGNETIC_FIELD	-7.3799996	-20.1	-38.04
1561088046778	TYPE_GYROSCOPE	0.106933594	0.04270935	-0.16542053
1561088046778	TYPE_ROTATION_VECTOR	0.0035157746	0.046707787	-0.98290306
1561088046778	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.3	-44.52	-95.880005
1561088046778	TYPE_GYROSCOPE_UNCALIBRATED	0.108428955	0.042770386	-0.16616821
1561088046778	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3517456	-1.470398	16.039093
1561088046797	TYPE_ACCELEROMETER	-0.5156555	-1.3663025	14.420349
1561088046797	TYPE_MAGNETIC_FIELD	-7.3199997	-20.16	-37.739998
1561088046797	TYPE_GYROSCOPE	0.29629517	0.050338745	-0.19566345
1561088046797	TYPE_ROTATION_VECTOR	0.0078128185	0.048769772	-0.98448974
1561088046797	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.36	-44.58	-95.58
1561088046797	TYPE_GYROSCOPE_UNCALIBRATED	0.29779053	0.05039978	-0.19641113
1561088046797	TYPE_ACCELEROMETER_UNCALIBRATED	-0.51924133	-1.5110779	15.315262
1561088046816	TYPE_ACCELEROMETER	-0.17707825	-1.0815582	11.767899
1561088046816	TYPE_MAGNETIC_FIELD	-7.3199997	-20.279999	-37.559998
1561088046816	TYPE_GYROSCOPE	0.548584	-0.046173096	-0.24085999
1561088046816	TYPE_ROTATION_VECTOR	0.008667487	0.046093084	-0.9849312
1561088046816	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.36	-44.699997	-95.399994
1561088046816	TYPE_GYROSCOPE_UNCALIBRATED	0.55007935	-0.04611206	-0.24160767
1561088046816	TYPE_ACCELEROMETER_UNCALIBRATED	0.12083435	-1.1282196	10.4518585
1561088046835	TYPE_ACCELEROMETER	0.1986084	-1.051651	9.565308
1561088046835	TYPE_MAGNETIC_FIELD	-7.2599998	-20.22	-37.38
1561088046835	TYPE_GYROSCOPE	0.7324524	-0.15153503	-0.30499268
1561088046835	TYPE_ROTATION_VECTOR	0.0090028215	0.040886957	-0.98554295
1561088046835	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.420002	-44.64	-95.22
1561088046835	TYPE_GYROSCOPE_UNCALIBRATED	0.73394775	-0.151474	-0.30574036
1561088046835	TYPE_ACCELEROMETER_UNCALIBRATED	0.12083435	-1.1282196	10.4518585
1561088046855	TYPE_ACCELEROMETER	0.3708954	-1.3005066	9.029327
1561088046855	TYPE_MAGNETIC_FIELD	-7.02	-20.52	-37.26
1561088046855	TYPE_GYROSCOPE	0.69366455	-0.15795898	-0.3547821
1561088046855	TYPE_ROTATION_VECTOR	0.008609148	0.033779662	-0.98629105
