#	startTime:1561088142472
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561088142473	TYPE_WAYPOINT	102.15367	82.79152
1561088142601	TYPE_ACCELEROMETER	-0.07060242	-0.058624268	9.8524475
1561088142601	TYPE_MAGNETIC_FIELD	9.84	32.399998	-30.539999
1561088142601	TYPE_GYROSCOPE	-0.084732056	-0.011978149	-0.8888397
1561088142601	TYPE_ROTATION_VECTOR	-1.2977371E-5	0.0054968405	0.10667521
1561088142601	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.520004	7.9799976	-88.38
1561088142601	TYPE_GYROSCOPE_UNCALIBRATED	-0.083236694	-0.011917114	-0.8895874
1561088142601	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06341553	0.10409546	9.543777
1561088142620	TYPE_ACCELEROMETER	-0.16271973	0.31825256	9.200409
1561088142620	TYPE_MAGNETIC_FIELD	9.54	32.52	-30.539999
1561088142620	TYPE_GYROSCOPE	-0.16491699	-0.06877136	-0.10739136
1561088142620	TYPE_ROTATION_VECTOR	-1.2977631E-8	0.0039079282	0.11341448
1561088142620	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.22	8.1	-88.38
1561088142620	TYPE_GYROSCOPE_UNCALIBRATED	-0.083236694	-0.011917114	-0.8895874
1561088142620	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25483704	0.49172974	8.853455
1561088142639	TYPE_ACCELEROMETER	-0.275177	0.5778656	8.636902
1561088142639	TYPE_MAGNETIC_FIELD	9.179999	32.579998	-30.779999
1561088142639	TYPE_GYROSCOPE	-0.17712402	-0.051971436	-0.11074829
1561088142639	TYPE_ROTATION_VECTOR	0.026464297	0.01652885	0.092705525
1561088142639	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.86	8.159998	-88.619995
1561088142639	TYPE_GYROSCOPE_UNCALIBRATED	-0.16342163	-0.06871033	-0.10813904
1561088142639	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2596283	0.6053772	8.632111
1561088142658	TYPE_ACCELEROMETER	-0.24168396	0.59580994	8.804398
1561088142658	TYPE_MAGNETIC_FIELD	8.88	32.82	-30.96
1561088142658	TYPE_GYROSCOPE	-0.23088074	-0.011352539	-0.11349487
1561088142658	TYPE_ROTATION_VECTOR	0.03356354	0.018309478	0.09463539
1561088142658	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.56	8.4	-88.8
1561088142658	TYPE_GYROSCOPE_UNCALIBRATED	-0.22938538	-0.011291504	-0.11424255
1561088142658	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20100403	0.55992126	9.079575
1561088142678	TYPE_ACCELEROMETER	-0.13879395	0.5252228	9.3463745
