#	startTime:1561088449120
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869d	FloorName:F2
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561088449120	TYPE_WAYPOINT	177.2905	118.449295
1561088449245	TYPE_ACCELEROMETER	-1.3148651	0.87457275	10.270004
1561088449245	TYPE_MAGNETIC_FIELD	-30.42	-9.0	-11.94
1561088449245	TYPE_GYROSCOPE	0.1353302	0.2223053	1.2175903
1561088449245	TYPE_ROTATION_VECTOR	0.058238484	-0.0	-0.73072076
1561088449245	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.799997	-34.199997	-74.4
1561088449245	TYPE_GYROSCOPE_UNCALIBRATED	0.13682556	0.22236633	1.2168427
1561088449245	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2047882	0.8039856	10.101303
1561088449264	TYPE_ACCELEROMETER	-1.1533508	0.97268677	10.620544
1561088449264	TYPE_MAGNETIC_FIELD	-30.66	-8.94	-12.12
1561088449264	TYPE_GYROSCOPE	-0.092819214	0.0019378662	0.19636536
1561088449264	TYPE_ROTATION_VECTOR	0.075210206	-0.0	-0.7812661
1561088449264	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.559998	-34.14	-74.58
1561088449264	TYPE_GYROSCOPE_UNCALIBRATED	0.060775757	0.14891052	0.8764343
1561088449264	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2753754	0.9272156	10.4518585
1561088449283	TYPE_ACCELEROMETER	-0.85543823	1.0624237	11.010574
1561088449283	TYPE_MAGNETIC_FIELD	-30.72	-9.0	-12.42
1561088449283	TYPE_GYROSCOPE	-0.15208435	-0.07977295	-0.13548279
1561088449283	TYPE_ROTATION_VECTOR	0.06996618	-0.0	-0.78820056
1561088449283	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.499998	-34.199997	-74.88
1561088449283	TYPE_GYROSCOPE_UNCALIBRATED	-0.16249084	-0.07359314	-0.14082336
1561088449283	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2753754	0.9272156	10.4518585
1561088449303	TYPE_ACCELEROMETER	-0.5228424	0.9415741	11.42215
1561088449303	TYPE_MAGNETIC_FIELD	-30.84	-9.179999	-12.42
1561088449303	TYPE_GYROSCOPE	-0.1184845	-0.10328674	-0.13548279
1561088449303	TYPE_ROTATION_VECTOR	0.05910937	-0.012867042	-0.79628587
1561088449303	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.379997	-34.379997	-74.88
1561088449303	TYPE_GYROSCOPE_UNCALIBRATED	-0.09225464	-0.10383606	-0.1383667
1561088449303	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6795654	1.0193481	11.21637
1561088449322	TYPE_ACCELEROMETER	-0.33261108	0.7776642	11.845673
1561088449322	TYPE_MAGNETIC_FIELD	-31.019999	-9.12	-12.54
1561088449322	TYPE_GYROSCOPE	-0.06686401	-0.093826294	-0.14160156
1561088449322	TYPE_ROTATION_VECTOR	0.043080803	-0.018385444	-0.7818293
1561088449322	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.199999	-34.32	-75.0
1561088449322	TYPE_GYROSCOPE_UNCALIBRATED	-0.09225464	-0.10383606	-0.1383667
1561088449322	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6795654	1.0193481	11.21637
1561088449341	TYPE_ACCELEROMETER	0.0382843	0.66760254	11.99881
1561088449341	TYPE_MAGNETIC_FIELD	-31.14	-9.0	-12.48
1561088449341	TYPE_GYROSCOPE	-0.009765625	-0.116104126	-0.14312744
1561088449341	TYPE_ROTATION_VECTOR	0.030738333	-0.01649462	-0.785843
1561088449341	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.079998	-34.199997	-74.94
