#	startTime:1561088783458
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561088783460	TYPE_WAYPOINT	231.54478	85.70861
1561088783592	TYPE_ACCELEROMETER	-0.55992126	-1.1736908	16.780869
1561088783592	TYPE_MAGNETIC_FIELD	-17.52	-23.039999	-32.34
1561088783592	TYPE_GYROSCOPE	-0.7973175	0.20916748	0.061676025
1561088783592	TYPE_ROTATION_VECTOR	0.0053393063	-2.0269155E-5	-0.9372142
1561088783592	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.699997	-48.239998	-94.8
1561088783592	TYPE_GYROSCOPE_UNCALIBRATED	-0.0476532	-0.07206726	-0.025665283
1561088783592	TYPE_ACCELEROMETER_UNCALIBRATED	-0.124435425	0.039489746	11.615967
1561088783611	TYPE_ACCELEROMETER	-0.94277954	-1.684555	20.243286
1561088783611	TYPE_MAGNETIC_FIELD	-17.52	-22.8	-32.52
1561088783611	TYPE_GYROSCOPE	-0.8124237	0.22444153	0.07191467
1561088783611	TYPE_ROTATION_VECTOR	5.3404237E-6	0.027317107	-0.94661385
1561088783611	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.699997	-48.0	-94.979996
1561088783611	TYPE_GYROSCOPE_UNCALIBRATED	-0.9792328	0.2831421	0.08459473
1561088783611	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8339081	-1.4775696	18.561127
1561088783630	TYPE_ACCELEROMETER	-0.9786682	-1.6486664	22.102509
1561088783630	TYPE_MAGNETIC_FIELD	-17.52	-22.439999	-32.82
1561088783630	TYPE_GYROSCOPE	-0.2263031	0.041488647	0.03463745
1561088783630	TYPE_ROTATION_VECTOR	0.0069069937	0.043590266	-0.94197875
1561088783630	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.699997	-47.64	-95.28
1561088783630	TYPE_GYROSCOPE_UNCALIBRATED	-0.9792328	0.2831421	0.08459473
1561088783630	TYPE_ACCELEROMETER_UNCALIBRATED	-0.97268677	-1.7371979	21.53421
1561088783649	TYPE_ACCELEROMETER	-0.7609253	-1.483551	20.755356
1561088783649	TYPE_MAGNETIC_FIELD	-17.64	-22.02	-32.88
1561088783649	TYPE_GYROSCOPE	0.49513245	0.027130127	0.03617859
1561088783649	TYPE_ROTATION_VECTOR	0.008636012	0.04603858	-0.9369018
1561088783649	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.579998	-47.22	-95.34
1561088783649	TYPE_GYROSCOPE_UNCALIBRATED	0.15179443	-0.0015258789	0.02748108
1561088783649	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9272156	-1.5625153	21.750763
1561088783669	TYPE_ACCELEROMETER	-0.4055786	-1.1270294	18.356537
1561088783669	TYPE_MAGNETIC_FIELD	-17.699999	-21.6	-33.12
1561088783669	TYPE_GYROSCOPE	0.9392395	0.12425232	0.05632019
1561088783669	TYPE_ROTATION_VECTOR	0.00781365	0.040595528	-0.93814456
1561088783669	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.519997	-46.8	-95.58
1561088783669	TYPE_GYROSCOPE_UNCALIBRATED	0.15179443	-0.0015258789	0.02748108
1561088783669	TYPE_ACCELEROMETER_UNCALIBRATED	-0.54078674	-1.3376007	19.600815
1561088783688	TYPE_ACCELEROMETER	-0.28833008	-1.0205383	15.80101
1561088783688	TYPE_MAGNETIC_FIELD	-17.699999	-21.42	-33.36
1561088783688	TYPE_GYROSCOPE	1.1231079	0.084854126	0.050827026
1561088783688	TYPE_ROTATION_VECTOR	0.001312381	0.03211886	-0.9405438
1561088783688	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.519997	-46.62	-95.82
1561088783688	TYPE_GYROSCOPE_UNCALIBRATED	1.0586395	0.109954834	0.054351807
1561088783688	TYPE_ACCELEROMETER_UNCALIBRATED	-0.54078674	-1.3376007	19.600815
1561088783707	TYPE_ACCELEROMETER	-0.40438843	-1.4667969	14.134415
1561088783707	TYPE_MAGNETIC_FIELD	-17.64	-21.24	-33.54
1561088783707	TYPE_GYROSCOPE	1.1521149	0.026824951	0.015411377
1561088783707	TYPE_ROTATION_VECTOR	0.005465536	0.02408461	-0.9406121
1561088783707	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.579998	-46.44	-96.0
1561088783707	TYPE_GYROSCOPE_UNCALIBRATED	1.0586395	0.109954834	0.054351807
1561088783707	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2859497	-1.2335052	14.81517
1561088783726	TYPE_ACCELEROMETER	-0.7884369	-1.7838593	12.94278
1561088783726	TYPE_MAGNETIC_FIELD	-17.34	-21.24	-33.54
1561088783726	TYPE_GYROSCOPE	1.2208405	-0.15460205	-0.019714355
1561088783726	TYPE_ROTATION_VECTOR	0.00987634	0.014261471	-0.94064695
1561088783726	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.879997	-46.44	-96.0
1561088783726	TYPE_GYROSCOPE_UNCALIBRATED	1.1691895	-0.044891357	-0.009170532
1561088783726	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6424713	-1.6462708	13.602005
1561088783746	TYPE_ACCELEROMETER	-0.5288086	-1.7886353	10.761719
1561088783746	TYPE_MAGNETIC_FIELD	-17.4	-21.6	-33.54
1561088783746	TYPE_GYROSCOPE	1.416626	-0.3772583	-0.012084961
1561088783746	TYPE_ROTATION_VECTOR	0.013882996	0.003918386	-0.9406941
1561088783746	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.82	-46.8	-96.0
1561088783746	TYPE_GYROSCOPE_UNCALIBRATED	1.1691895	-0.044891357	-0.009170532
1561088783746	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72862244	-1.8412781	11.988052
1561088783765	TYPE_ACCELEROMETER	-0.41036987	-1.4943237	7.757538
1561088783765	TYPE_MAGNETIC_FIELD	-17.52	-21.779999	-33.239998
1561088783765	TYPE_GYROSCOPE	1.5464478	-0.46064758	-0.028579712
1561088783765	TYPE_ROTATION_VECTOR	0.016456472	-0.007553584	-0.94075966
1561088783765	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.699997	-46.979996	-95.7
1561088783765	TYPE_GYROSCOPE_UNCALIBRATED	1.5048676	-0.44104004	-0.017730713
1561088783765	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72862244	-1.8412781	11.988052
1561088783784	TYPE_ACCELEROMETER	-0.6113739	-1.3878326	5.34079
1561088783784	TYPE_MAGNETIC_FIELD	-17.82	-22.38	-32.64
1561088783784	TYPE_GYROSCOPE	1.4548187	-0.38215637	-0.006591797
1561088783784	TYPE_ROTATION_VECTOR	0.01765493	-0.021502022	-0.94066435
1561088783784	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.399998	-47.579998	-95.1
1561088783784	TYPE_GYROSCOPE_UNCALIBRATED	1.5317535	-0.43554688	-0.025360107
1561088783784	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34934998	-1.6665955	9.308075
1561088783803	TYPE_ACCELEROMETER	-1.0085754	-1.3914337	4.31427
1561088783803	TYPE_MAGNETIC_FIELD	-18.06	-23.22	-32.04
1561088783803	TYPE_GYROSCOPE	1.1912231	-0.28318787	0.058166504
1561088783803	TYPE_ROTATION_VECTOR	0.018517284	-0.03688865	-0.9404041
1561088783803	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.159996	-48.42	-94.5
1561088783803	TYPE_GYROSCOPE_UNCALIBRATED	1.3335266	-0.32803345	0.018005371
1561088783803	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80758667	-1.380661	4.692337
1561088783823	TYPE_ACCELEROMETER	-1.1425781	-1.360321	3.7627258
1561088783823	TYPE_MAGNETIC_FIELD	-18.06	-24.18	-31.32
1561088783823	TYPE_GYROSCOPE	0.93374634	-0.152771	0.1577301
1561088783823	TYPE_ROTATION_VECTOR	0.01978195	-0.051301006	-0.93987864
1561088783823	TYPE_MAGNETIC_FIELD_UNCALIBRATED	38.159996	-49.379997	-93.78
1561088783823	TYPE_GYROSCOPE_UNCALIBRATED	1.0604706	-0.22814941	0.10688782
1561088783823	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80758667	-1.380661	4.692337
1561088783842	TYPE_ACCELEROMETER	-1.1964111	-1.2418823	3.4360962
1561088783842	TYPE_MAGNETIC_FIELD	-18.24	-25.199999	-30.779999
1561088783842	TYPE_GYROSCOPE	0.66830444	-0.026321411	0.22065735
