#	startTime:1561088841288
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561088841289	TYPE_WAYPOINT	231.54478	85.70861
1561088841418	TYPE_ACCELEROMETER	-0.5276184	0.4510498	8.035095
1561088841418	TYPE_MAGNETIC_FIELD	26.34	7.68	-25.74
1561088841418	TYPE_GYROSCOPE	-0.09329224	-0.03274536	-0.08187866
1561088841418	TYPE_ROTATION_VECTOR	1.0070388E-9	0.042068895	0.61727005
1561088841418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.56	-17.519999	-88.2
1561088841418	TYPE_GYROSCOPE_UNCALIBRATED	0.026870728	-0.04763794	-0.13745117
1561088841418	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45463562	0.4355011	7.709671
1561088841437	TYPE_ACCELEROMETER	-0.8410797	0.5120697	9.221939
1561088841437	TYPE_MAGNETIC_FIELD	26.279999	7.68	-25.859999
1561088841437	TYPE_GYROSCOPE	-0.47279358	-0.0018920898	0.06518555
1561088841437	TYPE_ROTATION_VECTOR	1.0081394E-12	0.041920524	0.56373703
1561088841437	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.5	-17.519999	-88.32
1561088841437	TYPE_GYROSCOPE_UNCALIBRATED	-0.091796875	-0.032684326	-0.08262634
1561088841437	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7010956	0.4665985	8.524429
1561088841456	TYPE_ACCELEROMETER	-0.6891327	0.727417	10.631317
1561088841456	TYPE_MAGNETIC_FIELD	26.16	7.5	-25.859999
1561088841456	TYPE_GYROSCOPE	-0.50180054	-0.0385437	0.019073486
1561088841456	TYPE_ROTATION_VECTOR	1.0083793E-15	0.052056704	0.57816625
1561088841456	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.38	-17.699999	-88.32
1561088841456	TYPE_GYROSCOPE_UNCALIBRATED	-0.47129822	-0.0018310547	0.064437866
1561088841456	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80877686	0.61016846	10.003204
1561088841475	TYPE_ACCELEROMETER	-0.6113739	0.9140625	11.274979
1561088841475	TYPE_MAGNETIC_FIELD	26.16	7.62	-25.859999
1561088841475	TYPE_GYROSCOPE	-0.37994385	-0.012588501	-0.024917603
1561088841475	TYPE_ROTATION_VECTOR	0.011491421	0.04541202	0.5439778
1561088841475	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.38	-17.579998	-88.32
1561088841475	TYPE_GYROSCOPE_UNCALIBRATED	-0.5003052	-0.038482666	0.018325806
1561088841475	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6089783	0.83151245	11.0345
1561088841495	TYPE_ACCELEROMETER	-0.61376953	0.8111725	12.22374
1561088841495	TYPE_MAGNETIC_FIELD	26.16	7.5	-25.859999
1561088841495	TYPE_GYROSCOPE	-0.27609253	0.045150757	-0.08111572
1561088841495	TYPE_ROTATION_VECTOR	0.02040234	0.044977076	0.5676448
1561088841495	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.38	-17.699999	-88.32
1561088841495	TYPE_GYROSCOPE_UNCALIBRATED	-0.3784485	-0.012527466	-0.025665283
1561088841495	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6472626	0.92362976	11.606384
1561088841514	TYPE_ACCELEROMETER	-0.15194702	0.36610413	14.092529
1561088841514	TYPE_MAGNETIC_FIELD	25.98	7.68	-25.859999
