#	startTime:1561088808950
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561088808951	TYPE_WAYPOINT	233.6393	79.12507
1561088809089	TYPE_ACCELEROMETER	-0.78125	1.6534424	9.468399
1561088809089	TYPE_MAGNETIC_FIELD	18.18	22.08	-27.359999
1561088809089	TYPE_GYROSCOPE	0.15136719	-0.110305786	0.012512207
1561088809089	TYPE_ROTATION_VECTOR	0.05584345	0.04991849	0.28026143
1561088809089	TYPE_MAGNETIC_FIELD_UNCALIBRATED	74.399994	-3.119999	-89.82
1561088809089	TYPE_GYROSCOPE_UNCALIBRATED	0.02809143	-0.1184845	-0.032989502
1561088809089	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7429657	1.5804596	10.132416
1561088809108	TYPE_ACCELEROMETER	-0.8267212	1.7240295	8.397614
1561088809108	TYPE_MAGNETIC_FIELD	18.18	21.9	-27.119999
1561088809108	TYPE_GYROSCOPE	0.51956177	-0.08709717	0.1559143
1561088809108	TYPE_ROTATION_VECTOR	0.071022704	0.06304276	0.28351045
1561088809108	TYPE_MAGNETIC_FIELD_UNCALIBRATED	74.399994	-3.2999992	-89.58
1561088809108	TYPE_GYROSCOPE_UNCALIBRATED	0.15286255	-0.11024475	0.011764526
1561088809108	TYPE_ACCELEROMETER_UNCALIBRATED	-0.82073975	1.7060852	8.902496
1561088809127	TYPE_ACCELEROMETER	-0.7154541	1.6163483	7.5888367
1561088809127	TYPE_MAGNETIC_FIELD	18.24	21.6	-27.24
1561088809127	TYPE_GYROSCOPE	0.47039795	-0.08251953	0.19499207
1561088809127	TYPE_ROTATION_VECTOR	0.08193674	0.07404531	0.27810496
1561088809127	TYPE_MAGNETIC_FIELD_UNCALIBRATED	74.46	-3.5999985	-89.7
1561088809127	TYPE_GYROSCOPE_UNCALIBRATED	0.5210571	-0.08703613	0.15516663
1561088809127	TYPE_ACCELEROMETER_UNCALIBRATED	-0.78125	1.6917267	7.954941
1561088809146	TYPE_ACCELEROMETER	-0.6628113	1.4368896	6.924835
1561088809146	TYPE_MAGNETIC_FIELD	18.3	21.3	-27.18
1561088809146	TYPE_GYROSCOPE	0.38883972	-0.059921265	0.22096252
1561088809146	TYPE_ROTATION_VECTOR	0.08677896	0.07349121	0.28342456
1561088809146	TYPE_MAGNETIC_FIELD_UNCALIBRATED	74.52	-3.8999996	-89.64
1561088809146	TYPE_GYROSCOPE_UNCALIBRATED	0.4718933	-0.082458496	0.19424438
1561088809146	TYPE_ACCELEROMETER_UNCALIBRATED	-0.66999817	1.524231	7.2586365
1561088809166	TYPE_ACCELEROMETER	-0.6424713	1.2897339	6.435501
1561088809166	TYPE_MAGNETIC_FIELD	18.24	21.0	-27.24
1561088809166	TYPE_GYROSCOPE	0.27796936	-0.038848877	0.22950745
1561088809166	TYPE_ROTATION_VECTOR	0.084074974	0.071667545	0.26660466
1561088809166	TYPE_MAGNETIC_FIELD_UNCALIBRATED	74.46	-4.199999	-89.7
1561088809166	TYPE_GYROSCOPE_UNCALIBRATED	0.39033508	-0.05986023	0.22021484
1561088809166	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6771698	1.3579254	6.641281
1561088809185	TYPE_ACCELEROMETER	-0.34217834	1.1976013	6.027527
1561088809185	TYPE_MAGNETIC_FIELD	18.0	20.52	-26.939999
1561088809185	TYPE_GYROSCOPE	0.1377716	-0.045562744	0.24691772
