#	startTime:1561088866003
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561088866004	TYPE_WAYPOINT	212.82812	90.87981
1561088866125	TYPE_ACCELEROMETER	0.29193115	-1.3686981	8.443085
1561088866125	TYPE_MAGNETIC_FIELD	-27.42	7.62	-36.54
1561088866125	TYPE_GYROSCOPE	0.05529785	0.0072784424	-0.19595337
1561088866125	TYPE_ROTATION_VECTOR	-0.068701595	0.025426818	-0.6817315
1561088866125	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.799997	-17.579998	-99.0
1561088866125	TYPE_GYROSCOPE_UNCALIBRATED	0.056793213	0.0073394775	-0.19670105
1561088866125	TYPE_ACCELEROMETER_UNCALIBRATED	0.4355011	-1.2945251	8.761322
1561088866144	TYPE_ACCELEROMETER	0.117248535	-1.4356995	8.543579
1561088866144	TYPE_MAGNETIC_FIELD	-27.599998	7.8599997	-36.66
1561088866144	TYPE_GYROSCOPE	0.24589539	-0.09413147	-0.23596191
1561088866144	TYPE_ROTATION_VECTOR	-0.07059973	0.03996742	-0.6623791
1561088866144	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.619999	-17.34	-99.119995
1561088866144	TYPE_GYROSCOPE_UNCALIBRATED	0.056793213	0.0073394775	-0.19670105
1561088866144	TYPE_ACCELEROMETER_UNCALIBRATED	0.21775818	-1.4309082	8.397614
1561088866163	TYPE_ACCELEROMETER	-0.10290527	-1.3363953	8.6237335
1561088866163	TYPE_MAGNETIC_FIELD	-27.66	7.68	-36.719997
1561088866163	TYPE_GYROSCOPE	0.3473053	-0.15185547	-0.24543762
1561088866163	TYPE_ROTATION_VECTOR	-0.063350715	0.05304992	-0.6963892
1561088866163	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.559998	-17.519999	-99.17999
1561088866163	TYPE_GYROSCOPE_UNCALIBRATED	0.24739075	-0.094070435	-0.2367096
1561088866163	TYPE_ACCELEROMETER_UNCALIBRATED	-0.010772705	-1.3998108	8.676376
1561088866182	TYPE_ACCELEROMETER	0.06700134	-1.2430725	7.878372
1561088866182	TYPE_MAGNETIC_FIELD	-27.9	7.56	-36.78
1561088866182	TYPE_GYROSCOPE	0.3277588	-0.03427124	-0.17274475
1561088866182	TYPE_ROTATION_VECTOR	-0.051040087	0.05700553	-0.69461465
