#	startTime:1561088891979
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561088891980	TYPE_WAYPOINT	212.82812	90.87981
1561088892119	TYPE_ACCELEROMETER	-1.3076782	-0.8877411	7.490738
1561088892119	TYPE_MAGNETIC_FIELD	24.18	11.219999	-42.18
1561088892119	TYPE_GYROSCOPE	-0.08503723	-0.14758301	0.21974182
1561088892119	TYPE_ROTATION_VECTOR	-0.08974646	0.034806125	0.5700311
1561088892119	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.399994	-13.98	-104.64
1561088892119	TYPE_GYROSCOPE_UNCALIBRATED	-0.14111328	-0.20829773	0.20707703
1561088892119	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3076782	-0.91885376	7.244278
1561088892138	TYPE_ACCELEROMETER	-1.3615112	-0.9631195	7.244278
1561088892138	TYPE_MAGNETIC_FIELD	24.359999	10.92	-42.059998
1561088892138	TYPE_GYROSCOPE	0.01499939	0.017654419	0.2496643
1561088892138	TYPE_ROTATION_VECTOR	-0.10393246	0.030139871	0.62674665
1561088892138	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.579994	-14.279999	-104.52
1561088892138	TYPE_GYROSCOPE_UNCALIBRATED	-0.08354187	-0.14752197	0.21899414
1561088892138	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3076782	-0.91885376	7.244278
1561088892157	TYPE_ACCELEROMETER	-1.3698883	-0.9607239	7.5541534
1561088892157	TYPE_MAGNETIC_FIELD	24.3	10.8	-42.12
1561088892157	TYPE_GYROSCOPE	-0.209198	-0.06541443	0.21607971
1561088892157	TYPE_ROTATION_VECTOR	-0.108379036	0.03439894	0.6038697
1561088892157	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.52	-14.399999	-104.58
1561088892157	TYPE_GYROSCOPE_UNCALIBRATED	0.016494751	0.017715454	0.24891663
1561088892157	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1844482	-0.89849854	7.750366
1561088892176	TYPE_ACCELEROMETER	-0.96551514	-0.8267212	7.8628235
1561088892176	TYPE_MAGNETIC_FIELD	24.18	10.679999	-42.12
1561088892176	TYPE_GYROSCOPE	-0.28463745	-0.15490723	0.15498352
1561088892176	TYPE_ROTATION_VECTOR	-0.088465154	0.026842244	0.57712364
1561088892176	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.52	-14.399999	-104.58
1561088892176	TYPE_GYROSCOPE_UNCALIBRATED	-0.20770264	-0.06535339	0.21533203
1561088892176	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1844482	-0.89849854	7.750366
1561088892196	TYPE_ACCELEROMETER	-0.65922546	-0.5467682	7.5039062
1561088892196	TYPE_MAGNETIC_FIELD	24.18	10.679999	-42.12
1561088892196	TYPE_GYROSCOPE	-0.27424622	-0.23982239	0.07159424
1561088892196	TYPE_ROTATION_VECTOR	-0.088465154	0.026842244	0.57712364
1561088892196	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.399994	-14.5199995	-104.58
1561088892196	TYPE_GYROSCOPE_UNCALIBRATED	-0.27275085	-0.23976135	0.07084656
1561088892196	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5001068	-0.41516113	7.334015
1561088892215	TYPE_ACCELEROMETER	-0.36849976	-0.29910278	7.1318207
1561088892215	TYPE_MAGNETIC_FIELD	24.18	10.679999	-42.12
1561088892215	TYPE_GYROSCOPE	-0.27394104	-0.22698975	0.025482178
1561088892215	TYPE_ROTATION_VECTOR	-0.088465154	0.026842244	0.57712364
1561088892215	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.399994	-14.5199995	-104.58
1561088892215	TYPE_GYROSCOPE_UNCALIBRATED	-0.27275085	-0.23976135	0.07084656
1561088892215	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34336853	-0.18066406	6.916458
1561088892234	TYPE_ACCELEROMETER	-0.3672943	-0.0382843	6.8075867
1561088892234	TYPE_MAGNETIC_FIELD	24.24	10.5	-42.12
1561088892234	TYPE_GYROSCOPE	-0.30541992	-0.16864014	0.029449463
1561088892234	TYPE_ROTATION_VECTOR	-0.024271283	0.01189874	0.566133
1561088892234	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.46	-14.699999	-104.58
