#	startTime:1561088970644
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561088970644	TYPE_WAYPOINT	187.77028	114.43838
1561088970783	TYPE_ACCELEROMETER	-0.5348053	0.6759796	11.063217
1561088970783	TYPE_MAGNETIC_FIELD	41.04	18.66	-24.48
1561088970783	TYPE_GYROSCOPE	0.1194458	-0.06480408	0.038604736
1561088970783	TYPE_ROTATION_VECTOR	0.011655678	0.036405012	0.5253222
1561088970783	TYPE_MAGNETIC_FIELD_UNCALIBRATED	97.259995	-6.539999	-86.94
1561088970783	TYPE_GYROSCOPE_UNCALIBRATED	0.12094116	-0.06474304	0.037857056
1561088970783	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5742798	0.65682983	11.338394
1561088970802	TYPE_ACCELEROMETER	-0.48693848	0.79441833	10.161118
1561088970802	TYPE_MAGNETIC_FIELD	40.86	18.72	-24.48
1561088970802	TYPE_GYROSCOPE	0.30271912	-0.23294067	0.0033416748
1561088970802	TYPE_ROTATION_VECTOR	0.016921248	0.037677977	0.51301605
1561088970802	TYPE_MAGNETIC_FIELD_UNCALIBRATED	97.08	-6.4799995	-86.94
1561088970802	TYPE_GYROSCOPE_UNCALIBRATED	0.30421448	-0.23287964	0.0025939941
1561088970802	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5156555	0.7190399	10.642075
1561088970821	TYPE_ACCELEROMETER	-0.3409729	0.8446655	9.052048
1561088970821	TYPE_MAGNETIC_FIELD	41.04	18.779999	-24.539999
1561088970821	TYPE_GYROSCOPE	0.3986206	-0.23522949	0.020889282
1561088970821	TYPE_ROTATION_VECTOR	0.026205765	0.04184896	0.5168958
1561088970821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	97.259995	-6.42	-87.0
1561088970821	TYPE_GYROSCOPE_UNCALIBRATED	0.40011597	-0.23516846	0.020141602
1561088970821	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43669128	0.8410797	9.614365
1561088970840	TYPE_ACCELEROMETER	-0.09451294	0.7956238	7.8640137
1561088970840	TYPE_MAGNETIC_FIELD	41.34	18.9	-24.779999
1561088970840	TYPE_GYROSCOPE	0.38304138	-0.17628479	0.06762695
1561088970840	TYPE_ROTATION_VECTOR	0.035148725	0.034676556	0.52227277
1561088970840	TYPE_MAGNETIC_FIELD_UNCALIBRATED	97.56	-6.299999	-87.24
1561088970840	TYPE_GYROSCOPE_UNCALIBRATED	0.38453674	-0.17622375	0.06687927
1561088970840	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19740295	0.8267212	8.468201
1561088970860	TYPE_ACCELEROMETER	-0.23210144	0.80758667	6.948761
1561088970860	TYPE_MAGNETIC_FIELD	41.34	18.72	-24.96
1561088970860	TYPE_GYROSCOPE	0.28529358	-0.119781494	0.08747864
1561088970860	TYPE_ROTATION_VECTOR	0.042249247	0.03379167	0.5268853
1561088970860	TYPE_MAGNETIC_FIELD_UNCALIBRATED	97.56	-6.4799995	-87.42
1561088970860	TYPE_GYROSCOPE_UNCALIBRATED	0.14355469	-0.11177063	0.1007843
1561088970860	TYPE_ACCELEROMETER_UNCALIBRATED	-0.10887146	0.78126526	7.363922
1561088970879	TYPE_ACCELEROMETER	-0.55274963	0.94755554	6.2273254
1561088970879	TYPE_MAGNETIC_FIELD	41.46	18.779999	-25.14
