#	startTime:1561089178624
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561089178624	TYPE_WAYPOINT	80.35912	99.9594
1561089178747	TYPE_ACCELEROMETER	-0.22492981	-0.6628113	10.2508545
1561089178747	TYPE_MAGNETIC_FIELD	12.48	34.739998	-33.059998
1561089178747	TYPE_GYROSCOPE	0.019866943	-0.14360046	-0.054229736
1561089178747	TYPE_ROTATION_VECTOR	-0.014635052	0.005334195	0.16004504
1561089178747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.67999	8.519999	-92.22
1561089178747	TYPE_GYROSCOPE_UNCALIBRATED	0.021362305	-0.14353943	-0.054977417
1561089178747	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17707825	-0.5168457	9.960129
1561089178766	TYPE_ACCELEROMETER	-0.16870117	-0.8016052	10.995026
1561089178766	TYPE_MAGNETIC_FIELD	12.36	34.92	-32.88
1561089178766	TYPE_GYROSCOPE	-0.3768921	-0.10694885	-0.11685181
1561089178766	TYPE_ROTATION_VECTOR	-0.03426551	0.006434925	0.15379292
1561089178766	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.56	8.699999	-92.04
1561089178766	TYPE_GYROSCOPE_UNCALIBRATED	0.021362305	-0.14353943	-0.054977417
1561089178766	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24287415	-0.77407837	10.667206
1561089178785	TYPE_ACCELEROMETER	-0.11126709	-0.53240967	10.870605
1561089178785	TYPE_MAGNETIC_FIELD	12.36	35.1	-32.579998
1561089178785	TYPE_GYROSCOPE	-0.65330505	-0.12771606	-0.17304993
1561089178785	TYPE_ROTATION_VECTOR	-0.038267363	6.435182E-6	0.16852508
1561089178785	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.56	8.879999	-91.74
1561089178785	TYPE_GYROSCOPE_UNCALIBRATED	-0.53970337	-0.105667114	-0.16983032
1561089178785	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08973694	-0.7250366	11.065613
1561089178804	TYPE_ACCELEROMETER	-0.15075684	-0.06700134	10.016357
1561089178804	TYPE_MAGNETIC_FIELD	12.3	35.34	-32.34
1561089178804	TYPE_GYROSCOPE	-0.4419403	-0.063583374	-0.15991211
1561089178804	TYPE_ROTATION_VECTOR	-0.02705048	6.435385E-9	0.16170457
1561089178804	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.5	9.120001	-91.5
1561089178804	TYPE_GYROSCOPE_UNCALIBRATED	-0.53970337	-0.105667114	-0.16983032
1561089178804	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16271973	-0.28115845	10.481766
1561089178824	TYPE_ACCELEROMETER	0.029907227	0.16511536	9.480362
1561089178824	TYPE_MAGNETIC_FIELD	12.179999	35.64	-32.04
1561089178824	TYPE_GYROSCOPE	-0.34054565	-0.022354126	-0.12998962
1561089178824	TYPE_ROTATION_VECTOR	-2.70543E-5	0.006586226	0.15123358
1561089178824	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.38	9.42	-91.2
1561089178824	TYPE_GYROSCOPE_UNCALIBRATED	-0.32499695	-0.010986328	-0.11790466
1561089178824	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06939697	0.09213257	9.655045
1561089178843	TYPE_ACCELEROMETER	0.025131226	0.062210083	9.506683
1561089178843	TYPE_MAGNETIC_FIELD	12.12	35.94	-31.74
1561089178843	TYPE_GYROSCOPE	-0.31488037	0.0027008057	-0.10861206
1561089178843	TYPE_ROTATION_VECTOR	-2.705458E-8	6.5862946E-6	0.15503405
1561089178843	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.32	9.719999	-90.9
1561089178843	TYPE_GYROSCOPE_UNCALIBRATED	-0.32499695	-0.010986328	-0.11790466
1561089178843	TYPE_ACCELEROMETER_UNCALIBRATED	0.06700134	0.13160706	9.460022
1561089178862	TYPE_ACCELEROMETER	-0.13520813	-0.053848267	9.613174
1561089178862	TYPE_MAGNETIC_FIELD	12.059999	36.6	-31.439999
1561089178862	TYPE_GYROSCOPE	-0.26722717	0.039657593	-0.09547424
1561089178862	TYPE_ROTATION_VECTOR	-0.0014436078	-1.7238264E-4	0.15533361
1561089178862	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.259995	10.379999	-90.6
1561089178862	TYPE_GYROSCOPE_UNCALIBRATED	-0.22724915	0.058654785	-0.080947876
1561089178862	TYPE_ACCELEROMETER_UNCALIBRATED	-0.058624268	0.010772705	9.564117
1561089178881	TYPE_ACCELEROMETER	-0.22253418	-0.13279724	9.487549
1561089178881	TYPE_MAGNETIC_FIELD	12.059999	37.079998	-31.14
1561089178881	TYPE_GYROSCOPE	-0.18415833	0.07325745	-0.060958862
1561089178881	TYPE_ROTATION_VECTOR	-0.004035523	-1.9791724E-4	0.15442781
1561089178881	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.259995	10.859999	-90.3
1561089178881	TYPE_GYROSCOPE_UNCALIBRATED	-0.14172363	0.078201294	-0.04032898
1561089178881	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17349243	-0.10887146	9.584457
1561089178901	TYPE_ACCELEROMETER	-0.37208557	-0.1268158	9.381073
1561089178901	TYPE_MAGNETIC_FIELD	12.059999	37.44	-31.019999
1561089178901	TYPE_GYROSCOPE	-0.11695862	0.066833496	-0.01423645
1561089178901	TYPE_ROTATION_VECTOR	-0.005894465	2.186769E-4	0.1538442
1561089178901	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.259995	11.219999	-90.18
1561089178901	TYPE_GYROSCOPE_UNCALIBRATED	-0.14172363	0.078201294	-0.04032898
1561089178901	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2907257	-0.14117432	9.416962
1561089178920	TYPE_ACCELEROMETER	-0.52163696	-0.12921143	9.311676
1561089178920	TYPE_MAGNETIC_FIELD	12.179999	37.98	-30.72
1561089178920	TYPE_GYROSCOPE	-0.09037781	0.028045654	0.055099487
1561089178920	TYPE_ROTATION_VECTOR	-0.007100841	6.7796593E-4	0.15370351
