#	startTime:1561089204329
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561089204329	TYPE_WAYPOINT	82.77201	101.79421
1561089204468	TYPE_ACCELEROMETER	0.0993042	-0.70588684	13.030121
1561089204468	TYPE_MAGNETIC_FIELD	22.439999	-17.88	-44.1
1561089204468	TYPE_GYROSCOPE	-0.2397461	-0.2657776	-0.1550293
1561089204468	TYPE_ROTATION_VECTOR	-0.0078126425	2.5937523E-9	0.9084204
1561089204468	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.28	-43.5	-100.08
1561089204468	TYPE_GYROSCOPE_UNCALIBRATED	-0.23825073	-0.26571655	-0.15577698
1561089204468	TYPE_ACCELEROMETER_UNCALIBRATED	0.10409546	-0.8027954	13.980072
1561089204487	TYPE_ACCELEROMETER	0.027526855	-0.6496582	14.562729
1561089204487	TYPE_MAGNETIC_FIELD	22.32	-18.0	-43.92
1561089204487	TYPE_GYROSCOPE	-0.30541992	-0.11276245	-0.011795044
1561089204487	TYPE_ROTATION_VECTOR	-0.007704006	-0.025884153	0.91759175
1561089204487	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.16	-43.62	-99.899994
1561089204487	TYPE_GYROSCOPE_UNCALIBRATED	-0.30392456	-0.112701416	-0.012542725
1561089204487	TYPE_ACCELEROMETER_UNCALIBRATED	0.10409546	-0.8027954	13.980072
1561089204506	TYPE_ACCELEROMETER	-0.43310547	-0.086135864	14.108093
1561089204506	TYPE_MAGNETIC_FIELD	22.32	-18.06	-43.92
1561089204506	TYPE_GYROSCOPE	-0.29899597	-0.16896057	0.04777527
1561089204506	TYPE_ROTATION_VECTOR	-0.003910218	-0.015087149	0.9124913
1561089204506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.16	-43.68	-99.899994
1561089204506	TYPE_GYROSCOPE_UNCALIBRATED	-0.2975006	-0.16889954	0.047027588
1561089204506	TYPE_ACCELEROMETER_UNCALIBRATED	-0.124435425	-0.34217834	14.490936
1561089204525	TYPE_ACCELEROMETER	-1.0001984	0.07417297	13.931015
1561089204525	TYPE_MAGNETIC_FIELD	22.32	-18.0	-43.92
1561089204525	TYPE_GYROSCOPE	-0.026550293	-0.12588501	0.023651123
1561089204525	TYPE_ROTATION_VECTOR	-0.003910218	-0.015087149	0.9124913
1561089204525	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.16	-43.68	-99.899994
1561089204525	TYPE_GYROSCOPE_UNCALIBRATED	-0.025054932	-0.12582397	0.022903442
1561089204525	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0049896	0.057434082	13.762329
1561089204545	TYPE_ACCELEROMETER	-1.022934	-0.10887146	13.430923
1561089204545	TYPE_MAGNETIC_FIELD	22.32	-18.0	-43.92
1561089204545	TYPE_GYROSCOPE	0.12953186	0.16395569	0.13391113
1561089204545	TYPE_ROTATION_VECTOR	-0.0134240985	-1.5088722E-5	0.903538
1561089204545	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.16	-43.62	-99.899994
1561089204545	TYPE_GYROSCOPE_UNCALIBRATED	0.13102722	0.16401672	0.13316345
1561089204545	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0049896	0.057434082	13.762329
1561089204564	TYPE_ACCELEROMETER	-1.2610168	-0.7405853	13.202408
1561089204564	TYPE_MAGNETIC_FIELD	21.96	-18.06	-43.62
