#	startTime:1561089350146
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561089350147	TYPE_WAYPOINT	51.967854	53.668674
1561089350272	TYPE_ACCELEROMETER	-0.18544006	-1.4895325	9.797409
1561089350272	TYPE_MAGNETIC_FIELD	13.86	29.099998	-29.039999
1561089350272	TYPE_GYROSCOPE	0.32408142	0.18687439	0.14367676
1561089350272	TYPE_ROTATION_VECTOR	-0.046055444	-0.01775289	0.26822427
1561089350272	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.259995	9.9	-82.32
1561089350272	TYPE_GYROSCOPE_UNCALIBRATED	0.32557678	0.18693542	0.14292908
1561089350272	TYPE_ACCELEROMETER_UNCALIBRATED	-0.01675415	-1.2669983	10.236496
1561089350291	TYPE_ACCELEROMETER	-0.27877808	-1.8113708	8.967102
1561089350291	TYPE_MAGNETIC_FIELD	13.679999	28.92	-29.16
1561089350291	TYPE_GYROSCOPE	0.37753296	0.061645508	-0.0872345
1561089350291	TYPE_ROTATION_VECTOR	-0.074340925	-0.0090343645	0.23837487
1561089350291	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.079994	9.720001	-82.44
1561089350291	TYPE_GYROSCOPE_UNCALIBRATED	0.32557678	0.18693542	0.14292908
1561089350291	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30628967	-1.696518	9.375076
1561089350310	TYPE_ACCELEROMETER	-0.15792847	-1.5206451	8.116455
1561089350310	TYPE_MAGNETIC_FIELD	13.799999	28.92	-29.22
1561089350310	TYPE_GYROSCOPE	0.37419128	-0.12590027	-0.29553223
1561089350310	TYPE_ROTATION_VECTOR	-0.09931652	-0.01142079	0.25810805
1561089350310	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.2	9.720001	-82.5
1561089350310	TYPE_GYROSCOPE_UNCALIBRATED	0.31947327	-0.17440796	-0.29963684
1561089350310	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16751099	-1.7527466	8.532806
1561089350329	TYPE_ACCELEROMETER	-0.5922241	-1.1102753	7.3830566
1561089350329	TYPE_MAGNETIC_FIELD	13.559999	28.68	-29.519999
1561089350329	TYPE_GYROSCOPE	0.25047302	-0.23402405	-0.2998047
1561089350329	TYPE_ROTATION_VECTOR	-0.09129586	-0.014193117	0.24342614
1561089350329	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.96	9.480001	-82.799995
1561089350329	TYPE_GYROSCOPE_UNCALIBRATED	0.18019104	-0.29107666	-0.2767334
1561089350329	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36730957	-1.2610168	7.7348022
1561089350349	TYPE_ACCELEROMETER	-0.46540833	-1.0767822	6.891327
1561089350349	TYPE_MAGNETIC_FIELD	13.38	28.56	-29.64
1561089350349	TYPE_GYROSCOPE	0.11090088	-0.32717896	-0.22680664
1561089350349	TYPE_ROTATION_VECTOR	-0.079331614	0.023131894	0.2002491
1561089350349	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.78	9.360001	-82.92
1561089350349	TYPE_GYROSCOPE_UNCALIBRATED	0.062301636	-0.32589722	-0.17196655
1561089350349	TYPE_ACCELEROMETER_UNCALIBRATED	-0.63648987	-1.0600281	7.093521
1561089350368	TYPE_ACCELEROMETER	-0.035888672	-1.0157471	6.443878
1561089350368	TYPE_MAGNETIC_FIELD	13.2	28.5	-29.699999
1561089350368	TYPE_GYROSCOPE	0.035461426	-0.29693604	-0.12968445
1561089350368	TYPE_ROTATION_VECTOR	-0.08189779	0.014511215	0.20825712
1561089350368	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.6	9.300001	-82.979996
1561089350368	TYPE_GYROSCOPE_UNCALIBRATED	0.03236389	-0.25930786	-0.11088562
1561089350368	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21655273	-1.0839539	6.710678
1561089350387	TYPE_ACCELEROMETER	0.07418823	-0.7010956	5.58844
1561089350387	TYPE_MAGNETIC_FIELD	13.2	28.619999	-29.76
1561089350387	TYPE_GYROSCOPE	0.038208008	-0.22363281	-0.10769653
1561089350387	TYPE_ROTATION_VECTOR	-0.08099459	0.0117050335	0.20728087
1561089350387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.6	9.42	-83.04
1561089350387	TYPE_GYROSCOPE_UNCALIBRATED	0.04824829	-0.18875122	-0.11576843
1561089350387	TYPE_ACCELEROMETER_UNCALIBRATED	0.08135986	-0.9020996	6.0598297
1561089350406	TYPE_ACCELEROMETER	-0.10887146	-0.16870117	4.66481
1561089350406	TYPE_MAGNETIC_FIELD	13.0199995	28.38	-30.06
1561089350406	TYPE_GYROSCOPE	0.04949951	-0.14941406	-0.12234497
1561089350406	TYPE_ROTATION_VECTOR	-0.08099459	0.0117050335	0.20728087
1561089350406	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.42	9.18	-83.34
1561089350406	TYPE_GYROSCOPE_UNCALIBRATED	0.040924072	-0.11026001	-0.1212616
1561089350406	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06341553	-0.41755676	5.091934
1561089350426	TYPE_ACCELEROMETER	0.053848267	0.16390991	4.113266
1561089350426	TYPE_MAGNETIC_FIELD	12.9	28.5	-30.359999
1561089350426	TYPE_GYROSCOPE	0.011642456	-0.08068848	-0.12081909
1561089350426	TYPE_ROTATION_VECTOR	-0.0794555	0.008203953	0.20540923
1561089350426	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.299995	9.300001	-83.64
1561089350426	TYPE_GYROSCOPE_UNCALIBRATED	-0.032989502	-0.053741455	-0.13623047
1561089350426	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06341553	-0.41755676	5.091934
1561089350445	TYPE_ACCELEROMETER	-0.24168396	0.30389404	4.165909
1561089350445	TYPE_MAGNETIC_FIELD	12.78	28.56	-30.539999
1561089350445	TYPE_GYROSCOPE	-0.09466553	-0.017150879	-0.15594482
1561089350445	TYPE_ROTATION_VECTOR	-0.07919449	0.0073800106	0.20434272
1561089350445	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.299995	9.300001	-83.64
1561089350445	TYPE_GYROSCOPE_UNCALIBRATED	-0.032989502	-0.053741455	-0.13623047
1561089350445	TYPE_ACCELEROMETER_UNCALIBRATED	0.0023956299	0.017959595	4.342972
1561089350464	TYPE_ACCELEROMETER	-0.41157532	0.24885559	4.8023987
1561089350464	TYPE_MAGNETIC_FIELD	12.78	28.56	-30.539999
1561089350464	TYPE_GYROSCOPE	-0.22477722	0.080581665	-0.16633606
1561089350464	TYPE_ROTATION_VECTOR	-0.07919449	0.0073800106	0.20434272
1561089350464	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.18	9.360001	-83.82
1561089350464	TYPE_GYROSCOPE_UNCALIBRATED	-0.27734375	0.13043213	-0.15089417
1561089350464	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37329102	0.30030823	4.442276
1561089350483	TYPE_ACCELEROMETER	-0.2859497	0.117248535	5.271393
1561089350483	TYPE_MAGNETIC_FIELD	12.78	28.56	-30.539999
1561089350483	TYPE_GYROSCOPE	-0.32037354	0.17007446	-0.12663269
1561089350483	TYPE_ROTATION_VECTOR	-0.07919449	0.0073800106	0.20434272
1561089350483	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.18	9.360001	-83.82
1561089350483	TYPE_GYROSCOPE_UNCALIBRATED	-0.27734375	0.13043213	-0.15089417
1561089350483	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40319824	0.16870117	5.1290283
1561089350503	TYPE_ACCELEROMETER	-0.06939697	-0.029907227	5.799011
1561089350503	TYPE_MAGNETIC_FIELD	12.66	28.5	-30.72
1561089350503	TYPE_GYROSCOPE	-0.4159851	0.16366577	-0.08905029
1561089350503	TYPE_ROTATION_VECTOR	-0.08102085	0.0069136946	0.20208168
1561089350503	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.06	9.300001	-84.0
1561089350503	TYPE_GYROSCOPE_UNCALIBRATED	-0.3564453	0.18632507	-0.10293579
1561089350503	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13879395	0.046661377	5.387451
1561089350522	TYPE_ACCELEROMETER	-0.107681274	-0.16630554	6.994232
1561089350522	TYPE_MAGNETIC_FIELD	12.42	29.22	-30.72
1561089350522	TYPE_GYROSCOPE	-0.5525055	0.10531616	-0.07836914
1561089350522	TYPE_ROTATION_VECTOR	-0.0875782	0.00844021	0.19951396
1561089350522	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.82	10.02	-84.0
1561089350522	TYPE_GYROSCOPE_UNCALIBRATED	-0.49145508	0.12309265	-0.086746216
1561089350522	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07298279	-0.10169983	6.4044037
1561089350541	TYPE_ACCELEROMETER	0.107681274	-0.027526855	7.8388977
1561089350541	TYPE_MAGNETIC_FIELD	12.42	29.46	-31.019999
1561089350541	TYPE_GYROSCOPE	-0.5726776	0.13739014	-0.021865845
1561089350541	TYPE_ROTATION_VECTOR	-0.092412375	0.008581557	0.19864549
1561089350541	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.82	10.26	-84.299995
1561089350541	TYPE_GYROSCOPE_UNCALIBRATED	-0.5488739	0.18022156	0.025650024
1561089350541	TYPE_ACCELEROMETER_UNCALIBRATED	-0.059829712	-0.13519287	7.500305
1561089350560	TYPE_ACCELEROMETER	0.5132599	0.13400269	8.490936
1561089350560	TYPE_MAGNETIC_FIELD	12.059999	29.699999	-31.26
1561089350560	TYPE_GYROSCOPE	-0.5354004	0.22077942	0.07159424
1561089350560	TYPE_ROTATION_VECTOR	-0.09805037	0.008477839	0.19804162
1561089350560	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.46	10.5	-84.54
1561089350560	TYPE_GYROSCOPE_UNCALIBRATED	-0.54460144	0.2425232	0.104141235
1561089350560	TYPE_ACCELEROMETER_UNCALIBRATED	0.31585693	0.06819153	8.081772
1561089350580	TYPE_ACCELEROMETER	0.60658264	0.22732544	9.521042
1561089350580	TYPE_MAGNETIC_FIELD	11.82	30.06	-31.019999
1561089350580	TYPE_GYROSCOPE	-0.5747986	0.24734497	0.12475586
1561089350580	TYPE_ROTATION_VECTOR	-0.10352193	0.009135719	0.19815524
1561089350580	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.22	10.860001	-84.299995
1561089350580	TYPE_GYROSCOPE_UNCALIBRATED	-0.61820984	0.2437439	0.12705994
1561089350580	TYPE_ACCELEROMETER_UNCALIBRATED	0.6352997	0.19142151	9.005386
1561089350599	TYPE_ACCELEROMETER	0.15911865	0.013168335	11.284561
1561089350599	TYPE_MAGNETIC_FIELD	11.46	30.48	-30.42
1561089350599	TYPE_GYROSCOPE	-0.68873596	0.23971558	0.11772156
1561089350599	TYPE_ROTATION_VECTOR	-0.1090586	0.010462026	0.19893384
1561089350599	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.86	11.280001	-83.7
1561089350599	TYPE_GYROSCOPE_UNCALIBRATED	-0.61820984	0.2437439	0.12705994
1561089350599	TYPE_ACCELEROMETER_UNCALIBRATED	0.43788147	0.1758728	10.277176
1561089350618	TYPE_ACCELEROMETER	-0.4390869	-0.5611267	14.060226
1561089350618	TYPE_MAGNETIC_FIELD	11.7	30.599998	-30.119999
1561089350618	TYPE_GYROSCOPE	-0.838089	0.19511414	0.07710266
1561089350618	TYPE_ROTATION_VECTOR	-0.11531404	0.011694448	0.19993398
1561089350618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.1	11.4	-83.399994
1561089350618	TYPE_GYROSCOPE_UNCALIBRATED	-0.8668213	0.14509583	0.05130005
1561089350618	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16271973	-0.24406433	12.543182
1561089350637	TYPE_ACCELEROMETER	-0.49291992	-0.7465668	16.762924
1561089350637	TYPE_MAGNETIC_FIELD	11.759999	31.08	-29.82
1561089350637	TYPE_GYROSCOPE	-0.8286133	0.099823	0.027313232
1561089350637	TYPE_ROTATION_VECTOR	-0.12288501	0.0124702845	0.20069669
1561089350637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.159996	11.880001	-83.1
1561089350637	TYPE_GYROSCOPE_UNCALIBRATED	-0.7046509	0.06689453	-0.0015411377
1561089350637	TYPE_ACCELEROMETER_UNCALIBRATED	-0.54556274	-0.75494385	15.580872
1561089350657	TYPE_ACCELEROMETER	-0.48814392	-0.32302856	17.30371
1561089350657	TYPE_MAGNETIC_FIELD	11.88	31.5	-29.64
1561089350657	TYPE_GYROSCOPE	-0.52471924	0.048202515	-0.03163147
1561089350657	TYPE_ROTATION_VECTOR	-0.13121952	0.012217973	0.2011093
1561089350657	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.28	12.300001	-82.92
1561089350657	TYPE_GYROSCOPE_UNCALIBRATED	-0.33476257	0.047042847	-0.058654785
1561089350657	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43070984	-0.5587311	17.356354
1561089350676	TYPE_ACCELEROMETER	-0.65682983	-0.8003998	16.679184
1561089350676	TYPE_MAGNETIC_FIELD	12.179999	31.679998	-29.34
1561089350676	TYPE_GYROSCOPE	-0.20065308	0.06225586	-0.06889343
1561089350676	TYPE_ROTATION_VECTOR	-0.13791178	0.011480031	0.20109878
1561089350676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.579994	12.48	-82.619995
1561089350676	TYPE_GYROSCOPE_UNCALIBRATED	-0.33476257	0.047042847	-0.058654785
1561089350676	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5958252	-0.40319824	16.913681
1561089350695	TYPE_ACCELEROMETER	-1.0109711	-1.5062866	17.138596
1561089350695	TYPE_MAGNETIC_FIELD	12.12	32.219997	-28.74
1561089350695	TYPE_GYROSCOPE	-0.15605164	0.087905884	-0.07286072
