#	startTime:1561089418132
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561089418132	TYPE_WAYPOINT	73.57063	50.036613
1561089418262	TYPE_ACCELEROMETER	-0.2093811	0.16749573	6.7980194
1561089418262	TYPE_MAGNETIC_FIELD	34.86	-22.8	-42.719997
1561089418262	TYPE_GYROSCOPE	-0.052200317	0.027893066	0.08229065
1561089418262	TYPE_ROTATION_VECTOR	-0.016967772	0.02099609	0.88015723
1561089418262	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.259995	-42.0	-96.0
1561089418262	TYPE_GYROSCOPE_UNCALIBRATED	-0.13500977	-0.24739075	0.082458496
1561089418262	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25604248	0.18424988	6.7812653
1561089418281	TYPE_ACCELEROMETER	-0.45942688	0.31225586	6.612564
1561089418281	TYPE_MAGNETIC_FIELD	35.219997	-22.68	-42.42
1561089418281	TYPE_GYROSCOPE	-0.045791626	0.104400635	0.028839111
1561089418281	TYPE_ROTATION_VECTOR	-0.0079913465	0.020558987	0.8645644
1561089418281	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.619995	-41.879997	-95.7
1561089418281	TYPE_GYROSCOPE_UNCALIBRATED	-0.050704956	0.027954102	0.08154297
1561089418281	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29432678	0.20936584	6.784851
1561089418300	TYPE_ACCELEROMETER	-0.66041565	0.4665985	6.4737854
1561089418300	TYPE_MAGNETIC_FIELD	35.16	-22.68	-42.3
1561089418300	TYPE_GYROSCOPE	-0.12948608	-0.004638672	-0.036834717
1561089418300	TYPE_ROTATION_VECTOR	-0.019400818	0.03643134	0.8791139
1561089418300	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.56	-41.879997	-95.58
1561089418300	TYPE_GYROSCOPE_UNCALIBRATED	-0.044296265	0.10446167	0.02809143
1561089418300	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29432678	0.20936584	6.784851
1561089418320	TYPE_ACCELEROMETER	-1.1533356	0.60539246	6.8063965
1561089418320	TYPE_MAGNETIC_FIELD	35.219997	-22.8	-42.12
1561089418320	TYPE_GYROSCOPE	-0.20309448	-0.10115051	-0.03315735
1561089418320	TYPE_ROTATION_VECTOR	-0.02810554	0.055781323	0.8809778
1561089418320	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.619995	-42.0	-95.399994
1561089418320	TYPE_GYROSCOPE_UNCALIBRATED	-0.12799072	-0.0045776367	-0.037582397
1561089418320	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9678955	0.5479584	6.6472626
1561089418339	TYPE_ACCELEROMETER	-0.58026123	0.46540833	7.0073853
1561089418339	TYPE_MAGNETIC_FIELD	35.16	-22.74	-42.059998
1561089418339	TYPE_GYROSCOPE	-0.2180481	-0.13261414	0.026397705
1561089418339	TYPE_ROTATION_VECTOR	-0.053302705	0.07700317	0.88143176
1561089418339	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.56	-41.94	-95.34
1561089418339	TYPE_GYROSCOPE_UNCALIBRATED	-0.20159912	-0.10108948	-0.03390503
1561089418339	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9678955	0.5479584	6.6472626
1561089418358	TYPE_ACCELEROMETER	-0.44506836	0.3672943	7.101898
1561089418358	TYPE_MAGNETIC_FIELD	35.219997	-22.439999	-42.0
1561089418358	TYPE_GYROSCOPE	-0.20124817	-0.11428833	0.004714966
1561089418358	TYPE_ROTATION_VECTOR	-0.018083034	0.048554994	0.86104095
1561089418358	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.619995	-41.64	-95.28
1561089418358	TYPE_GYROSCOPE_UNCALIBRATED	-0.21655273	-0.1325531	0.025650024
1561089418358	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43191528	0.4019928	7.075577
1561089418377	TYPE_ACCELEROMETER	-0.40678406	0.40319824	7.348358
1561089418377	TYPE_MAGNETIC_FIELD	35.46	-22.14	-41.94
1561089418377	TYPE_GYROSCOPE	-0.21072388	-0.14422607	-0.049346924
1561089418377	TYPE_ROTATION_VECTOR	-0.012935759	0.034836352	0.8615473
1561089418377	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.86	-41.339996	-95.22
1561089418377	TYPE_GYROSCOPE_UNCALIBRATED	-0.20922852	-0.14416504	-0.050094604
1561089418377	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4295044	0.3708954	7.183258
1561089418396	TYPE_ACCELEROMETER	-0.5479584	0.57547	7.9250336
1561089418396	TYPE_MAGNETIC_FIELD	35.7	-22.08	-41.94
1561089418396	TYPE_GYROSCOPE	-0.21133423	-0.13200378	-0.106170654
1561089418396	TYPE_ROTATION_VECTOR	-0.012961489	0.032613132	0.86165035
1561089418396	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.1	-41.28	-95.22
1561089418396	TYPE_GYROSCOPE_UNCALIBRATED	-0.20922852	-0.14416504	-0.050094604
1561089418396	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4618225	0.4630127	7.6247253
1561089418416	TYPE_ACCELEROMETER	-0.5132599	0.78964233	8.492126
1561089418416	TYPE_MAGNETIC_FIELD	35.82	-21.72	-41.82
1561089418416	TYPE_GYROSCOPE	-0.18782043	-0.059921265	-0.12327576
1561089418416	TYPE_ROTATION_VECTOR	-0.01280964	0.030174008	0.86149395
1561089418416	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.22	-40.92	-95.1
1561089418416	TYPE_GYROSCOPE_UNCALIBRATED	-0.20983887	-0.13194275	-0.106918335
1561089418416	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5539398	0.6915283	8.177475
1561089418435	TYPE_ACCELEROMETER	-0.6305084	0.99661255	9.285355
1561089418435	TYPE_MAGNETIC_FIELD	35.46	-21.72	-42.0
1561089418435	TYPE_GYROSCOPE	-0.16003418	-0.0107421875	-0.14099121
1561089418435	TYPE_ROTATION_VECTOR	-0.01277532	0.027763812	0.86105216
1561089418435	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.86	-40.92	-95.28
1561089418435	TYPE_GYROSCOPE_UNCALIBRATED	-0.18632507	-0.05986023	-0.12402344
1561089418435	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55752563	0.9140625	8.876175
1561089418454	TYPE_ACCELEROMETER	-0.96191406	0.948761	10.054642
1561089418454	TYPE_MAGNETIC_FIELD	35.46	-21.24	-42.12
1561089418454	TYPE_GYROSCOPE	-0.07937622	0.051864624	-0.16114807
1561089418454	TYPE_ROTATION_VECTOR	-0.013223342	0.025908323	0.8605092
1561089418454	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.86	-40.44	-95.399994
1561089418454	TYPE_GYROSCOPE_UNCALIBRATED	-0.15853882	-0.010681152	-0.14173889
1561089418454	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55752563	0.9140625	8.876175
1561089418473	TYPE_ACCELEROMETER	-1.3950195	0.59939575	10.707886
1561089418473	TYPE_MAGNETIC_FIELD	35.219997	-20.939999	-42.0
1561089418473	TYPE_GYROSCOPE	-0.048538208	0.029571533	-0.14801025
1561089418473	TYPE_ROTATION_VECTOR	-0.013946961	0.024518628	0.8598633
1561089418473	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.619995	-40.14	-95.28
1561089418473	TYPE_GYROSCOPE_UNCALIBRATED	-0.07788086	0.05192566	-0.16189575
1561089418473	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72024536	0.9990082	9.69812
1561089418493	TYPE_ACCELEROMETER	-1.1306152	0.14596558	11.632706
1561089418493	TYPE_MAGNETIC_FIELD	35.399998	-20.939999	-42.12
1561089418493	TYPE_GYROSCOPE	-0.12214661	-0.064193726	-0.12388611
1561089418493	TYPE_ROTATION_VECTOR	-0.014797396	0.024091661	0.8590887
1561089418493	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.799995	-40.14	-95.399994
1561089418493	TYPE_GYROSCOPE_UNCALIBRATED	-0.047042847	0.029632568	-0.14875793
1561089418493	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2622223	0.80996704	10.365707
1561089418512	TYPE_ACCELEROMETER	-0.44267273	-0.26200867	12.859039
1561089418512	TYPE_MAGNETIC_FIELD	35.399998	-20.939999	-42.059998
1561089418512	TYPE_GYROSCOPE	-0.19882202	-0.21508789	-0.13700867
1561089418512	TYPE_ROTATION_VECTOR	-0.015317513	0.023815623	0.8583662
1561089418512	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.799995	-40.14	-95.34
1561089418512	TYPE_GYROSCOPE_UNCALIBRATED	-0.120651245	-0.06413269	-0.12463379
1561089418512	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80877686	-0.07777405	12.268005
