#	startTime:1561089483627
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561089483627	TYPE_WAYPOINT	67.67979	86.52343
1561089483747	TYPE_ACCELEROMETER	-1.306488	-0.40678406	13.0325165
1561089483747	TYPE_MAGNETIC_FIELD	-3.72	-28.68	-42.36
1561089483747	TYPE_GYROSCOPE	-0.004547119	-0.015930176	0.018447876
1561089483747	TYPE_ROTATION_VECTOR	0.044202488	-1.464121E-5	-0.9905788
1561089483747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	49.679996	-47.879997	-95.64
1561089483747	TYPE_GYROSCOPE_UNCALIBRATED	-0.0030517578	-0.01586914	0.017700195
1561089483747	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1808624	-0.01675415	13.042084
1561089483766	TYPE_ACCELEROMETER	-1.3615265	-1.2382965	13.275391
1561089483766	TYPE_MAGNETIC_FIELD	-3.6	-28.68	-42.54
1561089483766	TYPE_GYROSCOPE	0.15670776	-0.017303467	-0.045684814
1561089483766	TYPE_ROTATION_VECTOR	0.04742377	0.037463397	-0.9915367
1561089483766	TYPE_MAGNETIC_FIELD_UNCALIBRATED	49.8	-47.879997	-95.82
1561089483766	TYPE_GYROSCOPE_UNCALIBRATED	0.15820312	-0.017242432	-0.046432495
1561089483766	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3651123	-0.8566437	13.182068
1561089483785	TYPE_ACCELEROMETER	-1.3902283	-1.6654053	12.946365
1561089483785	TYPE_MAGNETIC_FIELD	-3.78	-28.68	-42.719997
1561089483785	TYPE_GYROSCOPE	0.28163147	-0.090164185	-0.07775879
