#	startTime:1561089568783
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561089568783	TYPE_WAYPOINT	58.72959	47.60317
1561089568925	TYPE_ACCELEROMETER	-0.30389404	0.095718384	5.9473724
1561089568925	TYPE_MAGNETIC_FIELD	-6.54	-37.14	-50.039997
1561089568925	TYPE_GYROSCOPE	-0.19148254	-0.6530609	-1.8049927
1561089568925	TYPE_ROTATION_VECTOR	0.0309465	0.003906464	-0.991814
1561089568925	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.859997	-56.339996	-103.31999
1561089568925	TYPE_GYROSCOPE_UNCALIBRATED	-0.18998718	-0.6529999	-1.8057404
1561089568925	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38285828	-0.025131226	6.1136627
1561089568944	TYPE_ACCELEROMETER	-0.45344543	0.32902527	5.5501556
1561089568944	TYPE_MAGNETIC_FIELD	-6.54	-37.02	-50.16
1561089568944	TYPE_GYROSCOPE	-0.143219	-0.28684998	0.09664917
1561089568944	TYPE_ROTATION_VECTOR	0.03170141	-0.014514853	-0.9900563
1561089568944	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.859997	-56.22	-103.44
1561089568944	TYPE_GYROSCOPE_UNCALIBRATED	-0.16525269	-0.4819641	-0.85491943
1561089568944	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3469696	0.21536255	5.7224426
