#	startTime:1561089675992
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561089675992	TYPE_WAYPOINT	72.84612	15.013158
1561089676117	TYPE_ACCELEROMETER	-0.7525482	-1.7264252	16.374084
1561089676117	TYPE_MAGNETIC_FIELD	-20.58	27.06	-44.219997
1561089676117	TYPE_GYROSCOPE	0.33081055	-0.08862305	-0.009033203
1561089676117	TYPE_ROTATION_VECTOR	-0.038228497	0.041349303	-0.38377133
1561089676117	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.799995	0.6000004	-95.28
1561089676117	TYPE_GYROSCOPE_UNCALIBRATED	0.3323059	-0.08856201	-0.009780884
1561089676117	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76690674	-1.7288208	16.332214
1561089676136	TYPE_ACCELEROMETER	-0.8877411	-1.3746796	15.117859
1561089676136	TYPE_MAGNETIC_FIELD	-20.699999	27.119999	-44.04
1561089676136	TYPE_GYROSCOPE	0.42747498	-0.26455688	0.024871826
1561089676136	TYPE_ROTATION_VECTOR	-0.033147644	0.04278481	-0.3833797
1561089676136	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.68	0.65999985	-95.1
1561089676136	TYPE_GYROSCOPE_UNCALIBRATED	0.36453247	-0.14720154	0.0015258789
1561089676136	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8494568	-1.5972137	16.041489
1561089676155	TYPE_ACCELEROMETER	-0.9020996	-0.90808105	12.433121
1561089676155	TYPE_MAGNETIC_FIELD	-20.699999	27.119999	-43.92
1561089676155	TYPE_GYROSCOPE	0.7617798	-0.2557068	0.053588867
1561089676155	TYPE_ROTATION_VECTOR	-0.026191829	0.04467718	-0.3802635
1561089676155	TYPE_MAGNETIC_FIELD_UNCALIBRATED	34.68	0.65999985	-94.979996
1561089676155	TYPE_GYROSCOPE_UNCALIBRATED	0.57084656	-0.30696106	0.040008545
1561089676155	TYPE_ACCELEROMETER_UNCALIBRATED	-0.879364	-1.1377869	13.7886505
1561089676174	TYPE_ACCELEROMETER	-1.0217438	-0.6029968	10.195831
