#	startTime:1561089765267
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561089765267	TYPE_WAYPOINT	71.46909	19.436068
1561089765392	TYPE_ACCELEROMETER	-0.624527	0.8219452	9.321243
1561089765392	TYPE_MAGNETIC_FIELD	10.559999	29.46	-32.46
1561089765392	TYPE_GYROSCOPE	0.044158936	-0.25463867	-0.75382996
1561089765392	TYPE_ROTATION_VECTOR	0.025816187	0.042086985	0.10940255
1561089765392	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.02	3.6599998	-88.92
1561089765392	TYPE_GYROSCOPE_UNCALIBRATED	-0.07437134	-0.044128418	-0.25152588
1561089765392	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7645111	0.7465668	9.193222
1561089765411	TYPE_ACCELEROMETER	-0.5372009	0.9882355	9.541382
1561089765411	TYPE_MAGNETIC_FIELD	10.62	29.279999	-32.64
1561089765411	TYPE_GYROSCOPE	-0.121536255	0.07234192	-0.010253906
1561089765411	TYPE_ROTATION_VECTOR	0.038118858	0.03835651	0.13929266
1561089765411	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.08	3.4799995	-89.1
1561089765411	TYPE_GYROSCOPE_UNCALIBRATED	-0.100494385	0.09378052	-0.031173706
1561089765411	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7645111	0.7465668	9.193222
1561089765430	TYPE_ACCELEROMETER	-0.66041565	0.9667053	10.277176
1561089765430	TYPE_MAGNETIC_FIELD	10.62	29.4	-32.88
1561089765430	TYPE_GYROSCOPE	-0.10076904	0.110824585	-0.03805542
1561089765430	TYPE_ROTATION_VECTOR	0.047429558	0.03406879	0.13165814
1561089765430	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.08	3.6000004	-89.34
1561089765430	TYPE_GYROSCOPE_UNCALIBRATED	-0.11087036	0.12646484	-0.030548096
1561089765430	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6508484	1.0420837	9.848862
1561089765449	TYPE_ACCELEROMETER	-0.604187	0.4091797	11.490341
1561089765449	TYPE_MAGNETIC_FIELD	10.5	29.4	-32.88
1561089765449	TYPE_GYROSCOPE	-0.1309967	0.14900208	-0.014221191
1561089765449	TYPE_ROTATION_VECTOR	0.042572137	0.036844652	0.1157118
1561089765449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.96	3.6000004	-89.34
1561089765449	TYPE_GYROSCOPE_UNCALIBRATED	-0.15180969	0.1747284	9.0026855E-4
