#	startTime:1561090286804
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561090286805	TYPE_WAYPOINT	132.43633	68.43255
1561090286923	TYPE_ACCELEROMETER	-0.4749756	-0.31944275	14.297119
1561090286923	TYPE_MAGNETIC_FIELD	31.14	-12.599999	-38.1
1561090286923	TYPE_GYROSCOPE	0.21688843	-0.07777405	-0.036819458
1561090286923	TYPE_ROTATION_VECTOR	-0.034503266	-0.0053345715	0.85585004
1561090286923	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.8	-33.78	-95.88
1561090286923	TYPE_GYROSCOPE_UNCALIBRATED	0.0012207031	-0.038467407	-0.040924072
1561090286923	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4749756	-0.31944275	14.297119
1561090286942	TYPE_ACCELEROMETER	-0.75494385	0.2632141	11.368301
1561090286942	TYPE_MAGNETIC_FIELD	31.199999	-12.66	-37.8
1561090286942	TYPE_GYROSCOPE	0.9102173	-0.21875	-0.039276123
1561090286942	TYPE_ROTATION_VECTOR	-0.018656058	-5.335264E-6	0.8407501
1561090286942	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.86	-33.84	-95.58
1561090286942	TYPE_GYROSCOPE_UNCALIBRATED	0.21838379	-0.07771301	-0.03756714
1561090286942	TYPE_ACCELEROMETER_UNCALIBRATED	-0.75494385	0.2632141	11.368301
1561090286961	TYPE_ACCELEROMETER	-0.46061707	0.40319824	9.241089
1561090286961	TYPE_MAGNETIC_FIELD	31.14	-12.719999	-37.62
1561090286961	TYPE_GYROSCOPE	0.98994446	-0.3119049	-0.05758667
1561090286961	TYPE_ROTATION_VECTOR	-0.021324508	0.027592016	0.83502835
1561090286961	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.8	-33.9	-95.399994
1561090286961	TYPE_GYROSCOPE_UNCALIBRATED	0.9914398	-0.31184387	-0.05833435
1561090286961	TYPE_ACCELEROMETER_UNCALIBRATED	-0.75494385	0.2632141	11.368301
1561090286980	TYPE_ACCELEROMETER	-0.23210144	0.42832947	7.4368896
1561090286980	TYPE_MAGNETIC_FIELD	30.9	-12.9	-37.5
1561090286980	TYPE_GYROSCOPE	0.9810791	-0.30212402	-0.057891846
1561090286980	TYPE_ROTATION_VECTOR	-0.0077176965	0.030235736	0.83531123
1561090286980	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.56	-34.08	-95.28
1561090286980	TYPE_GYROSCOPE_UNCALIBRATED	0.9914398	-0.31184387	-0.05833435
1561090286980	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23210144	0.42832947	7.4368896
1561090287000	TYPE_ACCELEROMETER	-0.1986084	0.4235382	5.716461
1561090287000	TYPE_MAGNETIC_FIELD	30.9	-13.139999	-37.5
1561090287000	TYPE_GYROSCOPE	0.9071655	-0.21324158	-0.048431396
1561090287000	TYPE_ROTATION_VECTOR	-7.717934E-6	0.031433467	0.8281903
1561090287000	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.56	-34.32	-95.28
1561090287000	TYPE_GYROSCOPE_UNCALIBRATED	0.9086609	-0.21318054	-0.049179077
1561090287000	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23210144	0.42832947	7.4368896
1561090287019	TYPE_ACCELEROMETER	-0.32781982	0.28115845	4.43869
1561090287019	TYPE_MAGNETIC_FIELD	30.72	-13.74	-37.5
1561090287019	TYPE_GYROSCOPE	0.73672485	-0.15338135	-0.019119263
1561090287019	TYPE_ROTATION_VECTOR	0.0069076903	0.040732246	0.8474092
1561090287019	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.38	-34.92	-95.28
1561090287019	TYPE_GYROSCOPE_UNCALIBRATED	0.7382202	-0.15332031	-0.019866943
1561090287019	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32781982	0.28115845	4.43869
