#	startTime:1561090434586
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561090434588	TYPE_WAYPOINT	70.94229	93.64029
1561090434805	TYPE_ACCELEROMETER	-1.4919281	-0.5132599	7.544571
1561090434805	TYPE_MAGNETIC_FIELD	-15.54	26.76	-41.219997
1561090434805	TYPE_GYROSCOPE	0.21231079	-0.15002441	-0.027359009
1561090434805	TYPE_ROTATION_VECTOR	-1.2036516E-9	0.11073011	-0.38961974
1561090434805	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.12	5.58	-99.0
1561090434805	TYPE_GYROSCOPE_UNCALIBRATED	0.38209534	0.018951416	-0.022613525
1561090434805	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3088837	-0.39840698	7.220337
1561090434824	TYPE_ACCELEROMETER	-1.121048	-0.28355408	7.0384827
1561090434824	TYPE_MAGNETIC_FIELD	-15.48	26.46	-41.52
1561090434824	TYPE_GYROSCOPE	0.017745972	-0.30976868	-0.029800415
1561090434824	TYPE_ROTATION_VECTOR	-1.20383E-12	0.09286393	-0.37831935
1561090434824	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.18	5.279999	-99.3
1561090434824	TYPE_GYROSCOPE_UNCALIBRATED	0.21380615	-0.14996338	-0.02810669
1561090434824	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9248352	-0.22970581	7.0085754
1561090434843	TYPE_ACCELEROMETER	-0.7609253	-0.23091125	7.1318054
1561090434843	TYPE_MAGNETIC_FIELD	-15.48	26.279999	-42.0
1561090434843	TYPE_GYROSCOPE	-0.13162231	-0.39100647	-0.021255493
1561090434843	TYPE_ROTATION_VECTOR	0.00548802	0.066071086	-0.3515716
1561090434843	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.18	5.0999985	-99.78
1561090434843	TYPE_GYROSCOPE_UNCALIBRATED	0.019241333	-0.30970764	-0.030548096
1561090434843	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5934143	-0.2644043	7.3734894
1561090434863	TYPE_ACCELEROMETER	-0.44267273	-0.30389404	7.549362
1561090434863	TYPE_MAGNETIC_FIELD	-15.48	26.099998	-42.36
1561090434863	TYPE_GYROSCOPE	-0.12886047	-0.33236694	-0.013305664
1561090434863	TYPE_ROTATION_VECTOR	-0.00879282	0.04328085	-0.32423887
1561090434863	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.18	4.919998	-100.14
1561090434863	TYPE_GYROSCOPE_UNCALIBRATED	-0.13012695	-0.39094543	-0.022003174
1561090434863	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41874695	-0.275177	7.4931183
1561090434882	TYPE_ACCELEROMETER	-0.4785614	-0.20698547	7.198807
1561090434882	TYPE_MAGNETIC_FIELD	-15.54	26.16	-42.54
1561090434882	TYPE_GYROSCOPE	-0.0079193115	-0.18850708	-0.009338379
1561090434882	TYPE_ROTATION_VECTOR	-0.011272039	0.040369164	-0.32360893
1561090434882	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.12	4.9799995	-100.32
1561090434882	TYPE_GYROSCOPE_UNCALIBRATED	-0.12736511	-0.3323059	-0.014053345
