#	startTime:1561090654117
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561090654117	TYPE_WAYPOINT	180.55635	118.19861
1561090654246	TYPE_ACCELEROMETER	-1.7551422	-3.2578278	16.413574
1561090654246	TYPE_MAGNETIC_FIELD	-32.16	-10.8	-40.92
1561090654246	TYPE_GYROSCOPE	-0.21530151	-0.1698761	-0.028579712
1561090654246	TYPE_ROTATION_VECTOR	0.0	0.0	0.0
1561090654246	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.0	0.0	0.0
1561090654246	TYPE_GYROSCOPE_UNCALIBRATED	-0.21380615	-0.16981506	-0.029327393
1561090654246	TYPE_ACCELEROMETER_UNCALIBRATED	-1.877182	-3.2853394	17.523834
1561090654265	TYPE_ACCELEROMETER	-1.5194397	-3.0257263	13.512283
1561090654265	TYPE_MAGNETIC_FIELD	-31.199999	-11.5199995	-47.82
1561090654265	TYPE_GYROSCOPE	0.1399231	-0.3094635	-0.013916016
1561090654265	TYPE_ROTATION_VECTOR	-0.006592114	0.110239886	-0.8464434
1561090654265	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.76	-37.02	-106.8
1561090654265	TYPE_GYROSCOPE_UNCALIBRATED	0.14141846	-0.30940247	-0.014663696
1561090654265	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5960236	-3.1561432	14.993439
1561090654284	TYPE_ACCELEROMETER	-1.5804596	-2.8091736	10.900513
1561090654284	TYPE_MAGNETIC_FIELD	-31.439999	-11.099999	-47.52
1561090654284	TYPE_GYROSCOPE	0.7468109	-0.2725067	0.04258728
1561090654284	TYPE_ROTATION_VECTOR	-0.0069949334	0.121814385	-0.8562472
1561090654284	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.52	-36.6	-106.5
1561090654284	TYPE_GYROSCOPE_UNCALIBRATED	0.7483063	-0.27244568	0.0418396
1561090654284	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5350037	-2.9156647	12.094528
1561090654303	TYPE_ACCELEROMETER	-1.6163483	-2.4682007	9.212372
1561090654303	TYPE_MAGNETIC_FIELD	-31.5	-10.98	-47.34
1561090654303	TYPE_GYROSCOPE	0.8665314	-0.08282471	0.072525024
1561090654303	TYPE_ROTATION_VECTOR	-6.9956213E-6	0.14317988	-0.85427547
1561090654303	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.46	-36.48	-106.32
1561090654303	TYPE_GYROSCOPE_UNCALIBRATED	0.86802673	-0.08276367	0.071777344
