#	startTime:1561090701485
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561090701485	TYPE_WAYPOINT	209.06274	89.3606
1561090701603	TYPE_ACCELEROMETER	0.10409546	0.5958252	13.764709
1561090701603	TYPE_MAGNETIC_FIELD	18.119999	40.62	-48.899998
1561090701603	TYPE_GYROSCOPE	-0.0069885254	-0.10939026	-0.26864624
1561090701603	TYPE_ROTATION_VECTOR	1.0309719E-5	0.0055245967	0.21794029
1561090701603	TYPE_MAGNETIC_FIELD_UNCALIBRATED	75.96	14.700001	-108.119995
1561090701603	TYPE_GYROSCOPE_UNCALIBRATED	-0.005493164	-0.10932922	-0.26939392
1561090701603	TYPE_ACCELEROMETER_UNCALIBRATED	0.04547119	0.38285828	14.074585
1561090701622	TYPE_ACCELEROMETER	0.23330688	0.879364	12.945175
1561090701622	TYPE_MAGNETIC_FIELD	18.119999	41.1	-48.6
1561090701622	TYPE_GYROSCOPE	-0.014785767	-0.107559204	-0.10279846
1561090701622	TYPE_ROTATION_VECTOR	0.02701312	5.525875E-9	0.18743558
1561090701622	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.08	15.599998	-107.58
1561090701622	TYPE_GYROSCOPE_UNCALIBRATED	0.017715454	-0.12705994	-0.052841187
1561090701622	TYPE_ACCELEROMETER_UNCALIBRATED	0.15673828	0.76930237	13.372299
1561090701641	TYPE_ACCELEROMETER	0.31585693	0.8219452	12.114868
1561090701641	TYPE_MAGNETIC_FIELD	18.359999	41.16	-48.36
1561090701641	TYPE_GYROSCOPE	0.0763855	-0.15795898	-0.06309509
1561090701641	TYPE_ROTATION_VECTOR	0.034865126	-5.43936E-4	0.2145991
1561090701641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.32	15.66	-107.34
1561090701641	TYPE_GYROSCOPE_UNCALIBRATED	0.017715454	-0.12705994	-0.052841187
1561090701641	TYPE_ACCELEROMETER_UNCALIBRATED	0.29551697	0.8829651	12.5108795
1561090701660	TYPE_ACCELEROMETER	0.3481598	0.6580353	11.084747
1561090701660	TYPE_MAGNETIC_FIELD	18.359999	41.16	-48.36
1561090701660	TYPE_GYROSCOPE	0.18939209	-0.15948486	-0.078063965
1561090701660	TYPE_ROTATION_VECTOR	0.034865126	-5.43936E-4	0.2145991
1561090701660	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.32	15.66	-107.34
1561090701660	TYPE_GYROSCOPE_UNCALIBRATED	0.13163757	-0.1673584	-0.07484436
1561090701660	TYPE_ACCELEROMETER_UNCALIBRATED	0.32781982	0.7453613	11.659027
1561090701680	TYPE_ACCELEROMETER	0.4019928	0.53001404	9.686157
1561090701680	TYPE_MAGNETIC_FIELD	18.359999	41.16	-48.36
