#	startTime:1561090724340
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561090724340	TYPE_WAYPOINT	202.42305	91.25502
1561090724459	TYPE_ACCELEROMETER	-1.2346954	-0.43429565	13.619949
1561090724459	TYPE_MAGNETIC_FIELD	-38.46	-14.94	-59.699997
1561090724459	TYPE_GYROSCOPE	0.043701172	-0.026321411	-0.13059998
1561090724459	TYPE_ROTATION_VECTOR	0.027367488	0.038007922	-0.8158946
1561090724459	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.5	-40.44	-118.67999
1561090724459	TYPE_GYROSCOPE_UNCALIBRATED	0.045196533	-0.026260376	-0.13134766
1561090724459	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1868439	-0.41993713	13.442886
1561090724478	TYPE_ACCELEROMETER	-1.0935211	-0.44625854	13.371094
1561090724478	TYPE_MAGNETIC_FIELD	-38.46	-14.88	-59.699997
1561090724478	TYPE_GYROSCOPE	0.19992065	-0.108795166	-0.034851074
1561090724478	TYPE_ROTATION_VECTOR	0.02700985	0.03828856	-0.8210987
1561090724478	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.5	-40.38	-118.67999
1561090724478	TYPE_GYROSCOPE_UNCALIBRATED	0.20141602	-0.10873413	-0.035598755
1561090724478	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2191467	-0.44506836	13.579269
1561090724497	TYPE_ACCELEROMETER	-0.8841553	-0.38763428	12.460632
1561090724497	TYPE_MAGNETIC_FIELD	-38.46	-14.82	-59.76
1561090724497	TYPE_GYROSCOPE	0.39892578	-0.14604187	-0.0068969727
1561090724497	TYPE_ROTATION_VECTOR	0.01911241	0.033148106	-0.8244812
1561090724497	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.5	-40.32	-118.74
1561090724497	TYPE_GYROSCOPE_UNCALIBRATED	0.40042114	-0.14598083	-0.0076446533
1561090724497	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9260254	-0.42233276	12.965515
1561090724516	TYPE_ACCELEROMETER	-1.0121765	-0.38285828	11.412567
1561090724516	TYPE_MAGNETIC_FIELD	-38.64	-15.0	-59.82
1561090724516	TYPE_GYROSCOPE	0.5348511	-0.20193481	-0.027053833
1561090724516	TYPE_ROTATION_VECTOR	0.023672966	0.0338571	-0.8320088
1561090724516	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.32	-40.5	-118.8
1561090724516	TYPE_GYROSCOPE_UNCALIBRATED	0.53634644	-0.20187378	-0.027801514
1561090724516	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9667053	-0.36849976	11.950958
1561090724536	TYPE_ACCELEROMETER	-1.0492554	-0.30270386	10.27359
1561090724536	TYPE_MAGNETIC_FIELD	-38.64	-15.12	-59.52
1561090724536	TYPE_GYROSCOPE	0.61486816	-0.2618103	-0.009643555
1561090724536	TYPE_ROTATION_VECTOR	0.029200867	0.039772693	-0.82841986
1561090724536	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.32	-40.62	-118.5
1561090724536	TYPE_GYROSCOPE_UNCALIBRATED	0.6163635	-0.26174927	-0.010391235
1561090724536	TYPE_ACCELEROMETER_UNCALIBRATED	-1.026535	-0.37806702	10.844284
1561090724555	TYPE_ACCELEROMETER	-0.75852966	-0.119644165	9.086746
1561090724555	TYPE_MAGNETIC_FIELD	-38.76	-15.48	-59.219997
1561090724555	TYPE_GYROSCOPE	0.6426544	-0.27127075	0.03555298
1561090724555	TYPE_ROTATION_VECTOR	0.035533007	0.031744145	-0.8232465
1561090724555	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.2	-40.98	-118.2
1561090724555	TYPE_GYROSCOPE_UNCALIBRATED	0.6441498	-0.27120972	0.034805298
1561090724555	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9798584	-0.19981384	9.688538
1561090724574	TYPE_ACCELEROMETER	-0.4857483	0.057434082	7.8879395
1561090724574	TYPE_MAGNETIC_FIELD	-38.94	-15.78	-58.92
1561090724574	TYPE_GYROSCOPE	0.6292267	-0.22821045	0.06762695
1561090724574	TYPE_ROTATION_VECTOR	0.036896594	0.025161307	-0.82331926
1561090724574	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.02	-41.28	-117.899994
1561090724574	TYPE_GYROSCOPE_UNCALIBRATED	0.63072205	-0.22814941	0.06687927
1561090724574	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5348053	-0.044265747	8.475372
1561090724593	TYPE_ACCELEROMETER	-0.61735535	0.15315247	6.845871
1561090724593	TYPE_MAGNETIC_FIELD	-39.059998	-16.14	-58.859997
1561090724593	TYPE_GYROSCOPE	0.5937958	-0.13749695	0.053878784
1561090724593	TYPE_ROTATION_VECTOR	0.038518056	0.01894568	-0.82316864
1561090724593	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.900002	-41.64	-117.84
1561090724593	TYPE_GYROSCOPE_UNCALIBRATED	0.59529114	-0.13743591	0.053131104
1561090724593	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5467682	0.12921143	7.343582
1561090724613	TYPE_ACCELEROMETER	-0.5922241	0.1531372	6.2165527
1561090724613	TYPE_MAGNETIC_FIELD	-39.36	-16.92	-58.5
1561090724613	TYPE_GYROSCOPE	0.49086	-0.080078125	0.0499115
1561090724613	TYPE_ROTATION_VECTOR	0.04065676	0.013502548	-0.8230206
1561090724613	TYPE_MAGNETIC_FIELD_UNCALIBRATED	18.599998	-42.42	-117.479996
