#	startTime:1561090754102
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561090754103	TYPE_WAYPOINT	202.42305	91.25502
1561090754225	TYPE_ACCELEROMETER	-0.7621155	-1.1353912	14.97908
1561090754225	TYPE_MAGNETIC_FIELD	23.039999	19.38	-33.48
1561090754225	TYPE_GYROSCOPE	0.46443176	-0.22973633	0.056030273
1561090754225	TYPE_ROTATION_VECTOR	-0.05022201	0.012765803	0.41598338
1561090754225	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.28	-3.4799995	-87.479996
1561090754225	TYPE_GYROSCOPE_UNCALIBRATED	0.18463135	-0.085510254	-0.04673767
1561090754225	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5228424	-0.89611816	13.859238
1561090754244	TYPE_ACCELEROMETER	-0.37806702	-0.62213135	12.646072
1561090754244	TYPE_MAGNETIC_FIELD	23.039999	19.26	-33.78
1561090754244	TYPE_GYROSCOPE	0.7498627	-0.31861877	0.068237305
1561090754244	TYPE_ROTATION_VECTOR	-0.038005207	0.0041936007	0.45138618
1561090754244	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.28	-3.5999985	-87.78
1561090754244	TYPE_GYROSCOPE_UNCALIBRATED	0.18463135	-0.085510254	-0.04673767
1561090754244	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27038574	-0.39959717	11.600403
1561090754263	TYPE_ACCELEROMETER	-0.22372437	-0.21774292	10.589447
1561090754263	TYPE_MAGNETIC_FIELD	22.98	19.08	-34.14
1561090754263	TYPE_GYROSCOPE	0.8494415	-0.29144287	0.03189087
1561090754263	TYPE_ROTATION_VECTOR	-0.021746386	0.003906824	0.44109592
1561090754263	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.22	-3.7799988	-88.14
1561090754263	TYPE_GYROSCOPE_UNCALIBRATED	0.6609497	-0.3127594	0.09284973
1561090754263	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27038574	-0.39959717	11.600403
1561090754282	TYPE_ACCELEROMETER	-0.22972107	0.06222534	8.666809
1561090754282	TYPE_MAGNETIC_FIELD	22.98	18.84	-34.5
1561090754282	TYPE_GYROSCOPE	0.85676575	-0.2718811	0.026397705
1561090754282	TYPE_ROTATION_VECTOR	-2.1749787E-5	0.0078087864	0.4393129
1561090754282	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.22	-4.0199986	-88.5
1561090754282	TYPE_GYROSCOPE_UNCALIBRATED	0.8127594	-0.3057251	0.04611206
1561090754282	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23928833	0.12922668	7.7228394
1561090754302	TYPE_ACCELEROMETER	-0.2871399	0.16751099	6.7585297
1561090754302	TYPE_MAGNETIC_FIELD	23.16	18.66	-34.98
1561090754302	TYPE_GYROSCOPE	0.7483368	-0.24684143	0.04899597
1561090754302	TYPE_ROTATION_VECTOR	-2.1751172E-8	0.016092833	0.43887308
1561090754302	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.399994	-4.199999	-88.979996
1561090754302	TYPE_GYROSCOPE_UNCALIBRATED	0.86650085	-0.28068542	0.024734497
1561090754302	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27876282	0.17349243	5.8349
1561090754321	TYPE_ACCELEROMETER	-0.15194702	0.12802124	5.0572357
1561090754321	TYPE_MAGNETIC_FIELD	23.039999	18.359999	-35.399998
1561090754321	TYPE_GYROSCOPE	0.511322	-0.21385193	0.07984924
1561090754321	TYPE_ROTATION_VECTOR	0.004187985	0.027605914	0.4284422
1561090754321	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.28	-4.5	-89.399994
1561090754321	TYPE_GYROSCOPE_UNCALIBRATED	0.82099915	-0.25961304	0.032669067
1561090754321	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27876282	0.17349243	5.8349
1561090754340	TYPE_ACCELEROMETER	0.15673828	0.06460571	4.1515503
1561090754340	TYPE_MAGNETIC_FIELD	22.92	18.06	-36.239998
1561090754340	TYPE_GYROSCOPE	0.25138855	-0.13597107	0.092681885
1561090754340	TYPE_ROTATION_VECTOR	0.011677825	0.028549042	0.42863315
1561090754340	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.159996	-4.799999	-90.24
1561090754340	TYPE_GYROSCOPE_UNCALIBRATED	0.6438446	-0.23364258	0.065963745
1561090754340	TYPE_ACCELEROMETER_UNCALIBRATED	0.24168396	0.10649109	3.8428802
1561090754359	TYPE_ACCELEROMETER	0.22013855	0.22612	3.5019073
1561090754359	TYPE_MAGNETIC_FIELD	22.98	17.58	-36.48
1561090754359	TYPE_GYROSCOPE	0.03086853	0.027435303	0.108551025
1561090754359	TYPE_ROTATION_VECTOR	0.017004088	0.028792625	0.42915082
1561090754359	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.22	-5.279999	-90.479996
1561090754359	TYPE_GYROSCOPE_UNCALIBRATED	0.3768921	-0.18385315	0.08703613
1561090754359	TYPE_ACCELEROMETER_UNCALIBRATED	0.24168396	0.10649109	3.8428802
1561090754379	TYPE_ACCELEROMETER	0.15913391	0.41993713	2.6488647
1561090754379	TYPE_MAGNETIC_FIELD	22.859999	17.039999	-36.84
1561090754379	TYPE_GYROSCOPE	-0.2498169	0.15174866	0.110076904
1561090754379	TYPE_ROTATION_VECTOR	0.019789152	0.028635453	0.4298612
1561090754379	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.1	-5.8199997	-90.84
1561090754379	TYPE_GYROSCOPE_UNCALIBRATED	0.1414032	-0.062301636	0.098342896
1561090754379	TYPE_ACCELEROMETER_UNCALIBRATED	0.14356995	0.48095703	2.2839508
1561090754398	TYPE_ACCELEROMETER	0.20339966	0.49531555	2.0087738
1561090754398	TYPE_MAGNETIC_FIELD	22.98	16.98	-37.14
1561090754398	TYPE_GYROSCOPE	-0.6419983	0.15785217	0.07588196
1561090754398	TYPE_ROTATION_VECTOR	0.019986762	0.02897469	0.43079296
1561090754398	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.22	-5.879999	-91.14
1561090754398	TYPE_GYROSCOPE_UNCALIBRATED	-0.09286499	0.1065979	0.113601685
1561090754398	TYPE_ACCELEROMETER_UNCALIBRATED	0.36491394	0.41874695	1.9274292
1561090754417	TYPE_ACCELEROMETER	0.58384705	0.39840698	2.157135
1561090754417	TYPE_MAGNETIC_FIELD	22.92	16.92	-37.38
1561090754417	TYPE_GYROSCOPE	-1.0500641	0.165802	-0.0059814453
1561090754417	TYPE_ROTATION_VECTOR	0.017254688	0.029234797	0.43183863
1561090754417	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.159996	-5.9399986	-91.380005
1561090754417	TYPE_GYROSCOPE_UNCALIBRATED	-0.4334259	0.16189575	0.096206665
1561090754417	TYPE_ACCELEROMETER_UNCALIBRATED	0.7728882	0.3517456	2.498108
1561090754436	TYPE_ACCELEROMETER	0.7537384	0.2141571	2.6847534
1561090754436	TYPE_MAGNETIC_FIELD	22.98	16.92	-37.62
1561090754436	TYPE_GYROSCOPE	-1.388794	0.18504333	-0.12631226
1561090754436	TYPE_ROTATION_VECTOR	0.011110171	0.027939899	0.43269145
1561090754436	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.22	-5.9399986	-91.619995
1561090754436	TYPE_GYROSCOPE_UNCALIBRATED	-0.8540039	0.16127014	0.044281006
1561090754436	TYPE_ACCELEROMETER_UNCALIBRATED	0.44506836	0.034698486	3.1298218
1561090754456	TYPE_ACCELEROMETER	-0.13877869	-0.30508423	4.194626
1561090754456	TYPE_MAGNETIC_FIELD	22.859999	16.98	-37.5
1561090754456	TYPE_GYROSCOPE	-1.7192688	0.32125854	-0.12876892
1561090754456	TYPE_ROTATION_VECTOR	0.0013307999	0.025010876	0.43292195
1561090754456	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.1	-5.879999	-91.5
1561090754456	TYPE_GYROSCOPE_UNCALIBRATED	-1.218399	0.16036987	-0.07330322
1561090754456	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6017914	-0.88653564	5.666214
1561090754475	TYPE_ACCELEROMETER	-0.8410797	-1.7479553	7.4680023
1561090754475	TYPE_MAGNETIC_FIELD	22.92	17.46	-37.44
1561090754475	TYPE_GYROSCOPE	-2.0518951	0.1905365	-0.07531738
1561090754475	TYPE_ROTATION_VECTOR	-0.011414674	0.020860208	0.43213272
1561090754475	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.159996	-5.3999996	-91.44
1561090754475	TYPE_GYROSCOPE_UNCALIBRATED	-1.8778229	0.29811096	-0.098358154
1561090754475	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1126709	-2.617752	9.872787
1561090754494	TYPE_ACCELEROMETER	-1.3016968	-3.2865448	12.850662
1561090754494	TYPE_MAGNETIC_FIELD	23.279999	17.82	-36.78
1561090754494	TYPE_GYROSCOPE	-2.263855	-0.037017822	0.028533936
1561090754494	TYPE_ROTATION_VECTOR	-0.02756909	0.016511776	0.4312682
1561090754494	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.52	-5.039999	-90.78
1561090754494	TYPE_GYROSCOPE_UNCALIBRATED	-1.8778229	0.29811096	-0.098358154
1561090754494	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4033966	-3.8345032	15.857239
1561090754513	TYPE_ACCELEROMETER	-1.3962097	-4.2089844	18.64009
1561090754513	TYPE_MAGNETIC_FIELD	23.22	18.48	-36.18
1561090754513	TYPE_GYROSCOPE	-2.0219574	-0.041290283	0.16720581
1561090754513	TYPE_ROTATION_VECTOR	-0.046160687	0.009644032	0.43080938
1561090754513	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.46	-4.379999	-90.18
1561090754513	TYPE_GYROSCOPE_UNCALIBRATED	-2.1994476	0.060791016	-0.03666687
