#	startTime:1561090830032
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561090830033	TYPE_WAYPOINT	172.3859	107.969734
1561090830162	TYPE_ACCELEROMETER	-0.845871	-0.91645813	6.754944
1561090830162	TYPE_MAGNETIC_FIELD	-6.96	33.96	-22.74
1561090830162	TYPE_GYROSCOPE	0.08584595	0.11051941	-0.44947815
1561090830162	TYPE_ROTATION_VECTOR	-0.06567738	0.07210856	-0.117470175
1561090830162	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.9	6.779999	-85.38
1561090830162	TYPE_GYROSCOPE_UNCALIBRATED	0.08734131	0.110580444	-0.45022583
1561090830162	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9296112	-1.0863495	7.1605225
1561090830181	TYPE_ACCELEROMETER	-0.6472626	-0.57907104	5.6650085
1561090830181	TYPE_MAGNETIC_FIELD	-6.8999996	33.84	-22.859999
1561090830181	TYPE_GYROSCOPE	0.2787323	-0.22302246	-0.066467285
1561090830181	TYPE_ROTATION_VECTOR	-0.04819668	0.06711378	-0.15902625
1561090830181	TYPE_MAGNETIC_FIELD_UNCALIBRATED	48.96	6.66	-85.5
1561090830181	TYPE_GYROSCOPE_UNCALIBRATED	0.28022766	-0.22296143	-0.067214966
1561090830181	TYPE_ACCELEROMETER_UNCALIBRATED	-0.73579407	-0.7381897	6.22493
1561090830200	TYPE_ACCELEROMETER	-0.62094116	-0.27638245	4.655243
1561090830200	TYPE_MAGNETIC_FIELD	-6.66	33.899998	-23.279999
