#	startTime:1561090994937
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a86a0	FloorName:F3
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561090994937	TYPE_WAYPOINT	89.92347	92.31179
1561090995054	TYPE_ACCELEROMETER	-2.499298	-1.2047882	8.743378
1561090995054	TYPE_MAGNETIC_FIELD	27.359999	-13.0199995	-20.76
1561090995054	TYPE_GYROSCOPE	-0.059539795	-0.05609131	0.18843079
1561090995054	TYPE_ROTATION_VECTOR	-0.15763961	-0.0043993974	0.9015926
1561090995054	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.22	-40.2	-83.4
1561090995054	TYPE_GYROSCOPE_UNCALIBRATED	-0.058044434	-0.056030273	0.1876831
1561090995054	TYPE_ACCELEROMETER_UNCALIBRATED	-2.499298	-1.2047882	8.743378
1561090995073	TYPE_ACCELEROMETER	-2.349762	-0.97387695	8.835495
1561090995073	TYPE_MAGNETIC_FIELD	27.3	-13.139999	-20.699999
1561090995073	TYPE_GYROSCOPE	0.007965088	-0.082214355	0.1659851
1561090995073	TYPE_ROTATION_VECTOR	-0.14754471	-4.4003054E-6	0.8874254
1561090995073	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.16	-40.32	-83.34
1561090995073	TYPE_GYROSCOPE_UNCALIBRATED	-0.058044434	-0.056030273	0.1876831
1561090995073	TYPE_ACCELEROMETER_UNCALIBRATED	-2.349762	-0.97387695	8.835495
1561090995092	TYPE_ACCELEROMETER	-2.1703033	-0.5252228	8.900101
1561090995092	TYPE_MAGNETIC_FIELD	27.3	-13.32	-20.76
1561090995092	TYPE_GYROSCOPE	-0.103515625	-0.2288208	0.18217468
1561090995092	TYPE_ROTATION_VECTOR	-0.12750232	0.018487051	0.88574123
1561090995092	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.16	-40.5	-83.4
1561090995092	TYPE_GYROSCOPE_UNCALIBRATED	0.009460449	-0.08215332	0.16523743
1561090995092	TYPE_ACCELEROMETER_UNCALIBRATED	-2.1703033	-0.5252228	8.900101
1561090995111	TYPE_ACCELEROMETER	-1.3172455	-0.50250244	9.322433
1561090995111	TYPE_MAGNETIC_FIELD	27.3	-13.74	-20.88
1561090995111	TYPE_GYROSCOPE	-0.1368103	-0.3265686	0.19255066
1561090995111	TYPE_ROTATION_VECTOR	-0.10123592	0.027219154	0.8853693
1561090995111	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.16	-40.92	-83.52
