#	startTime:1561091447274
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969e739e2fc0b4afeac1a	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561091447274	TYPE_WAYPOINT	83.23	58.584057
1561091447400	TYPE_ACCELEROMETER	0.114852905	1.8628235	9.439682
1561091447400	TYPE_MAGNETIC_FIELD	31.679998	-14.58	-28.38
1561091447400	TYPE_GYROSCOPE	-0.1745758	0.62112427	-0.036697388
1561091447400	TYPE_ROTATION_VECTOR	0.055826228	0.07525691	0.7854648
1561091447400	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.640001	-25.8	-172.98
1561091447400	TYPE_GYROSCOPE_UNCALIBRATED	-0.23698425	0.69270325	-0.11605835
1561091447400	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29193115	1.753952	9.512665
1561091447419	TYPE_ACCELEROMETER	-0.07896423	1.8939209	9.395416
1561091447419	TYPE_MAGNETIC_FIELD	31.74	-14.219999	-28.14
1561091447419	TYPE_GYROSCOPE	-0.07746887	0.23721313	0.0054473877
1561091447419	TYPE_ROTATION_VECTOR	0.065408066	0.07063268	0.7689052
1561091447419	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.58	-25.439999	-172.73999
1561091447419	TYPE_GYROSCOPE_UNCALIBRATED	-0.13987732	0.3087921	-0.073913574
1561091447419	TYPE_ACCELEROMETER_UNCALIBRATED	0.119644165	1.8520508	9.454041
1561091447439	TYPE_ACCELEROMETER	-0.12084961	1.9286194	9.516266
1561091447439	TYPE_MAGNETIC_FIELD	31.74	-14.219999	-28.14
1561091447439	TYPE_GYROSCOPE	-0.0713501	0.09945679	0.01828003
1561091447439	TYPE_ROTATION_VECTOR	0.057440266	0.080348596	0.78879976
1561091447439	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.58	-25.439999	-172.73999
1561091447439	TYPE_GYROSCOPE_UNCALIBRATED	-0.13375854	0.17103577	-0.061080933
1561091447439	TYPE_ACCELEROMETER_UNCALIBRATED	0.01675415	1.8747864	9.409775
1561091447458	TYPE_ACCELEROMETER	-0.037094116	1.959732	9.564117
1561091447458	TYPE_MAGNETIC_FIELD	31.8	-14.16	-28.32
1561091447458	TYPE_GYROSCOPE	-0.059143066	0.010284424	0.020111084
1561091447458	TYPE_ROTATION_VECTOR	0.05712202	0.08212565	0.7833931
1561091447458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.52	-25.38	-172.91998
1561091447458	TYPE_GYROSCOPE_UNCALIBRATED	-0.12155151	0.0818634	-0.059249878
1561091447458	TYPE_ACCELEROMETER_UNCALIBRATED	-0.117248535	1.8963165	9.442078
1561091447477	TYPE_ACCELEROMETER	-0.09692383	1.902298	9.379868
1561091447477	TYPE_MAGNETIC_FIELD	31.8	-14.16	-28.32
1561091447477	TYPE_GYROSCOPE	-0.007827759	-0.03552246	0.016433716
1561091447477	TYPE_ROTATION_VECTOR	0.05712202	0.08212565	0.7833931
1561091447477	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.52	-25.38	-172.91998
1561091447477	TYPE_GYROSCOPE_UNCALIBRATED	-0.070236206	0.03605652	-0.062927246
1561091447477	TYPE_ACCELEROMETER_UNCALIBRATED	-0.093322754	1.971695	9.562927
1561091447497	TYPE_ACCELEROMETER	-0.19142151	1.8795624	9.150162
1561091447497	TYPE_MAGNETIC_FIELD	31.8	-14.16	-28.32
1561091447497	TYPE_GYROSCOPE	0.022705078	0.031661987	0.009109497
1561091447497	TYPE_ROTATION_VECTOR	0.05712202	0.08212565	0.7833931
1561091447497	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.52	-25.38	-172.91998
1561091447497	TYPE_GYROSCOPE_UNCALIBRATED	-0.03970337	0.10324097	-0.070251465
1561091447497	TYPE_ACCELEROMETER_UNCALIBRATED	-0.027526855	1.9226379	9.501907
1561091447516	TYPE_ACCELEROMETER	-0.26560974	1.8472595	9.08316
1561091447516	TYPE_MAGNETIC_FIELD	31.5	-14.099999	-28.019999
1561091447516	TYPE_GYROSCOPE	0.008041382	0.086013794	0.015823364
1561091447516	TYPE_ROTATION_VECTOR	0.052452207	0.0866097	0.79474443
1561091447516	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.82	-25.32	-172.62
1561091447516	TYPE_GYROSCOPE_UNCALIBRATED	-0.054367065	0.15759277	-0.0635376
1561091447516	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16390991	1.8915253	9.2482605
1561091447535	TYPE_ACCELEROMETER	-0.35414124	1.8388824	9.0711975
1561091447535	TYPE_MAGNETIC_FIELD	31.619999	-13.98	-28.019999
1561091447535	TYPE_GYROSCOPE	-0.021270752	0.07563782	0.028045654
1561091447535	TYPE_ROTATION_VECTOR	0.05214623	0.087084725	0.7961773
1561091447535	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.700001	-25.199999	-172.62
1561091447535	TYPE_GYROSCOPE_UNCALIBRATED	-0.0836792	0.1472168	-0.051315308
1561091447535	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22492981	1.8652039	9.087952
1561091447555	TYPE_ACCELEROMETER	-0.47737122	1.9178467	8.812759
1561091447555	TYPE_MAGNETIC_FIELD	31.92	-13.559999	-28.199999
1561091447555	TYPE_GYROSCOPE	-0.038970947	0.07258606	0.040863037
1561091447555	TYPE_ROTATION_VECTOR	0.050870653	0.08789113	0.796521
1561091447555	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.4	-24.779999	-172.79999
1561091447555	TYPE_GYROSCOPE_UNCALIBRATED	-0.101379395	0.14416504	-0.038497925
1561091447555	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31106567	1.8317108	9.109482
1561091447574	TYPE_ACCELEROMETER	-0.4235382	1.8376923	8.678772
1561091447574	TYPE_MAGNETIC_FIELD	31.98	-13.32	-28.08
1561091447574	TYPE_GYROSCOPE	-0.02798462	0.043884277	0.045150757
1561091447574	TYPE_ROTATION_VECTOR	0.050125703	0.08798918	0.7968232
1561091447574	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.34	-24.539999	-172.68
1561091447574	TYPE_GYROSCOPE_UNCALIBRATED	-0.09039307	0.11546326	-0.034210205
1561091447574	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4008026	1.881958	8.950348
1561091447593	TYPE_ACCELEROMETER	-0.1483612	1.725235	8.745773
1561091447593	TYPE_MAGNETIC_FIELD	31.74	-13.62	-28.439999
1561091447593	TYPE_GYROSCOPE	-0.023101807	-0.08258057	0.03475952
1561091447593	TYPE_ROTATION_VECTOR	0.049664367	0.088005416	0.7971269
1561091447593	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.58	-24.84	-173.04
1561091447593	TYPE_GYROSCOPE_UNCALIBRATED	-0.085510254	-0.011001587	-0.04460144
1561091447593	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5228424	1.8987122	8.720642
1561091447613	TYPE_ACCELEROMETER	-0.3672943	1.7120667	9.024536
1561091447613	TYPE_MAGNETIC_FIELD	31.8	-13.62	-28.74
1561091447613	TYPE_GYROSCOPE	-0.070739746	-0.13327026	5.493164E-4
1561091447613	TYPE_ROTATION_VECTOR	0.050189275	0.08734271	0.7973067
1561091447613	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-8.52	-24.84	-173.34
1561091447613	TYPE_GYROSCOPE_UNCALIBRATED	-0.1331482	-0.061691284	-0.078811646
1561091447613	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2368927	1.7742767	8.679962
1561091447632	TYPE_ACCELEROMETER	-0.7992096	1.7204437	9.230316
1561091447632	TYPE_MAGNETIC_FIELD	31.619999	-13.62	-28.68
