#	startTime:1561091535064
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969e739e2fc0b4afeac1a	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561091535065	TYPE_WAYPOINT	51.781513	38.188396
1561091535193	TYPE_ACCELEROMETER	0.501297	1.183258	9.53421
1561091535193	TYPE_MAGNETIC_FIELD	-28.26	4.74	-20.939999
1561091535193	TYPE_GYROSCOPE	-0.075927734	0.06097412	0.055526733
1561091535193	TYPE_ROTATION_VECTOR	0.02780997	-0.07629045	-0.5921937
1561091535193	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.58	-6.4799995	-165.54
1561091535193	TYPE_GYROSCOPE_UNCALIBRATED	-0.1355896	0.15637207	0.062301636
1561091535193	TYPE_ACCELEROMETER_UNCALIBRATED	0.8614197	1.2729797	9.396622
1561091535212	TYPE_ACCELEROMETER	-0.13279724	0.92723083	9.734009
1561091535212	TYPE_MAGNETIC_FIELD	-28.32	5.04	-21.18
1561091535212	TYPE_GYROSCOPE	-0.06341553	-0.015380859	-0.1894226
1561091535212	TYPE_ROTATION_VECTOR	0.040646173	-0.03897305	-0.585653
1561091535212	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.64	-6.1799994	-165.78
1561091535212	TYPE_GYROSCOPE_UNCALIBRATED	-0.13833618	0.1325531	-0.023834229
1561091535212	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2979126	0.8231354	9.713669
1561091535231	TYPE_ACCELEROMETER	-0.2476654	0.8183441	9.571289
1561091535231	TYPE_MAGNETIC_FIELD	-28.08	5.04	-21.3
1561091535231	TYPE_GYROSCOPE	0.105789185	-0.038589478	-0.09106445
1561091535231	TYPE_ROTATION_VECTOR	0.04190911	-0.01395557	-0.61643624
1561091535231	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.64	-6.1799994	-165.78
1561091535231	TYPE_GYROSCOPE_UNCALIBRATED	-0.12582397	0.05619812	-0.26878357
1561091535231	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2979126	0.8231354	9.713669
1561091535251	TYPE_ACCELEROMETER	0.4857483	1.1736908	8.947968
1561091535251	TYPE_MAGNETIC_FIELD	-28.08	5.1	-21.24
1561091535251	TYPE_GYROSCOPE	0.3562317	-0.09539795	0.003616333
1561091535251	TYPE_ROTATION_VECTOR	0.037640866	-0.031929366	-0.6111728
1561091535251	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.4	-6.1199994	-165.84
1561091535251	TYPE_GYROSCOPE_UNCALIBRATED	0.043380737	0.032989502	-0.17042542
1561091535251	TYPE_ACCELEROMETER_UNCALIBRATED	0.041885376	0.94755554	9.298508
1561091535270	TYPE_ACCELEROMETER	1.3100739	1.5385895	8.340195
1561091535270	TYPE_MAGNETIC_FIELD	-28.08	5.1	-21.24
1561091535270	TYPE_GYROSCOPE	0.4747467	-0.19496155	-0.04525757
1561091535270	TYPE_ROTATION_VECTOR	0.037640866	-0.031929366	-0.6111728
1561091535270	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.4	-6.1199994	-165.84
1561091535270	TYPE_GYROSCOPE_UNCALIBRATED	0.29382324	-0.02381897	-0.07574463
1561091535270	TYPE_ACCELEROMETER_UNCALIBRATED	0.9607239	1.3770752	8.609375
1561091535290	TYPE_ACCELEROMETER	1.5649109	1.6031952	8.096115
1561091535290	TYPE_MAGNETIC_FIELD	-28.08	5.1	-21.24
1561091535290	TYPE_GYROSCOPE	0.36967468	-0.30064392	-0.1723175
1561091535290	TYPE_ROTATION_VECTOR	0.037640866	-0.031929366	-0.6111728
1561091535290	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.4	-6.1199994	-165.84
1561091535290	TYPE_GYROSCOPE_UNCALIBRATED	0.41233826	-0.12338257	-0.12461853
1561091535290	TYPE_ACCELEROMETER_UNCALIBRATED	1.5385895	1.5433807	8.202606
1561091535309	TYPE_ACCELEROMETER	1.3794708	1.5098724	8.556732
1561091535309	TYPE_MAGNETIC_FIELD	-28.019999	5.1	-21.119999
1561091535309	TYPE_GYROSCOPE	0.09295654	-0.35195923	-0.26028442
1561091535309	TYPE_ROTATION_VECTOR	0.023531258	-0.12662484	-0.5676529
