#	startTime:1561091575579
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969e739e2fc0b4afeac1a	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561091575579	TYPE_WAYPOINT	85.94767	55.24589
1561091575716	TYPE_ACCELEROMETER	-0.18424988	1.5517578	9.548569
1561091575716	TYPE_MAGNETIC_FIELD	9.42	24.539999	-28.019999
1561091575716	TYPE_GYROSCOPE	-0.92778015	-0.1436615	-0.1564331
1561091575716	TYPE_ROTATION_VECTOR	0.071838245	0.0143789565	0.12229022
1561091575716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.9	13.32	-172.62
1561091575716	TYPE_GYROSCOPE_UNCALIBRATED	-1.3854065	-0.13926697	-0.27366638
1561091575716	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18424988	1.5517578	9.548569
1561091575735	TYPE_ACCELEROMETER	-0.22253418	1.5684967	9.249466
1561091575735	TYPE_MAGNETIC_FIELD	9.48	24.779999	-28.14
1561091575735	TYPE_GYROSCOPE	0.24627686	0.045715332	-0.04220581
1561091575735	TYPE_ROTATION_VECTOR	0.076872654	0.020777265	0.14934556
1561091575735	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.84	13.559999	-172.73999
1561091575735	TYPE_GYROSCOPE_UNCALIBRATED	-0.9901886	-0.07208252	-0.23579407
1561091575735	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22253418	1.5684967	9.249466
1561091575754	TYPE_ACCELEROMETER	-0.21296692	1.5397797	9.296112
1561091575754	TYPE_MAGNETIC_FIELD	9.42	24.779999	-28.32
1561091575754	TYPE_GYROSCOPE	0.17481995	-0.015365601	-0.047698975
1561091575754	TYPE_ROTATION_VECTOR	0.0808529	0.023136446	0.14138626
1561091575754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-30.9	13.559999	-172.91998
1561091575754	TYPE_GYROSCOPE_UNCALIBRATED	0.18386841	0.11729431	-0.12156677
1561091575754	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22253418	1.5684967	9.249466
1561091575774	TYPE_ACCELEROMETER	-0.30747986	1.4727936	9.3463745
1561091575774	TYPE_MAGNETIC_FIELD	9.24	24.9	-28.32
1561091575774	TYPE_GYROSCOPE	0.07463074	-0.008651733	-0.044036865
1561091575774	TYPE_ROTATION_VECTOR	0.07981904	0.021437174	0.13045932
1561091575774	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.08	13.68	-172.91998
1561091575774	TYPE_GYROSCOPE_UNCALIBRATED	0.1124115	0.05621338	-0.12705994
1561091575774	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30747986	1.4727936	9.3463745
1561091575793	TYPE_ACCELEROMETER	-0.32781982	1.4356995	9.300903
