#	startTime:1561091253681
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561091253684	TYPE_WAYPOINT	130.85149	61.702736
1561091253893	TYPE_ACCELEROMETER	-0.86979675	-0.5623169	6.20459
1561091253893	TYPE_MAGNETIC_FIELD	31.8	-13.44	-23.939999
1561091253893	TYPE_GYROSCOPE	-0.10107422	-0.27830505	0.025787354
1561091253893	TYPE_ROTATION_VECTOR	-0.08465161	-0.012279938	0.86132365
1561091253893	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.56	-39.3	-91.08
1561091253893	TYPE_GYROSCOPE_UNCALIBRATED	0.10444641	-0.13865662	-0.080337524
1561091253893	TYPE_ACCELEROMETER_UNCALIBRATED	-0.86979675	-0.5623169	6.20459
1561091253912	TYPE_ACCELEROMETER	-0.34217834	-0.5862427	5.9437714
1561091253912	TYPE_MAGNETIC_FIELD	31.8	-13.44	-23.46
1561091253912	TYPE_GYROSCOPE	-0.27363586	-0.4114685	0.12841797
1561091253912	TYPE_ROTATION_VECTOR	-0.06844005	-1.2281108E-5	0.8544355
1561091253912	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.56	-39.3	-90.6
1561091253912	TYPE_GYROSCOPE_UNCALIBRATED	-0.09957886	-0.27824402	0.025039673
1561091253912	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34217834	-0.5862427	5.9437714
1561091253931	TYPE_ACCELEROMETER	0.1986084	-0.6029968	5.7667084
1561091253931	TYPE_MAGNETIC_FIELD	31.74	-13.62	-23.34
1561091253931	TYPE_GYROSCOPE	-0.3393097	-0.4261322	0.14888
1561091253931	TYPE_ROTATION_VECTOR	-0.026617603	-0.044404726	0.858614
1561091253931	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.5	-39.48	-90.479996
1561091253931	TYPE_GYROSCOPE_UNCALIBRATED	-0.2721405	-0.41140747	0.12767029
1561091253931	TYPE_ACCELEROMETER_UNCALIBRATED	0.1986084	-0.6029968	5.7667084
1561091253950	TYPE_ACCELEROMETER	0.32662964	-0.61854553	5.333603
1561091253950	TYPE_MAGNETIC_FIELD	31.74	-13.44	-23.279999
1561091253950	TYPE_GYROSCOPE	-0.31518555	-0.33511353	0.09817505
1561091253950	TYPE_ROTATION_VECTOR	-0.007829408	-0.062301535	0.8561811
1561091253950	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.5	-39.3	-90.42
1561091253950	TYPE_GYROSCOPE_UNCALIBRATED	-0.33781433	-0.42607117	0.14813232
1561091253950	TYPE_ACCELEROMETER_UNCALIBRATED	0.32662964	-0.61854553	5.333603
1561091253970	TYPE_ACCELEROMETER	0.39961243	-0.46661377	4.8347015
1561091253970	TYPE_MAGNETIC_FIELD	31.5	-13.38	-23.16
1561091253970	TYPE_GYROSCOPE	-0.2947235	-0.16957092	0.033111572
1561091253970	TYPE_ROTATION_VECTOR	-0.006314638	-0.0669472	0.85661817
1561091253970	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.259995	-39.239998	-90.3
1561091253970	TYPE_GYROSCOPE_UNCALIBRATED	-0.3136902	-0.3350525	0.09742737
1561091253970	TYPE_ACCELEROMETER_UNCALIBRATED	0.39961243	-0.46661377	4.8347015
1561091253989	TYPE_ACCELEROMETER	0.31106567	-0.20458984	4.6408844
1561091253989	TYPE_MAGNETIC_FIELD	31.32	-13.559999	-23.16
1561091253989	TYPE_GYROSCOPE	-0.3222046	0.0054473877	-0.032852173
1561091253989	TYPE_ROTATION_VECTOR	-0.005706605	-0.07067644	0.8567684
1561091253989	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.08	-39.42	-90.3
1561091253989	TYPE_GYROSCOPE_UNCALIBRATED	-0.29322815	-0.16950989	0.03236389
1561091253989	TYPE_ACCELEROMETER_UNCALIBRATED	0.31106567	-0.20458984	4.6408844
1561091254008	TYPE_ACCELEROMETER	-0.13879395	-0.08375549	4.8586273
1561091254008	TYPE_MAGNETIC_FIELD	31.32	-13.32	-23.34
1561091254008	TYPE_GYROSCOPE	-0.36009216	0.13708496	-0.06462097
1561091254008	TYPE_ROTATION_VECTOR	-0.0065179197	-0.07355518	0.85655445
1561091254008	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.08	-39.18	-90.479996
1561091254008	TYPE_GYROSCOPE_UNCALIBRATED	-0.3585968	0.137146	-0.06536865
1561091254008	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13879395	-0.08375549	4.8586273
1561091254027	TYPE_ACCELEROMETER	-0.1986084	0.027526855	5.27977
1561091254027	TYPE_MAGNETIC_FIELD	31.14	-13.32	-23.16
1561091254027	TYPE_GYROSCOPE	-0.37779236	0.2064209	-0.009338379
1561091254027	TYPE_ROTATION_VECTOR	-0.008809995	-0.07596948	0.85602045
1561091254027	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.899994	-39.18	-90.3
1561091254027	TYPE_GYROSCOPE_UNCALIBRATED	-0.376297	0.20648193	-0.01008606
1561091254027	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13879395	-0.08375549	4.8586273
1561091254047	TYPE_ACCELEROMETER	-0.14717102	0.21655273	5.4807587
1561091254047	TYPE_MAGNETIC_FIELD	31.32	-13.139999	-23.4
1561091254047	TYPE_GYROSCOPE	-0.34939575	0.2763672	0.015090942
1561091254047	TYPE_ROTATION_VECTOR	-0.012034979	-0.078204036	0.855512
1561091254047	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.08	-39.0	-90.54
1561091254047	TYPE_GYROSCOPE_UNCALIBRATED	-0.3479004	0.27642822	0.014343262
1561091254047	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1986084	0.027526855	5.27977
1561091254066	TYPE_ACCELEROMETER	-0.5096741	0.5252228	4.8789673
1561091254066	TYPE_MAGNETIC_FIELD	31.14	-13.139999	-23.58
1561091254066	TYPE_GYROSCOPE	-0.42544556	0.24673462	0.078323364
1561091254066	TYPE_ROTATION_VECTOR	-0.015888259	-0.079973996	0.8552498
1561091254066	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.899994	-39.0	-90.72
1561091254066	TYPE_GYROSCOPE_UNCALIBRATED	-0.4239502	0.24679565	0.07757568
1561091254066	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14717102	0.21655273	5.4807587
