#	startTime:1561091449442
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561091449443	TYPE_WAYPOINT	17.49003	34.200592
1561091449560	TYPE_ACCELEROMETER	-0.8638153	0.13519287	8.991028
1561091449560	TYPE_MAGNETIC_FIELD	-8.16	-17.16	-33.3
1561091449560	TYPE_GYROSCOPE	0.10783386	-0.02571106	-0.0053710938
1561091449560	TYPE_ROTATION_VECTOR	0.04132224	0.01563218	-0.94872
1561091449560	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.6	-43.019997	-100.44
1561091449560	TYPE_GYROSCOPE_UNCALIBRATED	0.10932922	-0.025650024	-0.0061187744
1561091449560	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8542328	-0.102890015	9.547363
1561091449579	TYPE_ACCELEROMETER	-0.5778656	0.2632141	8.098511
1561091449579	TYPE_MAGNETIC_FIELD	-7.8599997	-16.619999	-33.3
1561091449579	TYPE_GYROSCOPE	-0.04273987	0.023773193	0.04838562
1561091449579	TYPE_ROTATION_VECTOR	0.047270663	1.5636959E-5	-0.95475453
1561091449579	TYPE_MAGNETIC_FIELD_UNCALIBRATED	45.899998	-42.479996	-100.44
1561091449579	TYPE_GYROSCOPE_UNCALIBRATED	0.10932922	-0.025650024	-0.0061187744
1561091449579	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76690674	0.221344	8.531616
1561091449598	TYPE_ACCELEROMETER	-0.604187	0.45344543	7.4321136
1561091449598	TYPE_MAGNETIC_FIELD	-7.68	-16.08	-33.54
1561091449598	TYPE_GYROSCOPE	-0.18322754	0.07171631	0.08503723
1561091449598	TYPE_ROTATION_VECTOR	0.038462896	1.5638852E-8	-0.9539556
1561091449598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.079998	-41.94	-100.68
1561091449598	TYPE_GYROSCOPE_UNCALIBRATED	-0.041244507	0.023834229	0.04763794
1561091449598	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76690674	0.221344	8.531616
1561091449617	TYPE_ACCELEROMETER	-0.6400757	0.5862427	7.166504
1561091449617	TYPE_MAGNETIC_FIELD	-7.74	-15.719999	-33.78
1561091449617	TYPE_GYROSCOPE	-0.21224976	0.061340332	0.07984924
1561091449617	TYPE_ROTATION_VECTOR	0.048114303	-0.011164045	-0.933514
1561091449617	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.019997	-41.579998	-100.92
1561091449617	TYPE_GYROSCOPE_UNCALIBRATED	-0.18173218	0.071777344	0.08428955
1561091449617	TYPE_ACCELEROMETER_UNCALIBRATED	-0.66760254	0.54437256	7.264618
1561091449637	TYPE_ACCELEROMETER	-0.35772705	0.6915283	6.7836456
1561091449637	TYPE_MAGNETIC_FIELD	-7.44	-15.24	-33.96
1561091449637	TYPE_GYROSCOPE	-0.23088074	0.017059326	0.086868286
1561091449637	TYPE_ROTATION_VECTOR	0.05411245	-0.021988563	-0.9434012
1561091449637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.32	-41.1	-101.1
1561091449637	TYPE_GYROSCOPE_UNCALIBRATED	-0.2107544	0.061401367	0.07910156
1561091449637	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5096741	0.63171387	7.009781
1561091449656	TYPE_ACCELEROMETER	-0.29910278	0.89253235	6.32782
1561091449656	TYPE_MAGNETIC_FIELD	-7.2	-14.82	-34.26
1561091449656	TYPE_GYROSCOPE	-0.23088074	-0.0385437	0.05999756
1561091449656	TYPE_ROTATION_VECTOR	0.0396095	-0.03871223	-0.95192665
1561091449656	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.559998	-40.68	-101.399994
1561091449656	TYPE_GYROSCOPE_UNCALIBRATED	-0.22938538	0.017120361	0.086120605
1561091449656	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5096741	0.63171387	7.009781
1561091449675	TYPE_ACCELEROMETER	-0.30867004	1.2263184	6.007187
1561091449675	TYPE_MAGNETIC_FIELD	-7.14	-14.16	-34.5
1561091449675	TYPE_GYROSCOPE	-0.25898743	-0.066329956	0.039215088
1561091449675	TYPE_ROTATION_VECTOR	0.038796566	-0.036689036	-0.95179915
1561091449675	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.62	-40.019997	-101.64
1561091449675	TYPE_GYROSCOPE_UNCALIBRATED	-0.22938538	-0.038482666	0.059249878
