#	startTime:1561091464016
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561091464016	TYPE_WAYPOINT	19.836086	31.758375
1561091464133	TYPE_ACCELEROMETER	0.027526855	-0.22732544	9.320053
1561091464133	TYPE_MAGNETIC_FIELD	29.46	-4.56	-36.0
1561091464133	TYPE_GYROSCOPE	0.1950531	-0.10984802	-0.14356995
1561091464133	TYPE_ROTATION_VECTOR	0.0	-0.005488517	0.79233617
1561091464133	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.22	-30.419998	-103.14
1561091464133	TYPE_GYROSCOPE_UNCALIBRATED	0.04031372	-0.073898315	-0.181427
1561091464133	TYPE_ACCELEROMETER_UNCALIBRATED	0.052642822	-0.23570251	8.620148
1561091464152	TYPE_ACCELEROMETER	0.0765686	-0.19979858	8.003998
1561091464152	TYPE_MAGNETIC_FIELD	29.4	-4.68	-35.88
1561091464152	TYPE_GYROSCOPE	0.64082336	-0.22302246	-0.022781372
1561091464152	TYPE_ROTATION_VECTOR	0.0	-0.0039080484	0.7797257
1561091464152	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.159996	-30.539999	-103.020004
1561091464152	TYPE_GYROSCOPE_UNCALIBRATED	0.19654846	-0.10978699	-0.14431763
1561091464152	TYPE_ACCELEROMETER_UNCALIBRATED	0.07896423	-0.13040161	7.4979095
1561091464171	TYPE_ACCELEROMETER	0.0945282	-0.04547119	7.0325165
1561091464171	TYPE_MAGNETIC_FIELD	29.34	-4.68	-35.7
1561091464171	TYPE_GYROSCOPE	0.5409546	-0.2016449	0.027008057
1561091464171	TYPE_ROTATION_VECTOR	0.0	-0.00533475	0.76235765
