#	startTime:1561091518448
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561091518448	TYPE_WAYPOINT	15.4717045	23.904747
1561091518563	TYPE_ACCELEROMETER	0.19262695	-0.9834595	9.84169
1561091518563	TYPE_MAGNETIC_FIELD	-27.24	7.56	-39.719997
1561091518563	TYPE_GYROSCOPE	0.19091797	-0.047088623	0.42712402
1561091518563	TYPE_ROTATION_VECTOR	-0.041988645	0.026003776	-0.6735109
1561091518563	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.76	-17.64	-93.899994
1561091518563	TYPE_GYROSCOPE_UNCALIBRATED	0.19241333	-0.047027588	0.42637634
1561091518563	TYPE_ACCELEROMETER_UNCALIBRATED	0.20458984	-1.0480652	10.514069
1561091518582	TYPE_ACCELEROMETER	0.093322754	-0.8159485	8.562729
1561091518582	TYPE_MAGNETIC_FIELD	-27.3	7.2	-39.719997
1561091518582	TYPE_GYROSCOPE	0.40777588	-0.054733276	0.049606323
1561091518582	TYPE_ROTATION_VECTOR	-0.0431836	0.028553037	-0.69400066
1561091518582	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.7	-18.0	-93.899994
1561091518582	TYPE_GYROSCOPE_UNCALIBRATED	0.40927124	-0.05467224	0.048858643
1561091518582	TYPE_ACCELEROMETER_UNCALIBRATED	0.17347717	-0.90927124	9.181274
1561091518601	TYPE_ACCELEROMETER	-0.18544006	-0.6113739	7.5134735
1561091518601	TYPE_MAGNETIC_FIELD	-27.42	6.96	-39.54
1561091518601	TYPE_GYROSCOPE	0.5763855	-0.11703491	-0.3388977
1561091518601	TYPE_ROTATION_VECTOR	-0.03738661	0.02819393	-0.67730534
1561091518601	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.58	-18.239998	-93.72
1561091518601	TYPE_GYROSCOPE_UNCALIBRATED	0.40927124	-0.05467224	0.048858643
