#	startTime:1561091708717
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561091708717	TYPE_WAYPOINT	74.08266	55.96176
1561091708829	TYPE_ACCELEROMETER	-0.30747986	-0.8913269	10.200607
1561091708829	TYPE_MAGNETIC_FIELD	17.16	-12.12	-32.28
1561091708829	TYPE_GYROSCOPE	0.06385803	-0.0012817383	-0.0035247803
1561091708829	TYPE_ROTATION_VECTOR	-0.026366686	-0.027692372	0.91626185
1561091708829	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.899994	-36.78	-88.8
1561091708829	TYPE_GYROSCOPE_UNCALIBRATED	0.06535339	-0.0012207031	-0.004272461
1561091708829	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25723267	-0.71307373	10.5392
1561091708848	TYPE_ACCELEROMETER	-0.38763428	-0.8877411	9.67897
1561091708848	TYPE_MAGNETIC_FIELD	16.98	-12.12	-32.219997
1561091708848	TYPE_GYROSCOPE	0.0947113	0.012466431	0.019989014
1561091708848	TYPE_ROTATION_VECTOR	-0.030185476	-0.032186385	0.9185853
1561091708848	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.72	-36.78	-88.74
1561091708848	TYPE_GYROSCOPE_UNCALIBRATED	0.06535339	-0.0012207031	-0.004272461
1561091708848	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28234863	-0.8386841	10.443481
1561091708867	TYPE_ACCELEROMETER	-0.4725952	-0.83509827	9.314072
1561091708867	TYPE_MAGNETIC_FIELD	16.98	-12.12	-32.219997
1561091708867	TYPE_GYROSCOPE	0.11364746	-0.010131836	0.04838562
1561091708867	TYPE_ROTATION_VECTOR	-0.030185476	-0.032186385	0.9185853
1561091708867	TYPE_MAGNETIC_FIELD_UNCALIBRATED	72.72	-36.78	-88.74
1561091708867	TYPE_GYROSCOPE_UNCALIBRATED	0.096206665	0.012527466	0.019241333
1561091708867	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42233276	-0.8530426	9.449265
1561091708886	TYPE_ACCELEROMETER	-0.48216248	-0.7920227	9.517456
1561091708886	TYPE_MAGNETIC_FIELD	16.98	-12.12	-32.219997
