#	startTime:1561091900300
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561091900301	TYPE_WAYPOINT	107.5628	53.281017
1561091900416	TYPE_ACCELEROMETER	-1.1234283	0.7752838	14.358139
1561091900416	TYPE_MAGNETIC_FIELD	-3.4199998	-30.539999	-41.1
1561091900416	TYPE_GYROSCOPE	0.2324524	-0.12466431	-0.47634888
1561091900416	TYPE_ROTATION_VECTOR	0.03225771	-0.025737178	-0.995473
1561091900416	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.32	-55.199997	-97.619995
1561091900416	TYPE_GYROSCOPE_UNCALIBRATED	0.23394775	-0.12460327	-0.47709656
1561091900416	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9020996	0.9631195	14.985062
1561091900435	TYPE_ACCELEROMETER	-1.414154	0.12921143	13.954941
1561091900435	TYPE_MAGNETIC_FIELD	-3.4199998	-30.72	-40.92
1561091900435	TYPE_GYROSCOPE	0.19168091	0.19831848	-0.05760193
1561091900435	TYPE_ROTATION_VECTOR	0.04716603	-2.5743004E-5	-0.99231553
1561091900435	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.32	-55.379997	-97.44
1561091900435	TYPE_GYROSCOPE_UNCALIBRATED	0.22036743	-0.016952515	-0.3375244
1561091900435	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4990997	-0.24526978	14.045868
1561091900454	TYPE_ACCELEROMETER	-1.5182495	-0.79322815	14.132019
1561091900454	TYPE_MAGNETIC_FIELD	-3.6599998	-30.96	-40.86
1561091900454	TYPE_GYROSCOPE	0.10510254	0.22047424	0.092666626
1561091900454	TYPE_ROTATION_VECTOR	0.051073365	0.008399577	-0.98908794
1561091900454	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.079998	-55.62	-97.380005
1561091900454	TYPE_GYROSCOPE_UNCALIBRATED	0.15362549	0.28894043	0.08642578
1561091900454	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4990997	-0.24526978	14.045868
1561091900473	TYPE_ACCELEROMETER	-1.6737823	-1.7850494	14.622543
1561091900473	TYPE_MAGNETIC_FIELD	-3.6599998	-31.08	-40.559998
1561091900473	TYPE_GYROSCOPE	0.0776062	0.0155181885	0.08198547
1561091900473	TYPE_ROTATION_VECTOR	0.04814537	0.052880917	-0.99172527
1561091900473	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.079998	-55.739998	-97.08
1561091900473	TYPE_GYROSCOPE_UNCALIBRATED	0.076660156	0.1136322	0.08917236
1561091900473	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7527466	-1.8975067	14.463425
1561091900493	TYPE_ACCELEROMETER	-1.6773682	-1.8711853	13.643875
1561091900493	TYPE_MAGNETIC_FIELD	-3.54	-31.32	-40.2
1561091900493	TYPE_GYROSCOPE	0.25994873	-0.13627625	0.08351135
1561091900493	TYPE_ROTATION_VECTOR	0.05290235	0.069009565	-0.9914967
1561091900493	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.199997	-55.98	-96.72
1561091900493	TYPE_GYROSCOPE_UNCALIBRATED	0.13560486	-0.06504822	0.07574463
1561091900493	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7527466	-1.8975067	14.463425
1561091900512	TYPE_ACCELEROMETER	-1.6091766	-1.6833496	11.32164
1561091900512	TYPE_MAGNETIC_FIELD	-3.54	-31.439999	-40.02
1561091900512	TYPE_GYROSCOPE	0.5904236	-0.16926575	0.13024902
1561091900512	TYPE_ROTATION_VECTOR	0.05347351	0.07697258	-0.98995066
1561091900512	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.199997	-56.1	-96.54
1561091900512	TYPE_GYROSCOPE_UNCALIBRATED	0.43095398	-0.1777649	0.104141235
1561091900512	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5637207	-1.799408	12.501297
1561091900531	TYPE_ACCELEROMETER	-1.7132721	-1.4273224	9.253052
1561091900531	TYPE_MAGNETIC_FIELD	-3.6599998	-31.98	-39.6
