#	startTime:1561092372175
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ea39e2fc0b4afeaef0	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561092372175	TYPE_WAYPOINT	21.966301	61.527813
1561092372387	TYPE_ACCELEROMETER	-0.008377075	1.4285126	9.730423
1561092372387	TYPE_MAGNETIC_FIELD	-6.8999996	-29.82	-25.08
1561092372387	TYPE_GYROSCOPE	-0.030426025	0.04508972	-0.08129883
1561092372387	TYPE_ROTATION_VECTOR	0.004063365	-0.07482251	-0.99127215
1561092372387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.22	-41.04	-169.68
1561092372387	TYPE_GYROSCOPE_UNCALIBRATED	-0.10688782	0.086135864	-0.17288208
1561092372387	TYPE_ACCELEROMETER_UNCALIBRATED	-0.013168335	1.4249268	9.633514
1561092372407	TYPE_ACCELEROMETER	0.026321411	1.4596252	9.547363
1561092372407	TYPE_MAGNETIC_FIELD	-6.66	-29.82	-25.5
1561092372407	TYPE_GYROSCOPE	0.0068206787	0.04386902	-0.059310913
1561092372407	TYPE_ROTATION_VECTOR	0.009351161	-0.0726546	-0.9898129
1561092372407	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.98	-41.04	-170.09999
1561092372407	TYPE_GYROSCOPE_UNCALIBRATED	-0.09283447	0.1166687	-0.16065979
1561092372407	TYPE_ACCELEROMETER_UNCALIBRATED	0.032302856	1.4811554	9.470795
1561092372426	TYPE_ACCELEROMETER	-0.0036010742	1.4524384	9.4049835
1561092372426	TYPE_MAGNETIC_FIELD	-6.66	-30.119999	-25.68
1561092372426	TYPE_GYROSCOPE	0.028823853	0.034103394	-0.06541443
1561092372426	TYPE_ROTATION_VECTOR	0.007814379	-0.076110706	-0.9894844
1561092372426	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.98	-41.339996	-170.28
1561092372426	TYPE_GYROSCOPE_UNCALIBRATED	-0.05558777	0.115448	-0.13867188
1561092372426	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07658386	1.4021912	9.353546
1561092372445	TYPE_ACCELEROMETER	-0.18904114	1.3830566	9.336792
1561092372445	TYPE_MAGNETIC_FIELD	-6.66	-30.359999	-25.98
1561092372445	TYPE_GYROSCOPE	0.023330688	0.013946533	-0.05870056
1561092372445	TYPE_ROTATION_VECTOR	0.013428966	-0.07203297	-0.9888312
1561092372445	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.98	-41.579998	-170.57999
1561092372445	TYPE_GYROSCOPE_UNCALIBRATED	-0.033584595	0.10568237	-0.14477539
1561092372445	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2979126	1.3758698	9.340393
1561092372465	TYPE_ACCELEROMETER	-0.36968994	1.3447723	9.337997
1561092372465	TYPE_MAGNETIC_FIELD	-6.72	-30.66	-25.68
1561092372465	TYPE_GYROSCOPE	0.009277344	-0.014770508	-0.023269653
1561092372465	TYPE_ROTATION_VECTOR	0.013824428	-0.07225362	-0.9888452
1561092372465	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.04	-41.879997	-170.28
1561092372465	TYPE_GYROSCOPE_UNCALIBRATED	-0.03907776	0.08552551	-0.13806152
1561092372465	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38404846	1.3280182	9.2973175
1561092372484	TYPE_ACCELEROMETER	-0.33140564	1.3483582	9.224335
1561092372484	TYPE_MAGNETIC_FIELD	-6.72	-31.019999	-25.619999
1561092372484	TYPE_GYROSCOPE	0.0068359375	-0.019042969	0.031707764
1561092372484	TYPE_ROTATION_VECTOR	0.0138699245	-0.07240149	-0.988889
1561092372484	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.04	-42.239998	-170.21999
1561092372484	TYPE_GYROSCOPE_UNCALIBRATED	-0.053131104	0.05680847	-0.102630615
1561092372484	TYPE_ACCELEROMETER_UNCALIBRATED	-0.2715912	1.3782654	9.14299
1561092372503	TYPE_ACCELEROMETER	-0.20698547	1.3902283	9.052063
1561092372503	TYPE_MAGNETIC_FIELD	-6.7799997	-30.779999	-25.5
1561092372503	TYPE_GYROSCOPE	0.022720337	-0.011108398	0.06896973
1561092372503	TYPE_ROTATION_VECTOR	0.013665141	-0.07248314	-0.98888385
1561092372503	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.1	-42.0	-170.09999
1561092372503	TYPE_GYROSCOPE_UNCALIBRATED	-0.05557251	0.05253601	-0.0476532
1561092372503	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07537842	1.4069824	8.950363
1561092372523	TYPE_ACCELEROMETER	0.09213257	1.4261322	8.7960205
1561092372523	TYPE_MAGNETIC_FIELD	-6.96	-30.779999	-25.68
1561092372523	TYPE_GYROSCOPE	0.046539307	-0.012939453	0.07997131
1561092372523	TYPE_ROTATION_VECTOR	0.0135200955	-0.07262896	-0.98881
1561092372523	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-47.28	-42.0	-170.28
1561092372523	TYPE_GYROSCOPE_UNCALIBRATED	-0.03968811	0.06047058	-0.010391235
1561092372523	TYPE_ACCELEROMETER_UNCALIBRATED	0.24047852	1.4237366	8.586639
1561092372542	TYPE_ACCELEROMETER	0.3625183	1.4392853	8.383255
1561092372542	TYPE_MAGNETIC_FIELD	-7.08	-30.72	-25.68
1561092372542	TYPE_GYROSCOPE	0.050811768	-0.006210327	0.050048828
1561092372542	TYPE_ROTATION_VECTOR	0.013378906	-0.07298161	-0.98868936
