#	startTime:1561092600689
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ea39e2fc0b4afeaef0	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561092600689	TYPE_WAYPOINT	60.838245	80.13095
1561092600885	TYPE_ACCELEROMETER	-1.0133667	2.0087738	8.764908
1561092600885	TYPE_MAGNETIC_FIELD	30.0	-14.16	-23.64
1561092600885	TYPE_GYROSCOPE	-0.019439697	-0.0019378662	0.22351074
1561092600885	TYPE_ROTATION_VECTOR	0.025088206	0.11197508	0.79819787
1561092600885	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.32	-25.38	-168.23999
1561092600885	TYPE_GYROSCOPE_UNCALIBRATED	0.012832642	0.034820557	0.09529114
1561092600885	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9786682	2.0817566	8.818756
1561092600904	TYPE_ACCELEROMETER	-0.8494568	2.1894379	8.833115
1561092600904	TYPE_MAGNETIC_FIELD	30.0	-14.16	-23.64
1561092600904	TYPE_GYROSCOPE	-0.09638977	0.018218994	0.24795532
1561092600904	TYPE_ROTATION_VECTOR	0.025088206	0.11197508	0.79819787
1561092600904	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.32	-25.38	-168.23999
1561092600904	TYPE_GYROSCOPE_UNCALIBRATED	-0.081848145	0.06964111	0.14414978
1561092600904	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9786682	2.0817566	8.818756
1561092600924	TYPE_ACCELEROMETER	-0.5108795	2.403595	8.986252
1561092600924	TYPE_MAGNETIC_FIELD	30.24	-14.099999	-23.82
1561092600924	TYPE_GYROSCOPE	-0.17947388	0.03227234	0.20640564
1561092600924	TYPE_ROTATION_VECTOR	0.058814555	0.11879488	0.77786195
1561092600924	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.08	-25.32	-168.41998
1561092600924	TYPE_GYROSCOPE_UNCALIBRATED	-0.15879822	0.08979797	0.16859436
1561092600924	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4127655	2.486145	9.065216
1561092600943	TYPE_ACCELEROMETER	-0.33859253	2.526825	9.163315
1561092600943	TYPE_MAGNETIC_FIELD	30.3	-14.58	-23.82
1561092600943	TYPE_GYROSCOPE	-0.26805115	0.049987793	0.14959717
1561092600943	TYPE_ROTATION_VECTOR	0.06531162	0.117466345	0.79680216
1561092600943	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.02	-25.8	-168.41998
1561092600943	TYPE_GYROSCOPE_UNCALIBRATED	-0.24188232	0.10385132	0.12704468
1561092600943	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23928833	2.547165	9.328415
1561092600962	TYPE_ACCELEROMETER	-0.13041687	2.5746765	9.571289
1561092600962	TYPE_MAGNETIC_FIELD	30.119999	-15.059999	-23.58
1561092600962	TYPE_GYROSCOPE	-0.32791138	0.078689575	0.10317993
1561092600962	TYPE_ROTATION_VECTOR	0.064456396	0.11559754	0.7956343
1561092600962	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-10.200001	-26.279999	-168.18
