#	startTime:1561092705312
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ea39e2fc0b4afeaef0	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561092705312	TYPE_WAYPOINT	61.772396	49.44702
1561092705529	TYPE_ACCELEROMETER	0.086135864	1.5409851	9.726837
1561092705529	TYPE_MAGNETIC_FIELD	27.84	-3.4199998	-20.58
1561092705529	TYPE_GYROSCOPE	-0.12878418	-0.0068206787	-0.07763672
1561092705529	TYPE_ROTATION_VECTOR	0.06692375	0.05095398	0.71432453
1561092705529	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.48	-14.639999	-165.18
1561092705529	TYPE_GYROSCOPE_UNCALIBRATED	-0.17407227	0.05558777	-0.12889099
1561092705529	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04547119	1.4931183	9.737595
1561092705548	TYPE_ACCELEROMETER	-0.06819153	1.4596252	9.735199
1561092705548	TYPE_MAGNETIC_FIELD	27.72	-3.6599998	-20.279999
1561092705548	TYPE_GYROSCOPE	-0.09945679	0.0066223145	-0.040985107
1561092705548	TYPE_ROTATION_VECTOR	0.049915265	0.05587558	0.7245321
1561092705548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.6	-14.879999	-164.87999
1561092705548	TYPE_GYROSCOPE_UNCALIBRATED	-0.19119263	0.0647583	-0.15699768
1561092705548	TYPE_ACCELEROMETER_UNCALIBRATED	0.0012054443	1.4320984	9.706482
1561092705568	TYPE_ACCELEROMETER	0.0765686	1.4392853	9.681366
1561092705568	TYPE_MAGNETIC_FIELD	27.72	-3.9599998	-19.98
1561092705568	TYPE_GYROSCOPE	-0.04814148	0.015167236	0.0036010742
1561092705568	TYPE_ROTATION_VECTOR	0.049623575	0.053905062	0.73200166
1561092705568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.6	-15.179999	-164.57999
1561092705568	TYPE_GYROSCOPE_UNCALIBRATED	-0.16186523	0.078201294	-0.12034607
1561092705568	TYPE_ACCELEROMETER_UNCALIBRATED	0.14715576	1.524231	9.659836
1561092705587	TYPE_ACCELEROMETER	0.19621277	1.6785736	9.644272
1561092705587	TYPE_MAGNETIC_FIELD	27.599998	-3.9599998	-19.619999
1561092705587	TYPE_GYROSCOPE	-0.0206604	0.030441284	0.0036010742
1561092705587	TYPE_ROTATION_VECTOR	0.057958536	0.052017704	0.7304948
1561092705587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.720001	-15.179999	-164.21999
1561092705587	TYPE_GYROSCOPE_UNCALIBRATED	-0.11054993	0.086746216	-0.07575989
1561092705587	TYPE_ACCELEROMETER_UNCALIBRATED	0.14715576	1.524231	9.659836
1561092705607	TYPE_ACCELEROMETER	0.14118958	1.7431793	9.571289
1561092705607	TYPE_MAGNETIC_FIELD	27.779999	-3.6599998	-19.68
1561092705607	TYPE_GYROSCOPE	-0.013320923	-0.0025482178	-0.031814575
1561092705607	TYPE_ROTATION_VECTOR	0.05761965	0.05206669	0.73054445
1561092705607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.540001	-14.879999	-164.28
1561092705607	TYPE_GYROSCOPE_UNCALIBRATED	-0.08306885	0.10202026	-0.07575989
1561092705607	TYPE_ACCELEROMETER_UNCALIBRATED	0.17947388	1.7730865	9.634705
1561092705626	TYPE_ACCELEROMETER	-0.15913391	1.4428711	9.506683
1561092705626	TYPE_MAGNETIC_FIELD	27.779999	-3.6599998	-19.619999
1561092705626	TYPE_GYROSCOPE	-0.02859497	-0.026367188	-0.036102295
1561092705626	TYPE_ROTATION_VECTOR	0.057533216	0.051974904	0.73034334
1561092705626	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-12.540001	-14.879999	-164.21999
1561092705626	TYPE_GYROSCOPE_UNCALIBRATED	-0.07572937	0.06903076	-0.11117554
1561092705626	TYPE_ACCELEROMETER_UNCALIBRATED	0.020339966	1.5828552	9.501907
1561092705645	TYPE_ACCELEROMETER	-0.3314209	1.5290222	9.570099
