#	startTime:1561092960142
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ea39e2fc0b4afeaef0	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561092960143	TYPE_WAYPOINT	53.701904	39.8521
1561092960383	TYPE_ACCELEROMETER	-0.18066406	1.5756836	9.553345
1561092960383	TYPE_MAGNETIC_FIELD	-28.859999	11.7	-15.179999
1561092960383	TYPE_GYROSCOPE	-0.06585693	0.03593445	0.0793457
1561092960383	TYPE_ROTATION_VECTOR	0.07281177	-0.032191437	-0.53425336
1561092960383	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.18	0.4800005	-159.77998
1561092960383	TYPE_GYROSCOPE_UNCALIBRATED	-0.14414978	0.10446167	-0.022003174
1561092960383	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23330688	1.5314178	9.650253
1561092960403	TYPE_ACCELEROMETER	0.08494568	1.6785736	9.487549
1561092960403	TYPE_MAGNETIC_FIELD	-28.8	11.639999	-15.48
1561092960403	TYPE_GYROSCOPE	-0.07563782	0.010284424	0.08729553
1561092960403	TYPE_ROTATION_VECTOR	0.07370929	-0.040446933	-0.5107513
1561092960403	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.119995	0.42000008	-160.07999
1561092960403	TYPE_GYROSCOPE_UNCALIBRATED	-0.12826538	0.10751343	-1.5258789E-5
1561092960403	TYPE_ACCELEROMETER_UNCALIBRATED	0.1986084	1.7228394	9.533005
1561092960422	TYPE_ACCELEROMETER	0.2979126	1.7527466	9.570099
1561092960422	TYPE_MAGNETIC_FIELD	-28.619999	11.5199995	-15.599999
1561092960422	TYPE_GYROSCOPE	-0.09640503	0.005996704	0.06286621
1561092960422	TYPE_ROTATION_VECTOR	0.07087579	-0.05505762	-0.522093
1561092960422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.94	0.3000002	-160.2
1561092960422	TYPE_GYROSCOPE_UNCALIBRATED	-0.13804626	0.0818634	0.00793457
1561092960422	TYPE_ACCELEROMETER_UNCALIBRATED	0.1986084	1.7228394	9.533005
1561092960441	TYPE_ACCELEROMETER	0.2033844	1.7515411	9.667007
1561092960441	TYPE_MAGNETIC_FIELD	-28.5	11.34	-15.599999
1561092960441	TYPE_GYROSCOPE	-0.1055603	0.03227234	0.0103302
1561092960441	TYPE_ROTATION_VECTOR	0.06819627	-0.060350988	-0.5248567
1561092960441	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.82	0.12000084	-160.2
1561092960441	TYPE_GYROSCOPE_UNCALIBRATED	-0.15881348	0.07757568	-0.016494751
1561092960441	TYPE_ACCELEROMETER_UNCALIBRATED	0.059814453	1.7192383	9.620346
1561092960461	TYPE_ACCELEROMETER	-0.07060242	1.7036896	9.542587
1561092960461	TYPE_MAGNETIC_FIELD	-28.56	11.4	-15.54
1561092960461	TYPE_GYROSCOPE	-0.098846436	0.07746887	-0.011047363
1561092960461	TYPE_ROTATION_VECTOR	0.06741181	-0.05974567	-0.5248687
1561092960461	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.88	0.1800003	-160.13998
1561092960461	TYPE_GYROSCOPE_UNCALIBRATED	-0.16796875	0.10385132	-0.06903076
1561092960461	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11605835	1.6869507	9.529419
1561092960480	TYPE_ACCELEROMETER	-0.07418823	1.6570282	9.570099
1561092960480	TYPE_MAGNETIC_FIELD	-28.5	11.4	-15.48
1561092960480	TYPE_GYROSCOPE	-0.095184326	0.054260254	-0.0012817383
1561092960480	TYPE_ROTATION_VECTOR	0.066863835	-0.058755174	-0.5249495
1561092960480	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.82	0.1800003	-160.07999
1561092960480	TYPE_GYROSCOPE_UNCALIBRATED	-0.16125488	0.14904785	-0.090408325
1561092960480	TYPE_ACCELEROMETER_UNCALIBRATED	-0.020339966	1.6175537	9.585648
1561092960499	TYPE_ACCELEROMETER	-0.02394104	1.5924225	9.547363
1561092960499	TYPE_MAGNETIC_FIELD	-28.38	11.4	-15.42
1561092960499	TYPE_GYROSCOPE	-0.07807922	0.05303955	-0.0030975342
1561092960499	TYPE_ROTATION_VECTOR	0.06643901	-0.057665765	-0.525013
1561092960499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.7	0.1800003	-160.01999
1561092960499	TYPE_GYROSCOPE_UNCALIBRATED	-0.15759277	0.12583923	-0.0806427
1561092960499	TYPE_ACCELEROMETER_UNCALIBRATED	-0.020339966	1.6175537	9.585648
1561092960519	TYPE_ACCELEROMETER	0.0059814453	1.6259308	9.424133
1561092960519	TYPE_MAGNETIC_FIELD	-28.26	11.58	-15.599999
1561092960519	TYPE_GYROSCOPE	-0.07501221	0.053649902	-0.0067749023
