#	startTime:1561093346155
#	SiteID:5cd969e439e2fc0b4afea869	SiteName:华轻梅陇购物中心	FloorId:5cd969ed39e2fc0b4afeb291	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1561093346155	TYPE_WAYPOINT	64.32618	24.702147
1561093346366	TYPE_ACCELEROMETER	-0.22972107	1.9621277	9.78067
1561093346366	TYPE_MAGNETIC_FIELD	5.22	28.56	-28.38
1561093346366	TYPE_GYROSCOPE	-0.08174133	0.03715515	0.0084991455
1561093346366	TYPE_ROTATION_VECTOR	0.10014074	0.014725873	0.06751099
1561093346366	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.019999	13.32	-171.0
1561093346366	TYPE_GYROSCOPE_UNCALIBRATED	-0.14414978	0.10873413	-0.07086182
1561093346366	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16989136	2.005188	9.804596
1561093346386	TYPE_ACCELEROMETER	-0.022735596	2.0326996	9.603592
1561093346386	TYPE_MAGNETIC_FIELD	5.16	28.56	-28.199999
1561093346386	TYPE_GYROSCOPE	-0.023101807	0.037765503	0.032318115
1561093346386	TYPE_ROTATION_VECTOR	0.10034993	0.01343593	0.06986195
1561093346386	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.079998	13.32	-170.81999
1561093346386	TYPE_GYROSCOPE_UNCALIBRATED	-0.14414978	0.10873413	-0.07086182
1561093346386	TYPE_ACCELEROMETER_UNCALIBRATED	0.027526855	2.0638123	9.4205475
1561093346405	TYPE_ACCELEROMETER	0.08615112	2.1308136	9.218353
1561093346405	TYPE_MAGNETIC_FIELD	5.16	28.619999	-28.199999
1561093346405	TYPE_GYROSCOPE	0.001953125	0.042648315	0.03048706
1561093346405	TYPE_ROTATION_VECTOR	0.10686852	0.006720745	0.080593824
1561093346405	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.079998	13.379999	-170.81999
1561093346405	TYPE_GYROSCOPE_UNCALIBRATED	-0.085510254	0.10934448	-0.047042847
1561093346405	TYPE_ACCELEROMETER_UNCALIBRATED	0.027526855	2.0638123	9.4205475
1561093346424	TYPE_ACCELEROMETER	0.18424988	2.2384949	9.038895
1561093346424	TYPE_MAGNETIC_FIELD	5.1	28.74	-27.96
1561093346424	TYPE_GYROSCOPE	-0.019439697	0.017608643	-0.003112793
1561093346424	TYPE_ROTATION_VECTOR	0.11785622	0.003522399	0.07659749
1561093346424	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.139997	13.5	-170.57999
1561093346424	TYPE_GYROSCOPE_UNCALIBRATED	-0.060455322	0.114227295	-0.0488739
1561093346424	TYPE_ACCELEROMETER_UNCALIBRATED	0.33738708	2.239685	9.115463
1561093346444	TYPE_ACCELEROMETER	0.4785614	2.2037964	9.245865
1561093346444	TYPE_MAGNETIC_FIELD	5.1	28.859999	-27.66
1561093346444	TYPE_GYROSCOPE	-0.053024292	-0.050186157	-0.05809021
1561093346444	TYPE_ROTATION_VECTOR	0.117797546	0.0041998	0.076018974
1561093346444	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.139997	13.619999	-170.28
1561093346444	TYPE_GYROSCOPE_UNCALIBRATED	-0.081848145	0.08918762	-0.082473755
1561093346444	TYPE_ACCELEROMETER_UNCALIBRATED	0.49650574	2.1990051	9.337997
1561093346463	TYPE_ACCELEROMETER	0.3972168	2.1834564	9.314056
1561093346463	TYPE_MAGNETIC_FIELD	4.8599997	29.16	-27.72
1561093346463	TYPE_GYROSCOPE	-0.043258667	-0.074020386	-0.111846924
1561093346463	TYPE_ROTATION_VECTOR	0.1174366	0.004078018	0.07573341
1561093346463	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.379997	13.92	-170.34
1561093346463	TYPE_GYROSCOPE_UNCALIBRATED	-0.11543274	0.021392822	-0.13745117
1561093346463	TYPE_ACCELEROMETER_UNCALIBRATED	0.49650574	2.1990051	9.337997
1561093346482	TYPE_ACCELEROMETER	0.33021545	2.0327148	9.292526
1561093346482	TYPE_MAGNETIC_FIELD	4.74	29.22	-27.72
1561093346482	TYPE_GYROSCOPE	-0.018218994	-0.1161499	-0.13995361
1561093346482	TYPE_ROTATION_VECTOR	0.11697018	0.0035093834	0.074831024
1561093346482	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.499998	13.98	-170.34
1561093346482	TYPE_GYROSCOPE_UNCALIBRATED	-0.105667114	-0.0024414062	-0.19120789
1561093346482	TYPE_ACCELEROMETER_UNCALIBRATED	0.34576416	1.9094849	9.134598
1561093346502	TYPE_ACCELEROMETER	0.16870117	2.0363007	8.908478
1561093346502	TYPE_MAGNETIC_FIELD	4.7999997	29.4	-27.48
1561093346502	TYPE_GYROSCOPE	0.05996704	0.033493042	-0.17170715
1561093346502	TYPE_ROTATION_VECTOR	0.1167156	0.0026231818	0.073497765
1561093346502	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.439999	14.16	-170.09999
1561093346502	TYPE_GYROSCOPE_UNCALIBRATED	-0.08062744	-0.044570923	-0.21931458
1561093346502	TYPE_ACCELEROMETER_UNCALIBRATED	0.16749573	2.202591	8.841492
1561093346521	TYPE_ACCELEROMETER	0.41635132	2.2289124	8.858231
1561093346521	TYPE_MAGNETIC_FIELD	4.92	29.34	-27.42
1561093346521	TYPE_GYROSCOPE	-0.017608643	-0.04286194	-0.1564331
1561093346521	TYPE_ROTATION_VECTOR	0.1169697	0.0024411622	0.07195755
1561093346521	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.319998	14.1	-170.04
1561093346521	TYPE_GYROSCOPE_UNCALIBRATED	-0.0024414062	0.10507202	-0.25106812
1561093346521	TYPE_ACCELEROMETER_UNCALIBRATED	0.6352997	2.288742	8.884552
1561093346540	TYPE_ACCELEROMETER	0.76571655	2.4024048	8.93959
1561093346540	TYPE_MAGNETIC_FIELD	4.74	29.46	-27.42
1561093346540	TYPE_GYROSCOPE	-0.19232178	-0.003768921	-0.15887451
1561093346540	TYPE_ROTATION_VECTOR	0.117370665	0.0026443775	0.07034656
1561093346540	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.499998	14.219999	-170.04
1561093346540	TYPE_GYROSCOPE_UNCALIBRATED	-0.08001709	0.028717041	-0.23579407
1561093346540	TYPE_ACCELEROMETER_UNCALIBRATED	0.7453766	2.526825	9.066406
1561093346560	TYPE_ACCELEROMETER	0.61735535	2.6452637	9.214767
1561093346560	TYPE_MAGNETIC_FIELD	4.56	29.64	-27.119999
1561093346560	TYPE_GYROSCOPE	-0.3816681	0.07626343	-0.19735718
1561093346560	TYPE_ROTATION_VECTOR	0.116458215	0.0024732247	0.06887656
1561093346560	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.679998	14.4	-169.73999
1561093346560	TYPE_GYROSCOPE_UNCALIBRATED	-0.25473022	0.06781006	-0.23823547
1561093346560	TYPE_ACCELEROMETER_UNCALIBRATED	0.7453766	2.526825	9.066406
1561093346579	TYPE_ACCELEROMETER	0.47857666	2.7684937	9.41217
1561093346579	TYPE_MAGNETIC_FIELD	4.14	29.939999	-27.119999
1561093346579	TYPE_GYROSCOPE	-0.48918152	0.13244629	-0.19308472
1561093346579	TYPE_ROTATION_VECTOR	0.113666296	0.0027744235	0.06720622
1561093346579	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.1	14.699999	-169.73999
1561093346579	TYPE_GYROSCOPE_UNCALIBRATED	-0.55158997	0.20402527	-0.27244568
1561093346579	TYPE_ACCELEROMETER_UNCALIBRATED	0.50727844	2.7266235	9.315262
1561093346598	TYPE_ACCELEROMETER	0.5036926	2.7972107	9.723236
1561093346598	TYPE_MAGNETIC_FIELD	4.02	30.24	-27.119999
1561093346598	TYPE_GYROSCOPE	-0.47146606	0.090911865	-0.19186401
1561093346598	TYPE_ROTATION_VECTOR	0.10929941	0.0037985484	0.06543722
1561093346598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.219997	15.0	-169.73999
1561093346598	TYPE_GYROSCOPE_UNCALIBRATED	-0.5338745	0.16249084	-0.27122498
1561093346598	TYPE_ACCELEROMETER_UNCALIBRATED	0.49412537	2.7960205	9.543777
1561093346618	TYPE_ACCELEROMETER	0.46540833	2.7517548	10.053452
1561093346618	TYPE_MAGNETIC_FIELD	4.2599998	30.119999	-27.119999
1561093346618	TYPE_GYROSCOPE	-0.35173035	0.03715515	-0.20469666
1561093346618	TYPE_ROTATION_VECTOR	0.10447691	0.0048334883	0.063772805
1561093346618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.979998	14.879999	-169.73999
1561093346618	TYPE_GYROSCOPE_UNCALIBRATED	-0.4141388	0.10873413	-0.28405762
1561093346618	TYPE_ACCELEROMETER_UNCALIBRATED	0.33261108	2.752945	10.100113
1561093346637	TYPE_ACCELEROMETER	0.09811401	2.7385864	10.04747
1561093346637	TYPE_MAGNETIC_FIELD	4.44	30.3	-27.06
1561093346637	TYPE_GYROSCOPE	-0.21064758	0.013946533	-0.21141052
1561093346637	TYPE_ROTATION_VECTOR	0.100416884	0.0053594774	0.061962977
1561093346637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.799997	15.059999	-169.68
1561093346637	TYPE_GYROSCOPE_UNCALIBRATED	-0.27305603	0.08552551	-0.29077148
1561093346637	TYPE_ACCELEROMETER_UNCALIBRATED	-0.051452637	2.675171	9.94577
1561093346656	TYPE_ACCELEROMETER	-0.06460571	2.6189423	9.859619
1561093346656	TYPE_MAGNETIC_FIELD	4.2599998	30.599998	-27.119999
1561093346656	TYPE_GYROSCOPE	-0.12388611	-0.034301758	-0.17964172
1561093346656	TYPE_ROTATION_VECTOR	0.09772266	0.005636012	0.05998719
1561093346656	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.979998	15.359999	-169.73999
1561093346656	TYPE_GYROSCOPE_UNCALIBRATED	-0.27305603	0.08552551	-0.29077148
1561093346656	TYPE_ACCELEROMETER_UNCALIBRATED	-0.124435425	2.589035	9.790237
1561093346676	TYPE_ACCELEROMETER	-0.2871399	2.5363922	9.725632
1561093346676	TYPE_MAGNETIC_FIELD	4.02	31.019999	-27.0
1561093346676	TYPE_GYROSCOPE	-0.11167908	-0.019638062	-0.14543152
1561093346676	TYPE_ROTATION_VECTOR	0.09620726	0.005628673	0.058079813
1561093346676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.219997	15.779999	-169.62
1561093346676	TYPE_GYROSCOPE_UNCALIBRATED	-0.18629456	0.03727722	-0.2590027
1561093346676	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49172974	2.472992	9.671783
1561093346695	TYPE_ACCELEROMETER	-0.6113739	2.4371033	9.595215
1561093346695	TYPE_MAGNETIC_FIELD	4.2	31.439999	-26.88
1561093346695	TYPE_GYROSCOPE	-0.12878418	0.031661987	-0.08433533
1561093346695	TYPE_ROTATION_VECTOR	0.09516129	0.0053791297	0.056496408
1561093346695	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.039997	16.199999	-169.5
1561093346695	TYPE_GYROSCOPE_UNCALIBRATED	-0.19119263	0.10324097	-0.16369629
1561093346695	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49172974	2.472992	9.671783
1561093346714	TYPE_ACCELEROMETER	-0.5276184	2.4095764	9.421753
1561093346714	TYPE_MAGNETIC_FIELD	4.02	31.56	-26.82
1561093346714	TYPE_GYROSCOPE	-0.11961365	0.038986206	-0.006164551
